,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,India,New Zealand,5 wickets,Taupo,"Jan 9, 1999",ODI # 1378
1,Australia,England,England,7 runs,Brisbane,"Jan 10, 1999",ODI # 1379
2,England,Sri Lanka,England,4 wickets,Brisbane,"Jan 11, 1999",ODI # 1380
3,New Zealand,India,India,2 wickets,Napier,"Jan 12, 1999",ODI # 1381
4,Australia,Sri Lanka,Australia,8 wickets,Sydney,"Jan 13, 1999",ODI # 1382
5,New Zealand,India,no result,,Wellington,"Jan 14, 1999",ODI # 1383
6,Australia,England,Australia,9 wickets,Melbourne,"Jan 15, 1999",ODI # 1384
7,New Zealand,India,India,5 wickets,Auckland,"Jan 16, 1999",ODI # 1385
8,Australia,England,England,7 runs,Sydney,"Jan 17, 1999",ODI # 1386
9,New Zealand,India,New Zealand,70 runs,Christchurch,"Jan 19, 1999",ODI # 1387
10,England,Sri Lanka,England,7 wickets,Melbourne,"Jan 19, 1999",ODI # 1388
11,Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart,"Jan 21, 1999",ODI # 1389
12,South Africa,West Indies,South Africa,2 wickets,Johannesburg,"Jan 22, 1999",ODI # 1390
13,England,Sri Lanka,Sri Lanka,1 wicket,Adelaide,"Jan 23, 1999",ODI # 1391
14,Australia,Sri Lanka,Australia,80 runs,Adelaide,"Jan 24, 1999",ODI # 1392
15,South Africa,West Indies,West Indies,43 runs,East London,"Jan 24, 1999",ODI # 1393
16,Australia,England,Australia,16 runs,Adelaide,"Jan 26, 1999",ODI # 1394
17,South Africa,West Indies,South Africa,55 runs,Durban,"Jan 27, 1999",ODI # 1395
18,England,Sri Lanka,England,128 runs,Perth,"Jan 29, 1999",ODI # 1396
19,South Africa,West Indies,South Africa,99 runs,Port Elizabeth,"Jan 30, 1999",ODI # 1397
20,Australia,Sri Lanka,Australia,45 runs,Perth,"Jan 31, 1999",ODI # 1398
21,South Africa,West Indies,South Africa,89 runs,Cape Town,"Feb 2, 1999",ODI # 1399
22,England,Sri Lanka,Sri Lanka,11 runs,Sydney,"Feb 3, 1999",ODI # 1400
23,Australia,England,Australia,4 wickets,Sydney,"Feb 5, 1999",ODI # 1401
24,South Africa,West Indies,South Africa,114 runs,Bloemfontein,"Feb 5, 1999",ODI # 1402
25,Australia,Sri Lanka,Australia,43 runs,Melbourne,"Feb 7, 1999",ODI # 1403
26,South Africa,West Indies,South Africa,50 runs,Centurion,"Feb 7, 1999",ODI # 1404
27,Australia,England,Australia,10 runs,Sydney,"Feb 10, 1999",ODI # 1405
