,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Asia XI,ICC World XI,ICC World XI,112 runs,Melbourne,"Jan 10, 2005",ODI # 2203
1,Australia,West Indies,Australia,116 runs,Melbourne,"Jan 14, 2005",ODI # 2204
2,Australia,Pakistan,Australia,4 wickets,Hobart,"Jan 16, 2005",ODI # 2205
3,Pakistan,West Indies,Pakistan,6 wickets,Brisbane,"Jan 19, 2005",ODI # 2206
4,Bangladesh,Zimbabwe,Zimbabwe,22 runs,Dhaka,"Jan 20, 2005",ODI # 2207
5,Australia,West Indies,no result,,Brisbane,"Jan 21, 2005",ODI # 2208
6,Australia,Pakistan,Australia,9 wickets,Sydney,"Jan 23, 2005",ODI # 2209
7,Bangladesh,Zimbabwe,Zimbabwe,31 runs,Chittagong,"Jan 24, 2005",ODI # 2210
8,Bangladesh,Zimbabwe,Bangladesh,40 runs,Chittagong,"Jan 26, 2005",ODI # 2211
9,Australia,West Indies,Australia,73 runs,Adelaide,"Jan 26, 2005",ODI # 2212
10,Pakistan,West Indies,West Indies,58 runs,Adelaide,"Jan 28, 2005",ODI # 2213
11,Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka,"Jan 29, 2005",ODI # 2214
12,Australia,Pakistan,Pakistan,3 wickets,Perth,"Jan 30, 2005",ODI # 2215
13,South Africa,England,England,26 runs,Johannesburg,"Jan 30, 2005",ODI # 2216
14,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka,"Jan 31, 2005",ODI # 2217
15,Pakistan,West Indies,Pakistan,30 runs,Perth,"Feb 1, 2005",ODI # 2218
16,South Africa,England,tied,,Bloemfontein,"Feb 2, 2005",ODI # 2219
17,Australia,Pakistan,Australia,18 runs,Melbourne,"Feb 4, 2005",ODI # 2220
18,South Africa,England,South Africa,3 wickets,Port Elizabeth,"Feb 4, 2005",ODI # 2221
19,Australia,Pakistan,Australia,31 runs,Sydney,"Feb 6, 2005",ODI # 2222
20,South Africa,England,South Africa,108 runs,Cape Town,"Feb 6, 2005",ODI # 2223
21,South Africa,England,South Africa,7 runs,East London,"Feb 9, 2005",ODI # 2224
22,South Africa,England,no result,,Durban,"Feb 11, 2005",ODI # 2225
23,South Africa,England,South Africa,3 wickets,Centurion,"Feb 13, 2005",ODI # 2226
24,New Zealand,Australia,Australia,10 runs,Wellington,"Feb 19, 2005",ODI # 2227
