,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,Sri Lanka,New Zealand,5 wickets,Christchurch,"Jan 3, 2006",ODI # 2310
1,New Zealand,Sri Lanka,New Zealand,21 runs,Wellington,"Jan 6, 2006",ODI # 2311
2,New Zealand,Sri Lanka,Sri Lanka,20 runs,Napier,"Jan 8, 2006",ODI # 2312
3,Australia,Sri Lanka,Australia,116 runs,Melbourne (Docklands),"Jan 13, 2006",ODI # 2313
4,Australia,South Africa,South Africa,5 wickets,Brisbane,"Jan 15, 2006",ODI # 2314
5,South Africa,Sri Lanka,Sri Lanka,94 runs,Brisbane,"Jan 17, 2006",ODI # 2315
6,Australia,South Africa,Australia,59 runs,Melbourne (Docklands),"Jan 20, 2006",ODI # 2316
7,Australia,Sri Lanka,Sri Lanka,51 runs,Sydney,"Jan 22, 2006",ODI # 2317
8,South Africa,Sri Lanka,South Africa,9 runs,Adelaide,"Jan 24, 2006",ODI # 2318
9,Australia,Sri Lanka,Australia,5 wickets,Adelaide,"Jan 26, 2006",ODI # 2319
10,Australia,Sri Lanka,Australia,6 wickets,Perth,"Jan 29, 2006",ODI # 2320
11,South Africa,Sri Lanka,South Africa,5 wickets,Perth,"Jan 31, 2006",ODI # 2321
12,Australia,South Africa,Australia,80 runs,Melbourne (Docklands),"Feb 3, 2006",ODI # 2322
13,Australia,South Africa,Australia,57 runs,Sydney,"Feb 5, 2006",ODI # 2323
14,Pakistan,India,Pakistan,7 runs,Peshawar,"Feb 6, 2006",ODI # 2324
15,South Africa,Sri Lanka,Sri Lanka,76 runs,Hobart,"Feb 7, 2006",ODI # 2325
16,Australia,Sri Lanka,Sri Lanka,22 runs,Adelaide,"Feb 10, 2006",ODI # 2326
17,Pakistan,India,India,7 wickets,Rawalpindi,"Feb 11, 2006",ODI # 2327
18,Australia,Sri Lanka,Australia,167 runs,Sydney,"Feb 12, 2006",ODI # 2328
19,Pakistan,India,India,5 wickets,Lahore,"Feb 13, 2006",ODI # 2329
20,Australia,Sri Lanka,Australia,9 wickets,Brisbane,"Feb 14, 2006",ODI # 2330
21,Pakistan,India,India,5 wickets,Multan,"Feb 16, 2006",ODI # 2331
22,New Zealand,West Indies,New Zealand,81 runs,Wellington,"Feb 18, 2006",ODI # 2332
23,Pakistan,India,India,8 wickets,Karachi,"Feb 19, 2006",ODI # 2333
24,Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Bogra,"Feb 20, 2006",ODI # 2334
25,New Zealand,West Indies,New Zealand,3 wickets,Queenstown,"Feb 22, 2006",ODI # 2335
26,Bangladesh,Sri Lanka,Bangladesh,4 wickets,Bogra,"Feb 22, 2006",ODI # 2336
27,New Zealand,West Indies,New Zealand,21 runs,Christchurch,"Feb 25, 2006",ODI # 2337
28,Bangladesh,Sri Lanka,Sri Lanka,78 runs,Chittagong,"Feb 25, 2006",ODI # 2338
29,Zimbabwe,Kenya,Zimbabwe,8 wickets,Bulawayo,"Feb 25, 2006",ODI # 2339
30,Zimbabwe,Kenya,Kenya,79 runs,Bulawayo,"Feb 26, 2006",ODI # 2340
31,South Africa,Australia,South Africa,6 wickets,Centurion,"Feb 26, 2006",ODI # 2341
32,New Zealand,West Indies,New Zealand,91 runs,Napier,"Mar 1, 2006",ODI # 2342
33,Zimbabwe,Kenya,Kenya,65 runs,Harare,"Mar 1, 2006",ODI # 2343
34,Zimbabwe,Kenya,Zimbabwe,109 runs,Harare,"Mar 3, 2006",ODI # 2344
35,South Africa,Australia,South Africa,196 runs,Cape Town,"Mar 3, 2006",ODI # 2345
36,New Zealand,West Indies,West Indies,3 wickets,Auckland,"Mar 4, 2006",ODI # 2346
37,South Africa,Australia,Australia,24 runs,Port Elizabeth,"Mar 5, 2006",ODI # 2347
38,South Africa,Australia,Australia,1 wicket,Durban,"Mar 10, 2006",ODI # 2348
39,South Africa,Australia,South Africa,1 wicket,Johannesburg,"Mar 12, 2006",ODI # 2349
40,Bangladesh,Kenya,Bangladesh,131 runs,Bogra,"Mar 17, 2006",ODI # 2350
41,Sri Lanka,Pakistan,no result,,Colombo (RPS),"Mar 17, 2006",ODI # 2351
42,Sri Lanka,Pakistan,Pakistan,4 wickets,Colombo (RPS),"Mar 19, 2006",ODI # 2352
43,Bangladesh,Kenya,Bangladesh,9 wickets,Khulna,"Mar 20, 2006",ODI # 2353
44,Sri Lanka,Pakistan,Pakistan,4 wickets,Colombo (SSC),"Mar 22, 2006",ODI # 2354
45,Bangladesh,Kenya,Bangladesh,20 runs,Fatullah,"Mar 23, 2006",ODI # 2355
46,Bangladesh,Kenya,Bangladesh,7 wickets,Fatullah,"Mar 25, 2006",ODI # 2356
47,India,England,India,39 runs,Delhi,"Mar 28, 2006",ODI # 2357
48,India,England,India,4 wickets,Faridabad,"Mar 31, 2006",ODI # 2358
49,India,England,India,49 runs,Margao,"Apr 3, 2006",ODI # 2359
50,India,England,India,4 wickets,Kochi,"Apr 6, 2006",ODI # 2360
