,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,Pakistan,Australia,7 wickets,Melbourne,"Jan 3, 1990",ODI # 599
1,Australia,Sri Lanka,Australia,73 runs,Melbourne,"Jan 4, 1990",ODI # 600
2,Pakistan,Sri Lanka,Pakistan,5 wickets,Brisbane,"Feb 10, 1990",ODI # 601
3,Australia,Pakistan,Australia,67 runs,Brisbane,"Feb 11, 1990",ODI # 602
4,Australia,Pakistan,Pakistan,5 wickets,Sydney,"Feb 13, 1990",ODI # 603
5,West Indies,England,no result,,Port of Spain,"Feb 14, 1990",ODI # 604
6,Pakistan,Sri Lanka,Pakistan,6 wickets,Hobart,"Feb 15, 1990",ODI # 605
7,Pakistan,Sri Lanka,Pakistan,27 runs,Adelaide,"Feb 17, 1990",ODI # 606
8,West Indies,England,no result,,Port of Spain,"Feb 17, 1990",ODI # 607
9,Australia,Sri Lanka,Australia,7 wickets,Adelaide,"Feb 18, 1990",ODI # 608
10,Australia,Pakistan,Pakistan,2 runs,Sydney,"Feb 20, 1990",ODI # 609
11,Australia,Pakistan,Australia,7 wickets,Melbourne,"Feb 23, 1990",ODI # 610
12,Australia,Pakistan,Australia,69 runs,Sydney,"Feb 25, 1990",ODI # 611
13,New Zealand,India,New Zealand,108 runs,Dunedin,"Mar 1, 1990",ODI # 612
14,Australia,India,Australia,18 runs,Christchurch,"Mar 3, 1990",ODI # 613
15,West Indies,England,West Indies,3 wickets,Kingston,"Mar 3, 1990",ODI # 614
16,New Zealand,Australia,Australia,150 runs,Christchurch,"Mar 4, 1990",ODI # 615
17,New Zealand,India,India,1 run,Wellington,"Mar 6, 1990",ODI # 616
18,West Indies,England,West Indies,6 wickets,Georgetown,"Mar 7, 1990",ODI # 617
19,Australia,India,Australia,7 wickets,Hamilton,"Mar 8, 1990",ODI # 618
20,New Zealand,Australia,Australia,10 runs,Auckland,"Mar 10, 1990",ODI # 619
21,New Zealand,Australia,Australia,8 wickets,Auckland,"Mar 11, 1990",ODI # 620
22,West Indies,England,West Indies,7 wickets,Georgetown,"Mar 15, 1990",ODI # 621
23,West Indies,England,West Indies,4 wickets,Bridgetown,"Apr 3, 1990",ODI # 622
24,India,Sri Lanka,Sri Lanka,3 wickets,Sharjah,"Apr 25, 1990",ODI # 623
25,Australia,New Zealand,Australia,63 runs,Sharjah,"Apr 26, 1990",ODI # 624
26,India,Pakistan,Pakistan,26 runs,Sharjah,"Apr 27, 1990",ODI # 625
27,Bangladesh,New Zealand,New Zealand,161 runs,Sharjah,"Apr 28, 1990",ODI # 626
28,Pakistan,Sri Lanka,Pakistan,90 runs,Sharjah,"Apr 29, 1990",ODI # 627
29,Australia,Bangladesh,Australia,7 wickets,Sharjah,"Apr 30, 1990",ODI # 628
30,New Zealand,Pakistan,Pakistan,8 wickets,Sharjah,"May 1, 1990",ODI # 629
31,Australia,Sri Lanka,Australia,114 runs,Sharjah,"May 2, 1990",ODI # 630
32,Australia,Pakistan,Pakistan,36 runs,Sharjah,"May 4, 1990",ODI # 631
33,England,New Zealand,New Zealand,4 wickets,Leeds,"May 23, 1990",ODI # 632
34,England,New Zealand,England,6 wickets,The Oval,"May 25, 1990",ODI # 633
35,England,India,India,6 wickets,Leeds,"Jul 18, 1990",ODI # 634
36,England,India,India,5 wickets,Nottingham,"Jul 20, 1990",ODI # 635
37,Pakistan,New Zealand,Pakistan,19 runs,Lahore,"Nov 2, 1990",ODI # 636
38,Pakistan,New Zealand,Pakistan,8 wickets,Peshawar,"Nov 4, 1990",ODI # 637
39,Pakistan,New Zealand,Pakistan,105 runs,Sialkot,"Nov 6, 1990",ODI # 638
40,Pakistan,West Indies,Pakistan,6 runs,Karachi,"Nov 9, 1990",ODI # 639
41,Pakistan,West Indies,Pakistan,5 wickets,Lahore,"Nov 11, 1990",ODI # 640
42,Pakistan,West Indies,Pakistan,31 runs,Multan,"Nov 13, 1990",ODI # 641
43,Australia,New Zealand,Australia,61 runs,Sydney,"Nov 29, 1990",ODI # 642
44,England,New Zealand,New Zealand,7 runs,Adelaide,"Dec 1, 1990",ODI # 643
45,India,Sri Lanka,India,19 runs,Nagpur,"Dec 1, 1990",ODI # 644
46,Australia,New Zealand,Australia,6 wickets,Adelaide,"Dec 2, 1990",ODI # 645
47,India,Sri Lanka,India,6 wickets,Pune,"Dec 5, 1990",ODI # 646
48,England,New Zealand,England,4 wickets,Perth,"Dec 7, 1990",ODI # 647
49,India,Sri Lanka,Sri Lanka,7 wickets,Margao,"Dec 8, 1990",ODI # 648
50,Australia,England,Australia,6 wickets,Perth,"Dec 9, 1990",ODI # 649
51,Australia,New Zealand,Australia,39 runs,Melbourne,"Dec 11, 1990",ODI # 650
52,England,New Zealand,England,33 runs,Sydney,"Dec 13, 1990",ODI # 651
53,England,New Zealand,New Zealand,8 wickets,Brisbane,"Dec 15, 1990",ODI # 652
54,Australia,England,Australia,37 runs,Brisbane,"Dec 16, 1990",ODI # 653
55,Australia,New Zealand,New Zealand,1 run,Hobart,"Dec 18, 1990",ODI # 654
56,Pakistan,Sri Lanka,Sri Lanka,6 wickets,Sharjah,"Dec 20, 1990",ODI # 655
57,Pakistan,Sri Lanka,Pakistan,50 runs,Sharjah,"Dec 21, 1990",ODI # 656
58,India,Bangladesh,India,9 wickets,Chandigarh,"Dec 25, 1990",ODI # 657
59,India,Sri Lanka,Sri Lanka,36 runs,Cuttack,"Dec 28, 1990",ODI # 658
60,Bangladesh,Sri Lanka,Sri Lanka,71 runs,Kolkata,"Dec 31, 1990",ODI # 659
