,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,New Zealand,no result,,Melbourne,"Jan 9, 1986",ODI # 347
1,India,New Zealand,India,5 wickets,Brisbane,"Jan 11, 1986",ODI # 348
2,Australia,India,Australia,4 wickets,Brisbane,"Jan 12, 1986",ODI # 349
3,Australia,New Zealand,Australia,4 wickets,Sydney,"Jan 14, 1986",ODI # 350
4,Australia,India,India,8 wickets,Melbourne,"Jan 16, 1986",ODI # 351
5,India,New Zealand,New Zealand,3 wickets,Perth,"Jan 18, 1986",ODI # 352
6,Australia,New Zealand,Australia,4 wickets,Perth,"Jan 19, 1986",ODI # 353
7,Australia,India,Australia,100 runs,Sydney,"Jan 21, 1986",ODI # 354
8,India,New Zealand,New Zealand,5 wickets,Melbourne,"Jan 23, 1986",ODI # 355
9,India,New Zealand,India,5 wickets,Adelaide,"Jan 25, 1986",ODI # 356
10,Australia,India,Australia,36 runs,Adelaide,"Jan 26, 1986",ODI # 357
11,Australia,New Zealand,New Zealand,206 runs,Adelaide,"Jan 27, 1986",ODI # 358
12,Australia,New Zealand,Australia,99 runs,Sydney,"Jan 29, 1986",ODI # 359
13,Australia,India,India,6 wickets,Melbourne,"Jan 31, 1986",ODI # 360
14,India,New Zealand,India,22 runs,Launceston,"Feb 2, 1986",ODI # 361
15,Australia,India,Australia,11 runs,Sydney,"Feb 5, 1986",ODI # 362
16,Australia,India,Australia,7 wickets,Melbourne,"Feb 9, 1986",ODI # 363
17,West Indies,England,West Indies,6 wickets,Kingston,"Feb 18, 1986",ODI # 364
18,Sri Lanka,Pakistan,Pakistan,8 wickets,Kandy,"Mar 2, 1986",ODI # 365
19,West Indies,England,England,5 wickets,Port of Spain,"Mar 4, 1986",ODI # 366
20,Sri Lanka,Pakistan,no result,,Moratuwa,"Mar 8, 1986",ODI # 367
21,Sri Lanka,Pakistan,Pakistan,8 wickets,Colombo (SSC),"Mar 11, 1986",ODI # 368
22,New Zealand,Australia,New Zealand,30 runs,Dunedin,"Mar 19, 1986",ODI # 369
