,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Dhaka,"Jan 4, 2010",ODI # 2937
1,India,Sri Lanka,Sri Lanka,5 wickets,Dhaka,"Jan 5, 2010",ODI # 2938
2,Bangladesh,India,India,6 wickets,Dhaka,"Jan 7, 2010",ODI # 2939
3,Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,"Jan 8, 2010",ODI # 2940
4,India,Sri Lanka,India,8 wickets,Dhaka,"Jan 10, 2010",ODI # 2941
5,Bangladesh,India,India,6 wickets,Dhaka,"Jan 11, 2010",ODI # 2942
6,India,Sri Lanka,Sri Lanka,4 wickets,Dhaka,"Jan 13, 2010",ODI # 2943
7,Australia,Pakistan,Australia,5 wickets,Brisbane,"Jan 22, 2010",ODI # 2944
8,Australia,Pakistan,Australia,140 runs,Sydney,"Jan 24, 2010",ODI # 2945
9,Australia,Pakistan,Australia,40 runs,Adelaide,"Jan 26, 2010",ODI # 2946
10,Australia,Pakistan,Australia,135 runs,Perth,"Jan 29, 2010",ODI # 2947
11,Australia,Pakistan,Australia,2 wickets,Perth,"Jan 31, 2010",ODI # 2948
12,New Zealand,Bangladesh,New Zealand,146 runs,Napier,"Feb 5, 2010",ODI # 2949
13,Australia,West Indies,Australia,113 runs,Melbourne,"Feb 7, 2010",ODI # 2950
14,New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin,"Feb 8, 2010",ODI # 2951
15,Australia,West Indies,Australia,8 wickets,Adelaide,"Feb 9, 2010",ODI # 2952
16,New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch,"Feb 11, 2010",ODI # 2953
17,Australia,West Indies,no result,,Sydney,"Feb 12, 2010",ODI # 2954
18,Australia,West Indies,Australia,50 runs,Brisbane,"Feb 14, 2010",ODI # 2955
19,Kenya,Netherlands,Kenya,6 wickets,Nairobi (Gym),"Feb 16, 2010",ODI # 2956
20,Afghanistan,Canada,Afghanistan,1 run,Sharjah,"Feb 16, 2010",ODI # 2957
21,Kenya,Netherlands,Netherlands,80 runs,Nairobi (Gym),"Feb 18, 2010",ODI # 2958
22,Afghanistan,Canada,Canada,4 wickets,Sharjah,"Feb 18, 2010",ODI # 2959
23,Australia,West Indies,Australia,125 runs,Melbourne,"Feb 19, 2010",ODI # 2960
24,India,South Africa,India,1 run,Jaipur,"Feb 21, 2010",ODI # 2961
25,India,South Africa,India,153 runs,Gwalior,"Feb 24, 2010",ODI # 2962
26,India,South Africa,South Africa,90 runs,Ahmedabad,"Feb 27, 2010",ODI # 2963
27,Bangladesh,England,England,6 wickets,Dhaka,"Feb 28, 2010",ODI # 2964
28,Bangladesh,England,England,2 wickets,Dhaka,"Mar 2, 2010",ODI # 2965
29,New Zealand,Australia,New Zealand,2 wickets,Napier,"Mar 3, 2010",ODI # 2966
30,West Indies,Zimbabwe,Zimbabwe,2 runs,Providence,"Mar 4, 2010",ODI # 2967
31,Bangladesh,England,England,45 runs,Chittagong,"Mar 5, 2010",ODI # 2968
32,New Zealand,Australia,Australia,12 runs,Auckland,"Mar 6, 2010",ODI # 2969
33,West Indies,Zimbabwe,West Indies,4 wickets,Providence,"Mar 6, 2010",ODI # 2970
34,New Zealand,Australia,Australia,6 wickets,Hamilton,"Mar 9, 2010",ODI # 2971
35,West Indies,Zimbabwe,West Indies,141 runs,Kingstown,"Mar 10, 2010",ODI # 2972
36,New Zealand,Australia,Australia,6 wickets,Auckland,"Mar 11, 2010",ODI # 2973
37,West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,"Mar 12, 2010",ODI # 2974
38,New Zealand,Australia,New Zealand,51 runs,Wellington,"Mar 13, 2010",ODI # 2975
39,West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,"Mar 14, 2010",ODI # 2976
40,West Indies,Canada,West Indies,208 runs,Kingston,"Apr 13, 2010",ODI # 2977
41,West Indies,Ireland,West Indies,6 wickets,Kingston,"Apr 15, 2010",ODI # 2978
42,West Indies,South Africa,South Africa,66 runs,North Sound,"May 22, 2010",ODI # 2979
43,West Indies,South Africa,South Africa,17 runs,North Sound,"May 24, 2010",ODI # 2980
44,Zimbabwe,India,Zimbabwe,6 wickets,Bulawayo,"May 28, 2010",ODI # 2981
45,West Indies,South Africa,South Africa,67 runs,Roseau,"May 28, 2010",ODI # 2982
46,India,Sri Lanka,India,7 wickets,Bulawayo,"May 30, 2010",ODI # 2983
47,West Indies,South Africa,South Africa,7 wickets,Roseau,"May 30, 2010",ODI # 2984
48,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,"Jun 1, 2010",ODI # 2985
49,Zimbabwe,India,Zimbabwe,7 wickets,Harare,"Jun 3, 2010",ODI # 2986
50,West Indies,South Africa,South Africa,1 wicket,Port of Spain,"Jun 3, 2010",ODI # 2987
