,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,South Africa,New Zealand,9 runs,Brisbane,"Jan 8, 1994",ODI # 870
1,Australia,South Africa,Australia,48 runs,Brisbane,"Jan 9, 1994",ODI # 871
2,Australia,New Zealand,New Zealand,13 runs,Sydney,"Jan 11, 1994",ODI # 872
3,New Zealand,South Africa,South Africa,5 wickets,Perth,"Jan 14, 1994",ODI # 873
4,Australia,South Africa,South Africa,82 runs,Perth,"Jan 16, 1994",ODI # 874
5,Australia,New Zealand,Australia,51 runs,Melbourne,"Jan 19, 1994",ODI # 875
6,Australia,South Africa,South Africa,28 runs,Melbourne,"Jan 21, 1994",ODI # 876
7,Australia,South Africa,Australia,69 runs,Sydney,"Jan 23, 1994",ODI # 877
8,Australia,South Africa,Australia,35 runs,Sydney,"Jan 25, 1994",ODI # 878
9,India,Sri Lanka,India,8 runs,Rajkot,"Feb 15, 1994",ODI # 879
10,West Indies,England,England,61 runs,Bridgetown,"Feb 16, 1994",ODI # 880
11,India,Sri Lanka,India,7 wickets,Hyderabad (Deccan),"Feb 18, 1994",ODI # 881
12,South Africa,Australia,South Africa,5 runs,Johannesburg,"Feb 19, 1994",ODI # 882
13,India,Sri Lanka,Sri Lanka,4 wickets,Jalandhar,"Feb 20, 1994",ODI # 883
14,South Africa,Australia,South Africa,56 runs,Centurion,"Feb 20, 1994",ODI # 884
15,South Africa,Australia,Australia,88 runs,Port Elizabeth,"Feb 22, 1994",ODI # 885
16,South Africa,Australia,South Africa,7 wickets,Durban,"Feb 24, 1994",ODI # 886
17,West Indies,England,West Indies,3 wickets,Kingston,"Feb 26, 1994",ODI # 887
18,West Indies,England,West Indies,165 runs,Kingstown,"Mar 2, 1994",ODI # 888
19,New Zealand,Pakistan,Pakistan,5 wickets,Dunedin,"Mar 3, 1994",ODI # 889
20,West Indies,England,West Indies,15 runs,Port of Spain,"Mar 5, 1994",ODI # 890
21,New Zealand,Pakistan,Pakistan,36 runs,Auckland,"Mar 6, 1994",ODI # 891
22,West Indies,England,England,5 wickets,Port of Spain,"Mar 6, 1994",ODI # 892
23,New Zealand,Pakistan,Pakistan,11 runs,Wellington,"Mar 9, 1994",ODI # 893
24,New Zealand,Pakistan,tied,,Auckland,"Mar 13, 1994",ODI # 894
25,New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,"Mar 16, 1994",ODI # 895
26,New Zealand,India,New Zealand,28 runs,Napier,"Mar 25, 1994",ODI # 896
27,New Zealand,India,India,7 wickets,Auckland,"Mar 27, 1994",ODI # 897
28,New Zealand,India,India,12 runs,Wellington,"Mar 30, 1994",ODI # 898
29,New Zealand,India,New Zealand,6 wickets,Christchurch,"Apr 2, 1994",ODI # 899
30,South Africa,Australia,Australia,7 wickets,East London,"Apr 2, 1994",ODI # 900
31,South Africa,Australia,South Africa,26 runs,Port Elizabeth,"Apr 4, 1994",ODI # 901
32,South Africa,Australia,Australia,36 runs,Cape Town,"Apr 6, 1994",ODI # 902
33,South Africa,Australia,Australia,1 run,Bloemfontein,"Apr 8, 1994",ODI # 903
34,U.A.E.,India,India,71 runs,Sharjah,"Apr 13, 1994",ODI # 904
35,Australia,Sri Lanka,Australia,9 wickets,Sharjah,"Apr 14, 1994",ODI # 905
36,India,Pakistan,Pakistan,6 wickets,Sharjah,"Apr 15, 1994",ODI # 906
37,Australia,New Zealand,Australia,7 wickets,Sharjah,"Apr 16, 1994",ODI # 907
38,U.A.E.,Pakistan,Pakistan,9 wickets,Sharjah,"Apr 17, 1994",ODI # 908
39,New Zealand,Sri Lanka,New Zealand,2 runs,Sharjah,"Apr 18, 1994",ODI # 909
40,Australia,India,India,7 wickets,Sharjah,"Apr 19, 1994",ODI # 910
41,New Zealand,Pakistan,Pakistan,62 runs,Sharjah,"Apr 20, 1994",ODI # 911
42,India,Pakistan,Pakistan,39 runs,Sharjah,"Apr 22, 1994",ODI # 912
43,England,New Zealand,England,42 runs,Birmingham,"May 19, 1994",ODI # 913
44,Sri Lanka,Pakistan,Pakistan,9 wickets,Colombo (RPS),"Aug 3, 1994",ODI # 914
45,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (RPS),"Aug 6, 1994",ODI # 915
46,Sri Lanka,Pakistan,Pakistan,19 runs,Colombo (SSC),"Aug 7, 1994",ODI # 916
47,Sri Lanka,Pakistan,Pakistan,5 wickets,Colombo (SSC),"Aug 22, 1994",ODI # 917
48,Sri Lanka,Pakistan,Pakistan,27 runs,Colombo (RPS),"Aug 24, 1994",ODI # 918
49,England,South Africa,England,6 wickets,Birmingham,"Aug 25, 1994",ODI # 919
50,England,South Africa,England,4 wickets,Manchester,"Aug 27-28, 1994",ODI # 920
51,Sri Lanka,India,no result,,Colombo (RPS),"Sep 4, 1994",ODI # 921
52,Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),"Sep 5, 1994",ODI # 922
53,Australia,Pakistan,Australia,28 runs,Colombo (SSC),"Sep 7, 1994",ODI # 923
54,Australia,India,India,31 runs,Colombo (RPS),"Sep 9, 1994",ODI # 924
55,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (SSC),"Sep 11, 1994",ODI # 925
56,Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (PSS),"Sep 13, 1994",ODI # 926
57,Sri Lanka,India,India,6 wickets,Colombo (SSC),"Sep 17, 1994",ODI # 927
58,Australia,South Africa,Australia,6 runs,Lahore,"Oct 12, 1994",ODI # 928
59,Pakistan,Australia,Australia,7 wickets,Multan,"Oct 14, 1994",ODI # 929
60,Pakistan,South Africa,Pakistan,8 wickets,Karachi,"Oct 16, 1994",ODI # 930
61,India,West Indies,West Indies,96 runs,Faridabad,"Oct 17, 1994",ODI # 931
62,Australia,South Africa,Australia,22 runs,Faisalabad,"Oct 18, 1994",ODI # 932
63,India,West Indies,India,8 runs,Mumbai,"Oct 20, 1994",ODI # 933
64,Pakistan,South Africa,Pakistan,39 runs,Rawalpindi,"Oct 20, 1994",ODI # 934
65,Pakistan,Australia,Pakistan,9 wickets,Rawalpindi,"Oct 22, 1994",ODI # 935
66,India,West Indies,India,4 wickets,Chennai,"Oct 23, 1994",ODI # 936
67,Australia,South Africa,Australia,3 wickets,Peshawar,"Oct 24, 1994",ODI # 937
68,New Zealand,West Indies,no result,,Margao,"Oct 26, 1994",ODI # 938
69,India,New Zealand,India,7 wickets,Vadodara,"Oct 28, 1994",ODI # 939
70,Pakistan,South Africa,Pakistan,6 wickets,Faisalabad,"Oct 28, 1994",ODI # 940
71,India,West Indies,West Indies,46 runs,Kanpur,"Oct 30, 1994",ODI # 941
72,Pakistan,Australia,Australia,64 runs,Lahore,"Oct 30, 1994",ODI # 942
73,New Zealand,West Indies,West Indies,135 runs,Guwahati,"Nov 1, 1994",ODI # 943
74,India,New Zealand,India,107 runs,Delhi,"Nov 3, 1994",ODI # 944
75,Zimbabwe,Sri Lanka,Sri Lanka,56 runs,Harare,"Nov 3, 1994",ODI # 945
76,Zimbabwe,Sri Lanka,Zimbabwe,2 runs,Harare,"Nov 5, 1994",ODI # 946
77,India,West Indies,India,72 runs,Kolkata,"Nov 5, 1994",ODI # 947
78,Zimbabwe,Sri Lanka,Sri Lanka,191 runs,Harare,"Nov 6, 1994",ODI # 948
79,India,West Indies,India,4 runs,Visakhapatnam,"Nov 7, 1994",ODI # 949
80,India,West Indies,India,8 wickets,Cuttack,"Nov 9, 1994",ODI # 950
81,India,West Indies,India,5 runs,Jaipur,"Nov 11, 1994",ODI # 951
82,Australia,Zimbabwe,Australia,2 wickets,Perth,"Dec 2, 1994",ODI # 952
83,Pakistan,Sri Lanka,Pakistan,6 wickets,Durban,"Dec 2, 1994",ODI # 953
84,Pakistan,Sri Lanka,Pakistan,12 runs,Centurion,"Dec 4, 1994",ODI # 954
85,Australia,England,Australia,28 runs,Sydney,"Dec 6, 1994",ODI # 955
86,South Africa,New Zealand,South Africa,69 runs,Cape Town,"Dec 6, 1994",ODI # 956
87,Australia,Zimbabwe,Australia,84 runs,Hobart,"Dec 8, 1994",ODI # 957
88,New Zealand,Sri Lanka,no result,,Bloemfontein,"Dec 8, 1994",ODI # 958
89,South Africa,Pakistan,South Africa,7 wickets,Johannesburg,"Dec 10, 1994",ODI # 959
90,South Africa,New Zealand,South Africa,81 runs,Centurion,"Dec 11, 1994",ODI # 960
91,New Zealand,Pakistan,Pakistan,5 wickets,Port Elizabeth,"Dec 13, 1994",ODI # 961
92,England,Zimbabwe,Zimbabwe,13 runs,Sydney,"Dec 15, 1994",ODI # 962
93,South Africa,Sri Lanka,Sri Lanka,35 runs,Bloemfontein,"Dec 15, 1994",ODI # 963
94,South Africa,Pakistan,Pakistan,8 wickets,Durban,"Dec 17, 1994",ODI # 964
95,New Zealand,Sri Lanka,Sri Lanka,5 wickets,East London,"Dec 18, 1994",ODI # 965
96,New Zealand,Pakistan,Pakistan,5 wickets,East London,"Dec 19, 1994",ODI # 966
97,South Africa,Sri Lanka,South Africa,44 runs,Port Elizabeth,"Dec 21, 1994",ODI # 967
