,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,England,no result,,Sydney,"Jan 13, 1979",ODI # 57
1,Australia,England,England,7 wickets,Melbourne,"Jan 24, 1979",ODI # 58
2,Australia,England,Australia,4 wickets,Melbourne,"Feb 4, 1979",ODI # 59
3,Australia,England,Australia,6 wickets,Melbourne,"Feb 7, 1979",ODI # 60
4,India,West Indies,West Indies,9 wickets,Birmingham,"Jun 9, 1979",ODI # 61
5,New Zealand,Sri Lanka,New Zealand,9 wickets,Nottingham,"Jun 9, 1979",ODI # 62
6,England,Australia,England,6 wickets,Lord's,"Jun 9, 1979",ODI # 63
7,Canada,Pakistan,Pakistan,8 wickets,Leeds,"Jun 9, 1979",ODI # 64
8,India,New Zealand,New Zealand,8 wickets,Leeds,"Jun 13, 1979",ODI # 65
9,Australia,Pakistan,Pakistan,89 runs,Nottingham,"Jun 13-14, 1979",ODI # 66
10,England,Canada,England,8 wickets,Manchester,"Jun 13-14, 1979",ODI # 67
11,India,Sri Lanka,Sri Lanka,47 runs,Manchester,"Jun 16-18, 1979",ODI # 68
12,New Zealand,West Indies,West Indies,32 runs,Nottingham,"Jun 16, 1979",ODI # 69
13,Australia,Canada,Australia,7 wickets,Birmingham,"Jun 16, 1979",ODI # 70
14,England,Pakistan,England,14 runs,Leeds,"Jun 16, 1979",ODI # 71
15,England,New Zealand,England,9 runs,Manchester,"Jun 20, 1979",ODI # 72
16,Pakistan,West Indies,West Indies,43 runs,The Oval,"Jun 20, 1979",ODI # 73
17,England,West Indies,West Indies,92 runs,Lord's,"Jun 23, 1979",ODI # 74
18,Australia,West Indies,Australia,5 wickets,Sydney,"Nov 27, 1979",ODI # 75
19,England,West Indies,England,2 runs,Sydney,"Nov 28, 1979",ODI # 76
20,Australia,England,England,3 wickets,Melbourne,"Dec 8, 1979",ODI # 77
21,Australia,West Indies,West Indies,80 runs,Melbourne,"Dec 9, 1979",ODI # 78
22,Australia,England,England,72 runs,Sydney,"Dec 11, 1979",ODI # 79
23,Australia,West Indies,Australia,7 runs,Sydney,"Dec 21, 1979",ODI # 80
24,England,West Indies,West Indies,9 wickets,Brisbane,"Dec 23, 1979",ODI # 81
25,Australia,England,England,4 wickets,Sydney,"Dec 26, 1979",ODI # 82
