,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
78,Pakistan,India,Pakistan,5 wickets,Hyderabad (Sind),"Sep 28, 1997",ODI # 1233
79,Pakistan,India,India,4 wickets,Karachi,"Sep 30, 1997",ODI # 1234
80,Zimbabwe,New Zealand,tied,,Bulawayo,"Oct 1, 1997",ODI # 1235
81,Pakistan,India,Pakistan,9 wickets,Lahore,"Oct 2, 1997",ODI # 1236
82,Zimbabwe,New Zealand,Zimbabwe,3 wickets,Harare,"Oct 4, 1997",ODI # 1237
83,Zimbabwe,New Zealand,New Zealand,83 runs,Harare,"Oct 5, 1997",ODI # 1238
84,Kenya,Bangladesh,Kenya,150 runs,Nairobi (Gym),"Oct 10, 1997",ODI # 1239
85,Bangladesh,Zimbabwe,Zimbabwe,48 runs,Nairobi (Gym),"Oct 11, 1997",ODI # 1240
86,Kenya,Zimbabwe,Zimbabwe,6 wickets,Nairobi (Gym),"Oct 12, 1997",ODI # 1241
87,Bangladesh,Zimbabwe,Zimbabwe,192 runs,Nairobi (Aga),"Oct 14, 1997",ODI # 1242
88,Kenya,Bangladesh,Kenya,8 wickets,Nairobi (Aga),"Oct 15, 1997",ODI # 1243
89,Kenya,Zimbabwe,Zimbabwe,7 wickets,Nairobi (Aga),"Oct 16, 1997",ODI # 1244
90,Kenya,Zimbabwe,Zimbabwe,83 runs,Nairobi (Gym),"Oct 18, 1997",ODI # 1245
91,Kenya,Zimbabwe,Zimbabwe,82 runs,Nairobi (Gym),"Oct 19, 1997",ODI # 1246
92,Sri Lanka,West Indies,Sri Lanka,7 wickets,Lahore,"Nov 1, 1997",ODI # 1247
93,Pakistan,South Africa,South Africa,9 runs,Lahore,"Nov 2, 1997",ODI # 1248
94,South Africa,West Indies,South Africa,5 wickets,Lahore,"Nov 3, 1997",ODI # 1249
95,Pakistan,West Indies,Pakistan,8 wickets,Lahore,"Nov 4, 1997",ODI # 1250
96,Pakistan,Sri Lanka,Sri Lanka,8 wickets,Lahore,"Nov 5, 1997",ODI # 1251
97,South Africa,Sri Lanka,South Africa,66 runs,Lahore,"Nov 6, 1997",ODI # 1252
98,South Africa,Sri Lanka,South Africa,4 wickets,Lahore,"Nov 8, 1997",ODI # 1253
99,Australia,South Africa,South Africa,67 runs,Sydney,"Dec 4, 1997",ODI # 1254
100,New Zealand,South Africa,New Zealand,47 runs,Adelaide,"Dec 6, 1997",ODI # 1255
101,Australia,New Zealand,Australia,3 wickets,Adelaide,"Dec 7, 1997",ODI # 1256
102,Australia,South Africa,South Africa,45 runs,Melbourne,"Dec 9, 1997",ODI # 1257
103,New Zealand,South Africa,South Africa,1 run,Hobart,"Dec 11, 1997",ODI # 1258
104,England,India,England,7 runs,Sharjah,"Dec 11, 1997",ODI # 1259
105,Pakistan,West Indies,West Indies,43 runs,Sharjah,"Dec 12, 1997",ODI # 1260
106,England,West Indies,England,4 wickets,Sharjah,"Dec 13, 1997",ODI # 1261
107,India,Pakistan,Pakistan,4 wickets,Sharjah,"Dec 14, 1997",ODI # 1262
108,England,Pakistan,England,8 runs,Sharjah,"Dec 15, 1997",ODI # 1263
109,India,West Indies,West Indies,41 runs,Sharjah,"Dec 16, 1997",ODI # 1264
110,Australia,New Zealand,Australia,6 wickets,Melbourne,"Dec 17, 1997",ODI # 1265
111,England,West Indies,England,3 wickets,Sharjah,"Dec 19, 1997",ODI # 1266
112,India,Sri Lanka,India,7 wickets,Guwahati,"Dec 22, 1997",ODI # 1267
113,India,Sri Lanka,no result,,Indore,"Dec 25, 1997",ODI # 1268
114,India,Sri Lanka,Sri Lanka,5 wickets,Margao,"Dec 28, 1997",ODI # 1269
