,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,Pakistan,Pakistan,4 wickets,Sydney,"Jan 1, 1997",ODI # 1155
1,Zimbabwe,England,Zimbabwe,7 runs,Harare,"Jan 1, 1997",ODI # 1156
2,Pakistan,West Indies,West Indies,6 wickets,Brisbane,"Jan 3, 1997",ODI # 1157
3,Zimbabwe,England,Zimbabwe,131 runs,Harare,"Jan 3, 1997",ODI # 1158
4,Australia,West Indies,West Indies,7 wickets,Brisbane,"Jan 5, 1997",ODI # 1159
5,Australia,Pakistan,Pakistan,29 runs,Hobart,"Jan 7, 1997",ODI # 1160
6,Pakistan,West Indies,West Indies,5 wickets,Perth,"Jan 10, 1997",ODI # 1161
7,Australia,West Indies,West Indies,4 wickets,Perth,"Jan 12, 1997",ODI # 1162
8,Pakistan,West Indies,Pakistan,8 wickets,Sydney,"Jan 14, 1997",ODI # 1163
9,Australia,Pakistan,Australia,3 wickets,Melbourne,"Jan 16, 1997",ODI # 1164
10,Pakistan,West Indies,Pakistan,4 wickets,Sydney,"Jan 18, 1997",ODI # 1165
11,Pakistan,West Indies,Pakistan,62 runs,Melbourne,"Jan 20, 1997",ODI # 1166
12,South Africa,India,South Africa,39 runs,Bloemfontein,"Jan 23, 1997",ODI # 1167
13,South Africa,Zimbabwe,South Africa,5 wickets,Centurion,"Jan 25, 1997",ODI # 1168
14,India,Zimbabwe,tied,,Paarl,"Jan 27, 1997",ODI # 1169
15,South Africa,Zimbabwe,South Africa,5 wickets,Cape Town,"Jan 29, 1997",ODI # 1170
16,South Africa,Zimbabwe,South Africa,4 wickets,Johannesburg,"Jan 31, 1997",ODI # 1171
17,South Africa,India,South Africa,6 wickets,Port Elizabeth,"Feb 2, 1997",ODI # 1172
18,South Africa,India,South Africa,6 wickets,East London,"Feb 4, 1997",ODI # 1173
19,India,Zimbabwe,Zimbabwe,3 wickets,Centurion,"Feb 7, 1997",ODI # 1174
20,India,Zimbabwe,India,6 wickets,Benoni,"Feb 9, 1997",ODI # 1175
21,South Africa,India,no result,,Durban,"Feb 12, 1997",ODI # 1176
22,South Africa,India,South Africa,17 runs,Durban,"Feb 13, 1997",ODI # 1177
23,Zimbabwe,India,Zimbabwe,8 wickets,Bulawayo,"Feb 15, 1997",ODI # 1178
24,New Zealand,England,England,4 wickets,Christchurch,"Feb 20, 1997",ODI # 1179
25,New Zealand,England,England,6 wickets,Auckland,"Feb 23, 1997",ODI # 1180
26,New Zealand,England,tied,,Napier,"Feb 26, 1997",ODI # 1181
27,New Zealand,England,New Zealand,9 runs,Auckland,"Mar 2, 1997",ODI # 1182
28,New Zealand,England,New Zealand,28 runs,Wellington,"Mar 4, 1997",ODI # 1183
29,New Zealand,Sri Lanka,Sri Lanka,6 wickets,Christchurch,"Mar 25, 1997",ODI # 1184
30,New Zealand,Sri Lanka,New Zealand,69 runs,Wellington,"Mar 27, 1997",ODI # 1185
31,South Africa,Australia,South Africa,6 wickets,East London,"Mar 29, 1997",ODI # 1186
32,South Africa,Australia,Australia,7 wickets,Port Elizabeth,"Mar 31, 1997",ODI # 1187
33,South Africa,Australia,South Africa,46 runs,Cape Town,"Apr 2, 1997",ODI # 1188
34,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Sharjah,"Apr 3, 1997",ODI # 1189
35,Pakistan,Sri Lanka,Sri Lanka,19 runs,Sharjah,"Apr 4, 1997",ODI # 1190
36,South Africa,Australia,Australia,15 runs,Durban,"Apr 5, 1997",ODI # 1191
37,Pakistan,Zimbabwe,Pakistan,93 runs,Sharjah,"Apr 6, 1997",ODI # 1192
38,Pakistan,Sri Lanka,Sri Lanka,51 runs,Sharjah,"Apr 7, 1997",ODI # 1193
39,Sri Lanka,Zimbabwe,Zimbabwe,50 runs,Sharjah,"Apr 8, 1997",ODI # 1194
40,South Africa,Australia,Australia,8 runs,Johannesburg,"Apr 8, 1997",ODI # 1195
41,Pakistan,Zimbabwe,Pakistan,32 runs,Sharjah,"Apr 9, 1997",ODI # 1196
42,South Africa,Australia,Australia,5 wickets,Centurion,"Apr 10, 1997",ODI # 1197
43,Pakistan,Sri Lanka,Sri Lanka,4 wickets,Sharjah,"Apr 11, 1997",ODI # 1198
44,South Africa,Australia,South Africa,109 runs,Bloemfontein,"Apr 13, 1997",ODI # 1199
45,West Indies,India,West Indies,8 wickets,Port of Spain,"Apr 26, 1997",ODI # 1200
46,West Indies,India,India,10 wickets,Port of Spain,"Apr 27, 1997",ODI # 1201
47,West Indies,India,West Indies,18 runs,Kingstown,"Apr 30, 1997",ODI # 1202
48,West Indies,India,West Indies,10 wickets,Bridgetown,"May 3, 1997",ODI # 1203
49,New Zealand,Pakistan,New Zealand,22 runs,Mohali,"May 9, 1997",ODI # 1204
50,Pakistan,Sri Lanka,Pakistan,30 runs,Gwalior,"May 12, 1997",ODI # 1205
51,India,New Zealand,India,8 wickets,Bengaluru,"May 14, 1997",ODI # 1206
52,India,Sri Lanka,Sri Lanka,5 wickets,Mumbai,"May 17, 1997",ODI # 1207
53,New Zealand,Sri Lanka,Sri Lanka,52 runs,Hyderabad (Deccan),"May 20, 1997",ODI # 1208
54,India,Pakistan,Pakistan,35 runs,Chennai,"May 21, 1997",ODI # 1209
55,England,Australia,England,6 wickets,Leeds,"May 22, 1997",ODI # 1210
56,Pakistan,Sri Lanka,Sri Lanka,115 runs,Mohali,"May 24, 1997",ODI # 1212
57,England,Australia,England,6 wickets,The Oval,"May 24, 1997",ODI # 1211
58,England,Australia,England,6 wickets,Lord's,"May 25, 1997",ODI # 1213
59,Pakistan,Sri Lanka,Sri Lanka,85 runs,Kolkata,"May 27, 1997",ODI # 1214
60,West Indies,Sri Lanka,West Indies,35 runs,Port of Spain,"Jun 6, 1997",ODI # 1215
61,Sri Lanka,Pakistan,Sri Lanka,15 runs,Colombo (RPS),"Jul 14, 1997",ODI # 1216
62,Bangladesh,Pakistan,Pakistan,109 runs,Colombo (RPS),"Jul 16, 1997",ODI # 1217
63,Sri Lanka,India,Sri Lanka,6 wickets,Colombo (RPS),"Jul 18, 1997",ODI # 1218
64,India,Pakistan,no result,,Colombo (SSC),"Jul 20, 1997",ODI # 1219
65,Sri Lanka,Bangladesh,Sri Lanka,103 runs,Colombo (SSC),"Jul 22, 1997",ODI # 1220
66,Bangladesh,India,India,9 wickets,Colombo (SSC),"Jul 24, 1997",ODI # 1221
67,Sri Lanka,India,Sri Lanka,8 wickets,Colombo (RPS),"Jul 26, 1997",ODI # 1222
68,Sri Lanka,India,Sri Lanka,2 runs,Colombo (RPS),"Aug 17, 1997",ODI # 1223
69,Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),"Aug 20, 1997",ODI # 1224
70,Sri Lanka,India,no result,,Colombo (SSC),"Aug 23, 1997",ODI # 1225
71,Sri Lanka,India,Sri Lanka,9 runs,Colombo (SSC),"Aug 24, 1997",ODI # 1226
72,India,Pakistan,India,20 runs,Toronto,"Sep 13, 1997",ODI # 1227
73,India,Pakistan,India,7 wickets,Toronto,"Sep 14, 1997",ODI # 1228
74,India,Pakistan,no result,,Toronto,"Sep 17, 1997",ODI # 1229
75,India,Pakistan,India,34 runs,Toronto,"Sep 18, 1997",ODI # 1230
76,India,Pakistan,India,7 wickets,Toronto,"Sep 20, 1997",ODI # 1231
77,India,Pakistan,Pakistan,5 wickets,Toronto,"Sep 21, 1997",ODI # 1232
