,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,New Zealand,Australia,8 wickets,Melbourne,"Jan 9, 1983",ODI # 165
1,Australia,England,Australia,31 runs,Sydney,"Jan 11, 1983",ODI # 166
2,England,New Zealand,New Zealand,2 runs,Melbourne,"Jan 13, 1983",ODI # 167
3,England,New Zealand,England,54 runs,Brisbane,"Jan 15, 1983",ODI # 168
4,Australia,England,Australia,7 wickets,Brisbane,"Jan 16, 1983",ODI # 169
5,Australia,New Zealand,New Zealand,47 runs,Sydney,"Jan 18, 1983",ODI # 170
6,England,New Zealand,England,8 wickets,Sydney,"Jan 20, 1983",ODI # 171
7,Pakistan,India,Pakistan,8 wickets,Karachi,"Jan 21, 1983",ODI # 172
8,Australia,New Zealand,New Zealand,58 runs,Melbourne,"Jan 22, 1983",ODI # 173
9,Australia,England,Australia,5 wickets,Melbourne,"Jan 23, 1983",ODI # 174
10,Australia,England,England,98 runs,Sydney,"Jan 26, 1983",ODI # 175
11,England,New Zealand,New Zealand,4 wickets,Adelaide,"Jan 29, 1983",ODI # 176
12,Australia,England,England,14 runs,Adelaide,"Jan 30, 1983",ODI # 177
13,Australia,New Zealand,New Zealand,47 runs,Adelaide,"Jan 31, 1983",ODI # 178
14,England,New Zealand,New Zealand,7 wickets,Perth,"Feb 5, 1983",ODI # 179
15,Australia,New Zealand,Australia,27 runs,Perth,"Feb 6, 1983",ODI # 180
16,Australia,New Zealand,Australia,6 wickets,Sydney,"Feb 9, 1983",ODI # 181
17,Australia,New Zealand,Australia,149 runs,Melbourne,"Feb 13, 1983",ODI # 182
18,New Zealand,England,New Zealand,6 wickets,Auckland,"Feb 19, 1983",ODI # 183
19,New Zealand,England,New Zealand,103 runs,Wellington,"Feb 23, 1983",ODI # 184
20,New Zealand,England,New Zealand,84 runs,Christchurch,"Feb 26, 1983",ODI # 185
21,New Zealand,Sri Lanka,New Zealand,65 runs,Dunedin,"Mar 2, 1983",ODI # 186
22,West Indies,India,West Indies,52 runs,Port of Spain,"Mar 9, 1983",ODI # 187
23,Australia,New Zealand,New Zealand,14 runs,Sydney,"Mar 17, 1983",ODI # 188
24,New Zealand,Sri Lanka,New Zealand,7 wickets,Napier,"Mar 19, 1983",ODI # 189
25,New Zealand,Sri Lanka,New Zealand,116 runs,Auckland,"Mar 20, 1983",ODI # 190
26,West Indies,India,India,27 runs,Albion,"Mar 29, 1983",ODI # 191
27,West Indies,India,West Indies,7 wickets,St George's,"Apr 7, 1983",ODI # 192
28,Sri Lanka,Australia,Sri Lanka,2 wickets,Colombo (PSS),"Apr 13, 1983",ODI # 193
29,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (PSS),"Apr 16, 1983",ODI # 194
30,Sri Lanka,Australia,no result,,Colombo (SSC),"Apr 29, 1983",ODI # 195
31,Sri Lanka,Australia,no result,,Colombo (SSC),"Apr 30, 1983",ODI # 196
32,England,New Zealand,England,106 runs,The Oval,"Jun 9, 1983",ODI # 197
33,Pakistan,Sri Lanka,Pakistan,50 runs,Swansea,"Jun 9, 1983",ODI # 198
34,Australia,Zimbabwe,Zimbabwe,13 runs,Nottingham,"Jun 9, 1983",ODI # 199
35,India,West Indies,India,34 runs,Manchester,"Jun 9-10, 1983",ODI # 200
36,England,Sri Lanka,England,47 runs,Taunton,"Jun 11, 1983",ODI # 201
37,New Zealand,Pakistan,New Zealand,52 runs,Birmingham,"Jun 11-12, 1983",ODI # 202
38,Australia,West Indies,West Indies,101 runs,Leeds,"Jun 11-12, 1983",ODI # 203
39,India,Zimbabwe,India,5 wickets,Leicester,"Jun 11, 1983",ODI # 204
40,England,Pakistan,England,8 wickets,Lord's,"Jun 13, 1983",ODI # 205
41,New Zealand,Sri Lanka,New Zealand,5 wickets,Bristol,"Jun 13, 1983",ODI # 206
42,Australia,India,Australia,162 runs,Nottingham,"Jun 13, 1983",ODI # 207
43,West Indies,Zimbabwe,West Indies,8 wickets,Worcester,"Jun 13, 1983",ODI # 208
44,England,New Zealand,New Zealand,2 wickets,Birmingham,"Jun 15, 1983",ODI # 209
45,India,West Indies,West Indies,66 runs,The Oval,"Jun 15, 1983",ODI # 210
46,Pakistan,Sri Lanka,Pakistan,11 runs,Leeds,"Jun 16, 1983",ODI # 211
47,Australia,Zimbabwe,Australia,32 runs,Southampton,"Jun 16, 1983",ODI # 212
48,England,Pakistan,England,7 wickets,Manchester,"Jun 18, 1983",ODI # 213
49,New Zealand,Sri Lanka,Sri Lanka,3 wickets,Derby,"Jun 18, 1983",ODI # 214
50,Australia,West Indies,West Indies,7 wickets,Lord's,"Jun 18, 1983",ODI # 215
51,India,Zimbabwe,India,31 runs,Tunbridge Wells,"Jun 18, 1983",ODI # 216
52,England,Sri Lanka,England,9 wickets,Leeds,"Jun 20, 1983",ODI # 217
53,New Zealand,Pakistan,Pakistan,11 runs,Nottingham,"Jun 20, 1983",ODI # 218
54,Australia,India,India,118 runs,Chelmsford,"Jun 20, 1983",ODI # 219
55,West Indies,Zimbabwe,West Indies,10 wickets,Birmingham,"Jun 20, 1983",ODI # 220
56,England,India,India,6 wickets,Manchester,"Jun 22, 1983",ODI # 221
57,Pakistan,West Indies,West Indies,8 wickets,The Oval,"Jun 22, 1983",ODI # 222
58,India,West Indies,India,43 runs,Lord's,"Jun 25, 1983",ODI # 223
59,India,Pakistan,India,4 wickets,Hyderabad (Deccan),"Sep 10, 1983",ODI # 224
60,India,Pakistan,India,4 wickets,Jaipur,"Oct 2, 1983",ODI # 225
61,India,West Indies,West Indies,28 runs,Srinagar,"Oct 13, 1983",ODI # 226
62,India,West Indies,West Indies,4 wickets,Vadodara,"Nov 9, 1983",ODI # 227
63,India,West Indies,West Indies,8 wickets,Indore,"Dec 1, 1983",ODI # 228
64,India,West Indies,West Indies,104 runs,Jamshedpur,"Dec 7, 1983",ODI # 229
65,India,West Indies,West Indies,6 wickets,Guwahati,"Dec 17, 1983",ODI # 230
