,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,New Zealand,New Zealand,23 runs,Melbourne,"Jan 11, 2002",ODI # 1783
1,Australia,South Africa,South Africa,4 wickets,Melbourne,"Jan 13, 2002",ODI # 1784
2,New Zealand,South Africa,South Africa,26 runs,Hobart,"Jan 15, 2002",ODI # 1785
3,Australia,New Zealand,New Zealand,23 runs,Sydney,"Jan 17, 2002",ODI # 1786
4,New Zealand,South Africa,New Zealand,4 wickets,Brisbane,"Jan 19, 2002",ODI # 1787
5,India,England,India,22 runs,Kolkata,"Jan 19, 2002",ODI # 1788
6,Australia,South Africa,Australia,27 runs,Brisbane,"Jan 20, 2002",ODI # 1789
7,Bangladesh,Pakistan,Pakistan,49 runs,Chittagong,"Jan 22, 2002",ODI # 1790
8,Australia,South Africa,Australia,8 wickets,Sydney,"Jan 22, 2002",ODI # 1791
9,India,England,England,16 runs,Cuttack,"Jan 22, 2002",ODI # 1792
10,Bangladesh,Pakistan,Pakistan,72 runs,Dhaka,"Jan 24, 2002",ODI # 1793
11,Bangladesh,Pakistan,Pakistan,8 wickets,Dhaka,"Jan 25, 2002",ODI # 1794
12,India,England,India,4 wickets,Chennai,"Jan 25, 2002",ODI # 1795
13,Australia,New Zealand,New Zealand,77 runs,Adelaide,"Jan 26, 2002",ODI # 1796
14,New Zealand,South Africa,South Africa,93 runs,Adelaide,"Jan 27, 2002",ODI # 1797
15,India,England,India,8 wickets,Kanpur,"Jan 28, 2002",ODI # 1798
16,Australia,New Zealand,Australia,2 wickets,Melbourne,"Jan 29, 2002",ODI # 1799
17,India,England,England,2 runs,Delhi,"Jan 31, 2002",ODI # 1800
18,New Zealand,South Africa,South Africa,67 runs,Perth,"Feb 1, 2002",ODI # 1801
19,Australia,South Africa,Australia,33 runs,Perth,"Feb 3, 2002",ODI # 1802
20,India,England,England,5 runs,Mumbai,"Feb 3, 2002",ODI # 1803
21,New Zealand,South Africa,South Africa,8 wickets,Melbourne,"Feb 6, 2002",ODI # 1804
22,New Zealand,South Africa,South Africa,6 wickets,Sydney,"Feb 8, 2002",ODI # 1805
23,New Zealand,England,New Zealand,4 wickets,Christchurch,"Feb 13, 2002",ODI # 1806
24,Pakistan,West Indies,Pakistan,4 wickets,Sharjah,"Feb 14, 2002",ODI # 1807
25,Pakistan,West Indies,Pakistan,51 runs,Sharjah,"Feb 15, 2002",ODI # 1808
26,New Zealand,England,New Zealand,155 runs,Wellington,"Feb 16, 2002",ODI # 1809
27,Pakistan,West Indies,West Indies,110 runs,Sharjah,"Feb 17, 2002",ODI # 1810
28,New Zealand,England,England,43 runs,Napier,"Feb 20, 2002",ODI # 1811
29,New Zealand,England,England,33 runs,Auckland,"Feb 23, 2002",ODI # 1812
30,New Zealand,England,New Zealand,5 wickets,Dunedin,"Feb 26, 2002",ODI # 1813
31,India,Zimbabwe,Zimbabwe,1 wicket,Faridabad,"Mar 7, 2002",ODI # 1814
32,India,Zimbabwe,India,64 runs,Mohali,"Mar 10, 2002",ODI # 1815
33,India,Zimbabwe,Zimbabwe,6 wickets,Kochi,"Mar 13, 2002",ODI # 1816
34,India,Zimbabwe,India,5 wickets,Hyderabad (Deccan),"Mar 16, 2002",ODI # 1817
35,India,Zimbabwe,India,101 runs,Guwahati,"Mar 19, 2002",ODI # 1818
36,South Africa,Australia,Australia,19 runs,Johannesburg,"Mar 22, 2002",ODI # 1819
37,South Africa,Australia,Australia,45 runs,Centurion,"Mar 24, 2002",ODI # 1820
38,South Africa,Australia,tied,,Potchefstroom,"Mar 27, 2002",ODI # 1821
39,South Africa,Australia,Australia,37 runs,Bloemfontein,"Mar 30, 2002",ODI # 1822
40,South Africa,Australia,Australia,8 wickets,Durban,"Apr 3, 2002",ODI # 1823
41,South Africa,Australia,Australia,3 wickets,Port Elizabeth,"Apr 6, 2002",ODI # 1824
42,Pakistan,Sri Lanka,Sri Lanka,41 runs,Sharjah,"Apr 8, 2002",ODI # 1825
43,New Zealand,Sri Lanka,New Zealand,11 runs,Sharjah,"Apr 9, 2002",ODI # 1826
44,South Africa,Australia,South Africa,65 runs,Cape Town,"Apr 9, 2002",ODI # 1827
45,New Zealand,Pakistan,Pakistan,51 runs,Sharjah,"Apr 11, 2002",ODI # 1828
