,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,Sri Lanka,no result,,Nelson,"Jan 2, 2016",ODI # 3718
1,Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah,"Jan 2, 2016",ODI # 3719
2,Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah,"Jan 4, 2016",ODI # 3720
3,New Zealand,Sri Lanka,New Zealand,36 runs,Mount Maunganui,"Jan 5, 2016",ODI # 3721
4,Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah,"Jan 6, 2016",ODI # 3722
5,Australia,India,Australia,5 wickets,Perth,"Jan 12, 2016",ODI # 3723
6,Australia,India,Australia,7 wickets,Brisbane,"Jan 15, 2016",ODI # 3724
7,Australia,India,Australia,3 wickets,Melbourne,"Jan 17, 2016",ODI # 3725
8,Australia,India,Australia,25 runs,Canberra,"Jan 20, 2016",ODI # 3726
9,Australia,India,India,6 wickets,Sydney,"Jan 23, 2016",ODI # 3727
10,New Zealand,Pakistan,New Zealand,70 runs,Wellington,"Jan 25, 2016",ODI # 3728
11,Hong Kong,Scotland,Hong Kong,109 runs,Mong Kok,"Jan 26, 2016",ODI # 3729
12,New Zealand,Pakistan,New Zealand,3 wickets,Auckland,"Jan 31, 2016",ODI # 3730
13,New Zealand,Australia,New Zealand,159 runs,Auckland,"Feb 3, 2016",ODI # 3731
14,South Africa,England,England,39 runs,Bloemfontein,"Feb 3, 2016",ODI # 3732
15,New Zealand,Australia,Australia,4 wickets,Wellington,"Feb 6, 2016",ODI # 3733
16,South Africa,England,England,5 wickets,Port Elizabeth,"Feb 6, 2016",ODI # 3734
17,New Zealand,Australia,New Zealand,55 runs,Hamilton,"Feb 8, 2016",ODI # 3735
18,South Africa,England,South Africa,7 wickets,Centurion,"Feb 9, 2016",ODI # 3736
19,South Africa,England,South Africa,1 wicket,Johannesburg,"Feb 12, 2016",ODI # 3737
20,South Africa,England,South Africa,5 wickets,Cape Town,"Feb 14, 2016",ODI # 3738
21,West Indies,South Africa,West Indies,4 wickets,Providence,"Jun 3, 2016",ODI # 3739
22,West Indies,Australia,Australia,6 wickets,Providence,"Jun 5, 2016",ODI # 3740
23,Australia,South Africa,South Africa,47 runs,Providence,"Jun 7, 2016",ODI # 3741
24,Zimbabwe,India,India,9 wickets,Harare,"Jun 11, 2016",ODI # 3742
25,Australia,South Africa,Australia,36 runs,Basseterre,"Jun 11, 2016",ODI # 3743
26,Zimbabwe,India,India,8 wickets,Harare,"Jun 13, 2016",ODI # 3744
27,West Indies,Australia,West Indies,4 wickets,Basseterre,"Jun 13, 2016",ODI # 3745
28,Zimbabwe,India,India,10 wickets,Harare,"Jun 15, 2016",ODI # 3746
29,West Indies,South Africa,South Africa,139 runs,Basseterre,"Jun 15, 2016",ODI # 3747
30,Ireland,Sri Lanka,Sri Lanka,76 runs,Dublin (Malahide),"Jun 16, 2016",ODI # 3748
31,Ireland,Sri Lanka,Sri Lanka,136 runs,Dublin (Malahide),"Jun 18, 2016",ODI # 3749
32,Australia,South Africa,no result,,Bridgetown,"Jun 19, 2016",ODI # 3750
33,England,Sri Lanka,tied,,Nottingham,"Jun 21, 2016",ODI # 3751
34,West Indies,Australia,Australia,6 wickets,Bridgetown,"Jun 21, 2016",ODI # 3752
35,England,Sri Lanka,England,10 wickets,Birmingham,"Jun 24, 2016",ODI # 3753
36,West Indies,South Africa,West Indies,100 runs,Bridgetown,"Jun 24, 2016",ODI # 3754
37,England,Sri Lanka,no result,,Bristol,"Jun 26, 2016",ODI # 3755
38,West Indies,Australia,Australia,58 runs,Bridgetown,"Jun 26, 2016",ODI # 3756
39,England,Sri Lanka,England,6 wickets,The Oval,"Jun 29, 2016",ODI # 3757
40,England,Sri Lanka,England,122 runs,Cardiff,"Jul 2, 2016",ODI # 3758
41,Scotland,Afghanistan,no result,,Edinburgh,"Jul 4, 2016",ODI # 3759
42,Scotland,Afghanistan,Afghanistan,78 runs,Edinburgh,"Jul 6, 2016",ODI # 3760
43,Ireland,Afghanistan,Afghanistan,39 runs,Belfast,"Jul 12, 2016",ODI # 3761
44,Ireland,Afghanistan,Ireland,6 wickets,Belfast,"Jul 14, 2016",ODI # 3762
45,Ireland,Afghanistan,Afghanistan,79 runs,Belfast,"Jul 17, 2016",ODI # 3763
46,Ireland,Afghanistan,Ireland,12 runs,Belfast,"Jul 19, 2016",ODI # 3764
47,Scotland,U.A.E.,Scotland,98 runs,Edinburgh,"Aug 14, 2016",ODI # 3765
48,Scotland,U.A.E.,Scotland,7 wickets,Edinburgh,"Aug 16, 2016",ODI # 3766
49,Ireland,Pakistan,Pakistan,255 runs,Dublin (Malahide),"Aug 18, 2016",ODI # 3767
