,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,Zimbabwe,Zimbabwe,70 runs,Taupo,"Jan 2, 2001",ODI # 1663
1,New Zealand,Zimbabwe,New Zealand,8 wickets,Wellington,"Jan 4, 2001",ODI # 1664
2,New Zealand,Zimbabwe,Zimbabwe,1 wicket,Auckland,"Jan 7, 2001",ODI # 1665
3,South Africa,Sri Lanka,South Africa,8 wickets,Paarl,"Jan 9, 2001",ODI # 1666
4,Australia,West Indies,Australia,74 runs,Melbourne,"Jan 11, 2001",ODI # 1667
5,South Africa,Sri Lanka,South Africa,99 runs,Cape Town,"Jan 11, 2001",ODI # 1668
6,West Indies,Zimbabwe,West Indies,1 wicket,Brisbane,"Jan 13, 2001",ODI # 1669
7,Australia,West Indies,Australia,9 wickets,Brisbane,"Jan 14, 2001",ODI # 1670
8,South Africa,Sri Lanka,South Africa,5 wickets,Bloemfontein,"Jan 14, 2001",ODI # 1671
9,Australia,West Indies,Australia,28 runs,Sydney,"Jan 17, 2001",ODI # 1672
10,South Africa,Sri Lanka,Sri Lanka,4 runs,Johannesburg,"Jan 17, 2001",ODI # 1673
11,Australia,Zimbabwe,Australia,8 wickets,Melbourne,"Jan 21, 2001",ODI # 1674
12,West Indies,Zimbabwe,Zimbabwe,47 runs,Sydney,"Jan 23, 2001",ODI # 1675
13,West Indies,Zimbabwe,West Indies,77 runs,Adelaide,"Jan 25, 2001",ODI # 1676
14,Australia,West Indies,Australia,10 wickets,Adelaide,"Jan 26, 2001",ODI # 1677
15,Australia,Zimbabwe,Australia,86 runs,Sydney,"Jan 28, 2001",ODI # 1678
16,Australia,Zimbabwe,Australia,6 wickets,Hobart,"Jan 30, 2001",ODI # 1679
17,New Zealand,Sri Lanka,Sri Lanka,61 runs,Napier,"Jan 31, 2001",ODI # 1680
18,West Indies,Zimbabwe,West Indies,44 runs,Perth,"Feb 2, 2001",ODI # 1681
19,New Zealand,Sri Lanka,Sri Lanka,3 wickets,Wellington,"Feb 3, 2001",ODI # 1682
20,Australia,Zimbabwe,Australia,1 run,Perth,"Feb 4, 2001",ODI # 1683
21,New Zealand,Sri Lanka,Sri Lanka,9 wickets,Auckland,"Feb 6, 2001",ODI # 1684
22,Australia,West Indies,Australia,134 runs,Sydney,"Feb 7, 2001",ODI # 1685
23,New Zealand,Sri Lanka,Sri Lanka,3 runs,Hamilton,"Feb 8, 2001",ODI # 1686
24,Australia,West Indies,Australia,39 runs,Melbourne,"Feb 9, 2001",ODI # 1687
25,New Zealand,Sri Lanka,New Zealand,13 runs,Christchurch,"Feb 11, 2001",ODI # 1688
26,New Zealand,Pakistan,Pakistan,6 wickets,Auckland,"Feb 17-18, 2001",ODI # 1689
27,New Zealand,Pakistan,New Zealand,6 wickets,Napier,"Feb 20, 2001",ODI # 1690
28,New Zealand,Pakistan,Pakistan,28 runs,Wellington,"Feb 22, 2001",ODI # 1691
29,New Zealand,Pakistan,New Zealand,138 runs,Christchurch,"Feb 25, 2001",ODI # 1692
30,New Zealand,Pakistan,New Zealand,4 wickets,Dunedin,"Feb 28, 2001",ODI # 1693
31,Sri Lanka,England,Sri Lanka,5 wickets,Dambulla,"Mar 23, 2001",ODI # 1694
32,Sri Lanka,England,Sri Lanka,66 runs,Colombo (RPS),"Mar 25, 2001",ODI # 1695
33,India,Australia,India,60 runs,Bengaluru,"Mar 25, 2001",ODI # 1696
34,Sri Lanka,England,Sri Lanka,10 wickets,Colombo (SSC),"Mar 27, 2001",ODI # 1697
35,India,Australia,Australia,8 wickets,Pune,"Mar 28, 2001",ODI # 1698
36,India,Australia,India,118 runs,Indore,"Mar 31, 2001",ODI # 1699
37,India,Australia,Australia,93 runs,Visakhapatnam,"Apr 3, 2001",ODI # 1700
38,India,Australia,Australia,4 wickets,Margao,"Apr 6, 2001",ODI # 1701
39,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,"Apr 7, 2001",ODI # 1702
40,Zimbabwe,Bangladesh,Zimbabwe,127 runs,Harare,"Apr 8, 2001",ODI # 1703
41,Pakistan,Sri Lanka,Pakistan,16 runs,Sharjah,"Apr 8, 2001",ODI # 1704
42,New Zealand,Sri Lanka,Sri Lanka,106 runs,Sharjah,"Apr 10, 2001",ODI # 1705
43,Zimbabwe,Bangladesh,Zimbabwe,36 runs,Bulawayo,"Apr 11, 2001",ODI # 1706
44,New Zealand,Pakistan,Pakistan,8 wickets,Sharjah,"Apr 12, 2001",ODI # 1707
45,Pakistan,Sri Lanka,Pakistan,28 runs,Sharjah,"Apr 13, 2001",ODI # 1708
46,New Zealand,Pakistan,Pakistan,7 wickets,Sharjah,"Apr 15, 2001",ODI # 1709
47,New Zealand,Sri Lanka,New Zealand,79 runs,Sharjah,"Apr 17, 2001",ODI # 1710
48,Pakistan,Sri Lanka,Sri Lanka,77 runs,Sharjah,"Apr 20, 2001",ODI # 1711
49,West Indies,South Africa,West Indies,3 wickets,Kingston,"Apr 28, 2001",ODI # 1712
50,West Indies,South Africa,South Africa,8 wickets,St John's,"May 2, 2001",ODI # 1713
51,West Indies,South Africa,South Africa,132 runs,St George's,"May 5, 2001",ODI # 1714
52,West Indies,South Africa,South Africa,8 wickets,St George's,"May 6, 2001",ODI # 1715
53,West Indies,South Africa,South Africa,7 wickets,Bridgetown,"May 9, 2001",ODI # 1716
54,West Indies,South Africa,South Africa,53 runs,Port of Spain,"May 12, 2001",ODI # 1717
55,West Indies,South Africa,West Indies,6 wickets,Kingstown,"May 16, 2001",ODI # 1718
56,England,Pakistan,Pakistan,108 runs,Birmingham,"Jun 7, 2001",ODI # 1719
57,Australia,Pakistan,Australia,7 wickets,Cardiff,"Jun 9, 2001",ODI # 1720
58,England,Australia,Australia,5 wickets,Bristol,"Jun 10, 2001",ODI # 1721
59,England,Pakistan,Pakistan,2 runs,Lord's,"Jun 12, 2001",ODI # 1722
60,England,Australia,Australia,125 runs,Manchester,"Jun 14, 2001",ODI # 1723
61,England,Pakistan,Pakistan,,Leeds,"Jun 17, 2001",ODI # 1724
62,Australia,Pakistan,Pakistan,36 runs,Nottingham,"Jun 19, 2001",ODI # 1725
63,England,Australia,Australia,8 wickets,The Oval,"Jun 21, 2001",ODI # 1726
64,Zimbabwe,West Indies,West Indies,27 runs,Harare,"Jun 23, 2001",ODI # 1727
65,Australia,Pakistan,Australia,9 wickets,Lord's,"Jun 23, 2001",ODI # 1728
66,Zimbabwe,India,India,9 wickets,Harare,"Jun 24, 2001",ODI # 1729
67,Zimbabwe,India,India,4 wickets,Bulawayo,"Jun 27, 2001",ODI # 1730
68,India,West Indies,India,6 wickets,Bulawayo,"Jun 30, 2001",ODI # 1731
69,Zimbabwe,West Indies,West Indies,5 wickets,Bulawayo,"Jul 1, 2001",ODI # 1732
70,India,West Indies,India,6 wickets,Harare,"Jul 4, 2001",ODI # 1733
71,India,West Indies,West Indies,16 runs,Harare,"Jul 7, 2001",ODI # 1734
72,Sri Lanka,New Zealand,Sri Lanka,16 runs,Colombo (RPS),"Jul 18, 2001",ODI # 1735
73,India,New Zealand,New Zealand,84 runs,Colombo (RPS),"Jul 20, 2001",ODI # 1736
74,Sri Lanka,India,Sri Lanka,6 runs,Colombo (RPS),"Jul 22, 2001",ODI # 1737
75,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Colombo (RPS),"Jul 25, 2001",ODI # 1738
76,India,New Zealand,New Zealand,67 runs,Colombo (RPS),"Jul 26, 2001",ODI # 1739
77,Sri Lanka,India,India,7 wickets,Colombo (RPS),"Jul 28, 2001",ODI # 1740
