,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,West Indies,West Indies,27 runs,Melbourne,"Jan 8, 1984",ODI # 231
1,Australia,Pakistan,Australia,34 runs,Sydney,"Jan 10, 1984",ODI # 232
2,Pakistan,West Indies,Pakistan,97 runs,Melbourne,"Jan 12, 1984",ODI # 233
3,Pakistan,West Indies,West Indies,5 wickets,Brisbane,"Jan 14, 1984",ODI # 234
4,Australia,Pakistan,no result,,Brisbane,"Jan 15, 1984",ODI # 235
5,Australia,West Indies,West Indies,28 runs,Sydney,"Jan 17, 1984",ODI # 236
6,Pakistan,West Indies,West Indies,5 wickets,Sydney,"Jan 19, 1984",ODI # 237
7,Australia,Pakistan,Australia,43 runs,Melbourne,"Jan 21, 1984",ODI # 238
8,Australia,West Indies,West Indies,26 runs,Melbourne,"Jan 22, 1984",ODI # 239
9,Australia,Pakistan,Australia,87 runs,Sydney,"Jan 25, 1984",ODI # 240
10,Pakistan,West Indies,West Indies,1 wicket,Adelaide,"Jan 28, 1984",ODI # 241
11,Australia,West Indies,West Indies,6 wickets,Adelaide,"Jan 29, 1984",ODI # 242
12,Australia,Pakistan,Australia,70 runs,Adelaide,"Jan 30, 1984",ODI # 243
13,Pakistan,West Indies,West Indies,7 wickets,Perth,"Feb 4, 1984",ODI # 244
14,Australia,West Indies,Australia,14 runs,Perth,"Feb 5, 1984",ODI # 245
15,Australia,West Indies,West Indies,9 wickets,Sydney,"Feb 8, 1984",ODI # 246
16,Australia,West Indies,tied,,Melbourne,"Feb 11, 1984",ODI # 247
17,Australia,West Indies,West Indies,6 wickets,Melbourne,"Feb 12, 1984",ODI # 248
18,New Zealand,England,England,54 runs,Christchurch,"Feb 18, 1984",ODI # 249
19,New Zealand,England,England,6 wickets,Wellington,"Feb 22, 1984",ODI # 250
20,New Zealand,England,New Zealand,7 wickets,Auckland,"Feb 25, 1984",ODI # 251
21,West Indies,Australia,West Indies,8 wickets,Albion,"Feb 29, 1984",ODI # 252
22,Sri Lanka,New Zealand,New Zealand,104 runs,Colombo (SSC),"Mar 3, 1984",ODI # 253
23,Pakistan,England,Pakistan,6 wickets,Lahore,"Mar 9, 1984",ODI # 254
24,West Indies,Australia,Australia,4 wickets,Port of Spain,"Mar 14, 1984",ODI # 255
25,Pakistan,England,England,6 wickets,Karachi,"Mar 26, 1984",ODI # 256
26,Sri Lanka,New Zealand,Sri Lanka,41 runs,Moratuwa,"Mar 31, 1984",ODI # 257
27,Sri Lanka,New Zealand,New Zealand,86 runs,Colombo (PSS),"Apr 1, 1984",ODI # 258
28,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Sharjah,"Apr 6, 1984",ODI # 259
29,India,Sri Lanka,India,10 wickets,Sharjah,"Apr 8, 1984",ODI # 260
30,India,Pakistan,India,54 runs,Sharjah,"Apr 13, 1984",ODI # 261
31,West Indies,Australia,West Indies,7 wickets,Castries,"Apr 19, 1984",ODI # 262
32,West Indies,Australia,West Indies,9 wickets,Kingston,"Apr 26, 1984",ODI # 263
33,England,West Indies,West Indies,104 runs,Manchester,"May 31, 1984",ODI # 264
34,England,West Indies,England,3 wickets,Nottingham,"Jun 2, 1984",ODI # 265
35,England,West Indies,West Indies,8 wickets,Lord's,"Jun 4, 1984",ODI # 266
36,India,Australia,Australia,48 runs,New Delhi,"Sep 28, 1984",ODI # 267
37,India,Australia,no result,,Thiruvananthapuram,"Oct 1, 1984",ODI # 268
38,India,Australia,no result,,Jamshedpur,"Oct 3, 1984",ODI # 269
39,India,Australia,Australia,7 wickets,Ahmedabad,"Oct 5, 1984",ODI # 270
40,India,Australia,Australia,6 wickets,Indore,"Oct 6, 1984",ODI # 271
41,Pakistan,India,Pakistan,46 runs,Quetta,"Oct 12, 1984",ODI # 272
42,Pakistan,India,no result,,Sialkot,"Oct 31, 1984",ODI # 273
43,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Colombo (PSS),"Nov 3, 1984",ODI # 274
44,Sri Lanka,New Zealand,New Zealand,7 wickets,Moratuwa,"Nov 4, 1984",ODI # 275
45,Pakistan,New Zealand,Pakistan,46 runs,Peshawar,"Nov 12, 1984",ODI # 276
46,Pakistan,New Zealand,Pakistan,5 runs,Faisalabad,"Nov 23, 1984",ODI # 277
47,Pakistan,New Zealand,New Zealand,34 runs,Sialkot,"Dec 2, 1984",ODI # 278
48,India,England,England,4 wickets,Pune,"Dec 5, 1984",ODI # 279
49,Pakistan,New Zealand,Pakistan,1 wicket,Multan,"Dec 7, 1984",ODI # 280
50,India,England,England,1 run,Cuttack,"Dec 27, 1984",ODI # 281
