,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Pakistan,West Indies,West Indies,7 wickets,Perth,"Jan 1, 1989",ODI # 544
1,Australia,Pakistan,Pakistan,38 runs,Perth,"Jan 2, 1989",ODI # 545
2,Australia,West Indies,Australia,8 runs,Melbourne,"Jan 5, 1989",ODI # 546
3,Pakistan,West Indies,Pakistan,55 runs,Brisbane,"Jan 7, 1989",ODI # 547
4,Australia,Pakistan,Australia,5 wickets,Brisbane,"Jan 8, 1989",ODI # 548
5,Australia,Pakistan,Australia,6 runs,Melbourne,"Jan 10, 1989",ODI # 549
6,Australia,West Indies,Australia,61 runs,Sydney,"Jan 12, 1989",ODI # 550
7,Australia,West Indies,Australia,2 runs,Melbourne,"Jan 14, 1989",ODI # 551
8,Australia,West Indies,West Indies,92 runs,Sydney,"Jan 16, 1989",ODI # 552
9,Australia,West Indies,West Indies,8 wickets,Sydney,"Jan 18, 1989",ODI # 553
10,New Zealand,Pakistan,New Zealand,8 wickets,Dunedin,"Feb 6, 1989",ODI # 554
11,New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,"Mar 4, 1989",ODI # 555
12,West Indies,India,West Indies,50 runs,Bridgetown,"Mar 7, 1989",ODI # 556
13,New Zealand,Pakistan,New Zealand,6 wickets,Wellington,"Mar 8, 1989",ODI # 557
14,West Indies,India,West Indies,6 wickets,Port of Spain,"Mar 9, 1989",ODI # 558
15,New Zealand,Pakistan,Pakistan,7 wickets,Auckland,"Mar 11, 1989",ODI # 559
16,West Indies,India,West Indies,6 wickets,Port of Spain,"Mar 11, 1989",ODI # 560
17,New Zealand,Pakistan,New Zealand,7 wickets,Hamilton,"Mar 14, 1989",ODI # 561
18,West Indies,India,West Indies,8 wickets,St John's,"Mar 18, 1989",ODI # 562
19,West Indies,India,West Indies,101 runs,Georgetown,"Mar 21, 1989",ODI # 563
20,Pakistan,Sri Lanka,Pakistan,30 runs,Sharjah,"Mar 23, 1989",ODI # 564
21,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,"Mar 24, 1989",ODI # 565
22,England,Australia,England,95 runs,Manchester,"May 25, 1989",ODI # 566
23,England,Australia,tied,,Nottingham,"May 27, 1989",ODI # 567
24,England,Australia,Australia,6 wickets,Lord's,"May 29, 1989",ODI # 568
25,India,West Indies,West Indies,5 wickets,Sharjah,"Oct 13, 1989",ODI # 569
26,Pakistan,West Indies,Pakistan,11 runs,Sharjah,"Oct 14, 1989",ODI # 570
27,England,Sri Lanka,England,5 wickets,Delhi,"Oct 15, 1989",ODI # 571
28,India,Pakistan,Pakistan,6 wickets,Sharjah,"Oct 15, 1989",ODI # 572
29,India,West Indies,India,37 runs,Sharjah,"Oct 16, 1989",ODI # 573
30,Pakistan,West Indies,Pakistan,57 runs,Sharjah,"Oct 17, 1989",ODI # 574
31,Australia,England,England,7 wickets,Hyderabad (Deccan),"Oct 19, 1989",ODI # 575
32,Sri Lanka,West Indies,Sri Lanka,4 wickets,Rajkot,"Oct 19, 1989",ODI # 576
33,India,Pakistan,Pakistan,38 runs,Sharjah,"Oct 20, 1989",ODI # 577
34,Australia,West Indies,Australia,99 runs,Chennai,"Oct 21, 1989",ODI # 578
35,England,Pakistan,England,4 wickets,Cuttack,"Oct 22, 1989",ODI # 579
36,India,Sri Lanka,India,6 runs,Ahmedabad,"Oct 22, 1989",ODI # 580
37,Australia,Pakistan,Pakistan,66 runs,Mumbai (BS),"Oct 23, 1989",ODI # 581
38,India,West Indies,West Indies,20 runs,Delhi,"Oct 23, 1989",ODI # 582
39,India,England,India,6 wickets,Kanpur,"Oct 25, 1989",ODI # 583
40,Pakistan,West Indies,West Indies,6 wickets,Jalandhar,"Oct 25, 1989",ODI # 584
41,Australia,Sri Lanka,Australia,28 runs,Margao,"Oct 25, 1989",ODI # 585
42,England,West Indies,West Indies,26 runs,Gwalior,"Oct 27, 1989",ODI # 586
43,India,Australia,India,3 wickets,Bengaluru,"Oct 27, 1989",ODI # 587
44,Pakistan,Sri Lanka,Pakistan,6 runs,Lucknow,"Oct 27, 1989",ODI # 588
45,India,Pakistan,Pakistan,77 runs,Kolkata,"Oct 28, 1989",ODI # 589
46,England,Pakistan,Pakistan,6 wickets,Nagpur,"Oct 30, 1989",ODI # 590
47,India,West Indies,West Indies,8 wickets,Mumbai,"Oct 30, 1989",ODI # 591
48,Pakistan,West Indies,Pakistan,4 wickets,Kolkata,"Nov 1, 1989",ODI # 592
49,Pakistan,India,Pakistan,7 runs,Gujranwala,"Dec 18, 1989",ODI # 593
50,Pakistan,India,no result,,Karachi,"Dec 20, 1989",ODI # 594
51,Pakistan,India,Pakistan,38 runs,Lahore,"Dec 22, 1989",ODI # 595
52,Australia,Sri Lanka,Australia,30 runs,Melbourne,"Dec 26, 1989",ODI # 596
53,Australia,Sri Lanka,Australia,9 wickets,Perth,"Dec 30, 1989",ODI # 597
54,Pakistan,Sri Lanka,Sri Lanka,3 wickets,Perth,"Dec 31, 1989",ODI # 598
