,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,South Africa,India,South Africa,135 runs,Durban,"Jan 12, 2011",ODI # 3079
1,South Africa,India,India,1 run,Johannesburg,"Jan 15, 2011",ODI # 3080
2,Australia,England,Australia,6 wickets,Melbourne,"Jan 16, 2011",ODI # 3081
3,South Africa,India,India,2 wickets,Cape Town,"Jan 18, 2011",ODI # 3082
4,Australia,England,Australia,46 runs,Hobart,"Jan 21, 2011",ODI # 3083
5,South Africa,India,South Africa,48 runs,Port Elizabeth,"Jan 21, 2011",ODI # 3084
6,New Zealand,Pakistan,New Zealand,9 wickets,Wellington,"Jan 22, 2011",ODI # 3085
7,Australia,England,Australia,4 wickets,Sydney,"Jan 23, 2011",ODI # 3086
8,South Africa,India,South Africa,33 runs,Centurion,"Jan 23, 2011",ODI # 3087
9,New Zealand,Pakistan,no result,,Queenstown,"Jan 26, 2011",ODI # 3088
10,Australia,England,England,21 runs,Adelaide,"Jan 26, 2011",ODI # 3089
11,New Zealand,Pakistan,Pakistan,43 runs,Christchurch,"Jan 29, 2011",ODI # 3090
12,Australia,England,Australia,51 runs,Brisbane,"Jan 30, 2011",ODI # 3091
13,Sri Lanka,West Indies,no result,,Colombo (SSC),"Jan 31, 2011",ODI # 3092
14,New Zealand,Pakistan,Pakistan,2 wickets,Napier,"Feb 1, 2011",ODI # 3093
15,Australia,England,Australia,2 wickets,Sydney,"Feb 2, 2011",ODI # 3094
16,New Zealand,Pakistan,Pakistan,41 runs,Hamilton,"Feb 3, 2011",ODI # 3095
17,Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (SSC),"Feb 3, 2011",ODI # 3096
18,New Zealand,Pakistan,New Zealand,57 runs,Auckland,"Feb 5, 2011",ODI # 3097
19,Australia,England,Australia,57 runs,Perth,"Feb 6, 2011",ODI # 3098
20,Sri Lanka,West Indies,Sri Lanka,26 runs,Colombo (SSC),"Feb 6, 2011",ODI # 3099
21,Bangladesh,India,India,87 runs,Dhaka,"Feb 19, 2011",ODI # 3100
22,Kenya,New Zealand,New Zealand,10 wickets,Chennai,"Feb 20, 2011",ODI # 3101
23,Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota,"Feb 20, 2011",ODI # 3102
24,Australia,Zimbabwe,Australia,91 runs,Ahmedabad,"Feb 21, 2011",ODI # 3103
25,England,Netherlands,England,6 wickets,Nagpur,"Feb 22, 2011",ODI # 3104
26,Kenya,Pakistan,Pakistan,205 runs,Hambantota,"Feb 23, 2011",ODI # 3105
27,South Africa,West Indies,South Africa,7 wickets,Delhi,"Feb 24, 2011",ODI # 3106
28,Australia,New Zealand,Australia,7 wickets,Nagpur,"Feb 25, 2011",ODI # 3107
29,Bangladesh,Ireland,Bangladesh,27 runs,Dhaka,"Feb 25, 2011",ODI # 3108
30,Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS),"Feb 26, 2011",ODI # 3109
31,India,England,tied,,Bengaluru,"Feb 27, 2011",ODI # 3110
32,Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur,"Feb 28, 2011",ODI # 3111
33,Netherlands,West Indies,West Indies,215 runs,Delhi,"Feb 28, 2011",ODI # 3112
34,Sri Lanka,Kenya,Sri Lanka,9 wickets,Colombo (RPS),"Mar 1, 2011",ODI # 3113
35,England,Ireland,Ireland,3 wickets,Bengaluru,"Mar 2, 2011",ODI # 3114
36,Netherlands,South Africa,South Africa,231 runs,Mohali,"Mar 3, 2011",ODI # 3115
37,Canada,Pakistan,Pakistan,46 runs,Colombo (RPS),"Mar 3, 2011",ODI # 3116
38,New Zealand,Zimbabwe,New Zealand,10 wickets,Ahmedabad,"Mar 4, 2011",ODI # 3117
39,Bangladesh,West Indies,West Indies,9 wickets,Dhaka,"Mar 4, 2011",ODI # 3118
40,Sri Lanka,Australia,no result,,Colombo (RPS),"Mar 5, 2011",ODI # 3119
41,England,South Africa,England,6 runs,Chennai,"Mar 6, 2011",ODI # 3120
42,India,Ireland,India,5 wickets,Bengaluru,"Mar 6, 2011",ODI # 3121
43,Canada,Kenya,Canada,5 wickets,Delhi,"Mar 7, 2011",ODI # 3122
44,New Zealand,Pakistan,New Zealand,110 runs,Pallekele,"Mar 8, 2011",ODI # 3123
45,India,Netherlands,India,5 wickets,Delhi,"Mar 9, 2011",ODI # 3124
46,Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele,"Mar 10, 2011",ODI # 3125
47,Ireland,West Indies,West Indies,44 runs,Mohali,"Mar 11, 2011",ODI # 3126
48,Bangladesh,England,Bangladesh,2 wickets,Chittagong,"Mar 11, 2011",ODI # 3127
49,India,South Africa,South Africa,3 wickets,Nagpur,"Mar 12, 2011",ODI # 3128
50,Canada,New Zealand,New Zealand,97 runs,Mumbai,"Mar 13, 2011",ODI # 3129
51,Australia,Kenya,Australia,60 runs,Bengaluru,"Mar 13, 2011",ODI # 3130
52,Bangladesh,Netherlands,Bangladesh,6 wickets,Chittagong,"Mar 14, 2011",ODI # 3131
53,Pakistan,Zimbabwe,Pakistan,7 wickets,Pallekele,"Mar 14, 2011",ODI # 3132
