,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
57,India,Sri Lanka,India,183 runs,Johannesburg,"Mar 10, 2003",ODI # 1985
58,Australia,New Zealand,Australia,96 runs,Port Elizabeth,"Mar 11, 2003",ODI # 1986
59,Kenya,Zimbabwe,Kenya,7 wickets,Bloemfontein,"Mar 12, 2003",ODI # 1987
60,India,New Zealand,India,7 wickets,Centurion,"Mar 14, 2003",ODI # 1988
61,Sri Lanka,Zimbabwe,Sri Lanka,74 runs,East London,"Mar 15, 2003",ODI # 1989
62,Australia,Kenya,Australia,5 wickets,Durban,"Mar 15, 2003",ODI # 1990
63,Australia,Sri Lanka,Australia,48 runs,Port Elizabeth,"Mar 18, 2003",ODI # 1991
64,India,Kenya,India,91 runs,Durban,"Mar 20, 2003",ODI # 1992
65,Australia,India,Australia,125 runs,Johannesburg,"Mar 23, 2003",ODI # 1993
66,Pakistan,Zimbabwe,Pakistan,68 runs,Sharjah,"Apr 3, 2003",ODI # 1994
67,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,"Apr 4, 2003",ODI # 1995
68,Kenya,Zimbabwe,Zimbabwe,5 wickets,Sharjah,"Apr 5, 2003",ODI # 1996
69,Kenya,Sri Lanka,Sri Lanka,129 runs,Sharjah,"Apr 6, 2003",ODI # 1997
70,Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Sharjah,"Apr 7, 2003",ODI # 1998
71,Kenya,Pakistan,Pakistan,143 runs,Sharjah,"Apr 8, 2003",ODI # 1999
72,Pakistan,Zimbabwe,Pakistan,8 wickets,Sharjah,"Apr 10, 2003",ODI # 2000
73,Bangladesh,India,India,200 runs,Dhaka,"Apr 11, 2003",ODI # 2001
74,India,South Africa,India,153 runs,Dhaka,"Apr 13, 2003",ODI # 2002
75,Bangladesh,South Africa,South Africa,83 runs,Dhaka,"Apr 14, 2003",ODI # 2003
76,Bangladesh,India,India,4 wickets,Dhaka,"Apr 16, 2003",ODI # 2004
77,Bangladesh,South Africa,South Africa,93 runs,Dhaka,"Apr 17, 2003",ODI # 2005
78,India,South Africa,South Africa,5 wickets,Dhaka,"Apr 18, 2003",ODI # 2006
79,India,South Africa,no result,,Dhaka,"Apr 21, 2003",ODI # 2007
80,Sri Lanka,Pakistan,Pakistan,79 runs,Dambulla,"May 10, 2003",ODI # 2008
81,New Zealand,Pakistan,New Zealand,7 wickets,Dambulla,"May 11, 2003",ODI # 2009
82,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Dambulla,"May 13, 2003",ODI # 2010
83,West Indies,Australia,Australia,2 runs,Kingston,"May 17, 2003",ODI # 2011
84,Sri Lanka,Pakistan,Sri Lanka,12 runs,Dambulla,"May 18, 2003",ODI # 2012
85,West Indies,Australia,Australia,8 wickets,Kingston,"May 18, 2003",ODI # 2013
86,Sri Lanka,New Zealand,New Zealand,9 runs,Dambulla,"May 19, 2003",ODI # 2014
87,New Zealand,Pakistan,Pakistan,22 runs,Dambulla,"May 20, 2003",ODI # 2015
88,West Indies,Australia,Australia,25 runs,Gros Islet,"May 21, 2003",ODI # 2016
89,New Zealand,Pakistan,New Zealand,4 wickets,Dambulla,"May 23, 2003",ODI # 2017
90,West Indies,Australia,Australia,67 runs,Port of Spain,"May 24, 2003",ODI # 2018
91,West Indies,Australia,West Indies,39 runs,Port of Spain,"May 25, 2003",ODI # 2019
92,West Indies,Australia,West Indies,3 wickets,St George's,"May 30, 2003",ODI # 2020
93,West Indies,Australia,West Indies,9 wickets,St George's,"Jun 1, 2003",ODI # 2021
94,West Indies,Sri Lanka,Sri Lanka,55 runs,Bridgetown,"Jun 7, 2003",ODI # 2022
95,West Indies,Sri Lanka,Sri Lanka,4 wickets,Bridgetown,"Jun 8, 2003",ODI # 2023
96,West Indies,Sri Lanka,West Indies,6 wickets,Kingstown,"Jun 11, 2003",ODI # 2024
97,England,Pakistan,Pakistan,2 wickets,Manchester,"Jun 17, 2003",ODI # 2025
98,England,Pakistan,England,7 wickets,The Oval,"Jun 20, 2003",ODI # 2026
99,England,Pakistan,England,4 wickets,Lord's,"Jun 22, 2003",ODI # 2027
100,England,Zimbabwe,Zimbabwe,4 wickets,Nottingham,"Jun 26, 2003",ODI # 2028
101,England,South Africa,England,6 wickets,The Oval,"Jun 28, 2003",ODI # 2029
102,South Africa,Zimbabwe,South Africa,46 runs,Canterbury,"Jun 29, 2003",ODI # 2030
103,England,Zimbabwe,no result,,Leeds,"Jul 1, 2003",ODI # 2031
104,England,South Africa,South Africa,7 wickets,Manchester,"Jul 3, 2003",ODI # 2032
105,South Africa,Zimbabwe,South Africa,9 wickets,Cardiff,"Jul 5, 2003",ODI # 2033
106,England,Zimbabwe,England,6 wickets,Bristol,"Jul 6, 2003",ODI # 2034
107,England,South Africa,England,4 wickets,Birmingham,"Jul 8, 2003",ODI # 2035
108,South Africa,Zimbabwe,South Africa,7 wickets,Southampton,"Jul 10, 2003",ODI # 2036
109,England,South Africa,England,7 wickets,Lord's,"Jul 12, 2003",ODI # 2037
110,Australia,Bangladesh,Australia,8 wickets,Cairns,"Aug 2, 2003",ODI # 2038
111,Australia,Bangladesh,Australia,9 wickets,Cairns,"Aug 3, 2003",ODI # 2039
112,Australia,Bangladesh,Australia,112 runs,Darwin,"Aug 6, 2003",ODI # 2040
113,Pakistan,Bangladesh,Pakistan,137 runs,Multan,"Sep 9, 2003",ODI # 2041
114,Pakistan,Bangladesh,Pakistan,74 runs,Faisalabad,"Sep 12, 2003",ODI # 2042
115,Pakistan,Bangladesh,Pakistan,42 runs,Lahore,"Sep 15, 2003",ODI # 2043
116,Pakistan,Bangladesh,Pakistan,5 wickets,Rawalpindi,"Sep 18, 2003",ODI # 2044
117,Pakistan,Bangladesh,Pakistan,58 runs,Karachi,"Sep 21, 2003",ODI # 2045
118,Pakistan,South Africa,Pakistan,8 runs,Lahore,"Oct 3, 2003",ODI # 2046
119,Pakistan,South Africa,Pakistan,42 runs,Lahore,"Oct 5, 2003",ODI # 2047
120,Pakistan,South Africa,South Africa,13 runs,Faisalabad,"Oct 7, 2003",ODI # 2048
121,Pakistan,South Africa,South Africa,6 wickets,Rawalpindi,"Oct 10, 2003",ODI # 2049
122,Pakistan,South Africa,South Africa,7 wickets,Rawalpindi,"Oct 12, 2003",ODI # 2050
123,India,New Zealand,no result,,Chennai,"Oct 23, 2003",ODI # 2051
124,India,Australia,India,37 runs,Gwalior,"Oct 26, 2003",ODI # 2052
125,Australia,New Zealand,Australia,8 wickets,Faridabad,"Oct 29, 2003",ODI # 2053
126,India,Australia,Australia,77 runs,Mumbai,"Nov 1, 2003",ODI # 2054
127,Australia,New Zealand,Australia,2 wickets,Pune,"Nov 3, 2003",ODI # 2055
128,India,New Zealand,New Zealand,4 wickets,Cuttack,"Nov 6, 2003",ODI # 2056
129,Bangladesh,England,England,7 wickets,Chittagong,"Nov 7, 2003",ODI # 2057
130,Australia,New Zealand,Australia,44 runs,Guwahati,"Nov 9, 2003",ODI # 2058
131,Bangladesh,England,England,7 wickets,Dhaka,"Nov 10, 2003",ODI # 2059
132,Bangladesh,England,England,7 wickets,Dhaka,"Nov 12, 2003",ODI # 2060
133,India,Australia,Australia,61 runs,Bengaluru,"Nov 12, 2003",ODI # 2061
134,India,New Zealand,India,145 runs,Hyderabad (Deccan),"Nov 15, 2003",ODI # 2062
135,Sri Lanka,England,Sri Lanka,10 wickets,Dambulla,"Nov 18, 2003",ODI # 2063
136,India,Australia,Australia,37 runs,Kolkata,"Nov 18, 2003",ODI # 2064
137,Zimbabwe,West Indies,West Indies,51 runs,Bulawayo,"Nov 22, 2003",ODI # 2065
138,Zimbabwe,West Indies,Zimbabwe,6 wickets,Bulawayo,"Nov 23, 2003",ODI # 2066
139,Zimbabwe,West Indies,Zimbabwe,21 runs,Harare,"Nov 26, 2003",ODI # 2067
140,Zimbabwe,West Indies,West Indies,72 runs,Harare,"Nov 29, 2003",ODI # 2069
141,Pakistan,New Zealand,Pakistan,3 wickets,Lahore,"Nov 29, 2003",ODI # 2068
142,Zimbabwe,West Indies,West Indies,8 wickets,Harare,"Nov 30, 2003",ODI # 2070
143,Pakistan,New Zealand,Pakistan,124 runs,Lahore,"Dec 1, 2003",ODI # 2071
144,Pakistan,New Zealand,Pakistan,51 runs,Faisalabad,"Dec 3, 2003",ODI # 2072
145,Pakistan,New Zealand,Pakistan,7 wickets,Rawalpindi,"Dec 5, 2003",ODI # 2073
146,Pakistan,New Zealand,Pakistan,49 runs,Rawalpindi,"Dec 7, 2003",ODI # 2074
