,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,India,New Zealand,5 wickets,Christchurch,"Jan 1, 2003",ODI # 1928
1,New Zealand,India,New Zealand,7 wickets,Queenstown,"Jan 4, 2003",ODI # 1929
2,New Zealand,India,India,2 wickets,Wellington,"Jan 8, 2003",ODI # 1930
3,Australia,Sri Lanka,Sri Lanka,79 runs,Sydney,"Jan 9, 2003",ODI # 1931
4,Australia,England,Australia,7 runs,Hobart,"Jan 11, 2003",ODI # 1932
5,New Zealand,India,India,1 wicket,Auckland,"Jan 11, 2003",ODI # 1933
6,England,Sri Lanka,Sri Lanka,31 runs,Sydney,"Jan 13, 2003",ODI # 1934
7,New Zealand,India,New Zealand,6 wickets,Hamilton,"Jan 14, 2003",ODI # 1935
8,Australia,Sri Lanka,Australia,4 wickets,Brisbane,"Jan 15, 2003",ODI # 1936
9,England,Sri Lanka,England,19 runs,Adelaide,"Jan 17, 2003",ODI # 1937
10,Australia,England,Australia,4 wickets,Adelaide,"Jan 19, 2003",ODI # 1938
11,Australia,Sri Lanka,Australia,9 wickets,Melbourne,"Jan 21, 2003",ODI # 1939
12,Australia,England,Australia,10 wickets,Sydney,"Jan 23, 2003",ODI # 1940
13,Australia,England,Australia,5 runs,Melbourne,"Jan 25, 2003",ODI # 1941
14,South Africa,West Indies,West Indies,3 runs,Cape Town,"Feb 9, 2003",ODI # 1942
15,Zimbabwe,Namibia,Zimbabwe,86 runs,Harare,"Feb 10, 2003",ODI # 1943
16,New Zealand,Sri Lanka,Sri Lanka,47 runs,Bloemfontein,"Feb 10, 2003",ODI # 1944
17,Australia,Pakistan,Australia,82 runs,Johannesburg,"Feb 11, 2003",ODI # 1945
18,Bangladesh,Canada,Canada,60 runs,Durban,"Feb 11, 2003",ODI # 1946
19,South Africa,Kenya,South Africa,10 wickets,Potchefstroom,"Feb 12, 2003",ODI # 1947
20,India,Netherlands,India,68 runs,Paarl,"Feb 12, 2003",ODI # 1948
21,New Zealand,West Indies,New Zealand,20 runs,Port Elizabeth,"Feb 13, 2003",ODI # 1949
22,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Pietermaritzburg,"Feb 14, 2003",ODI # 1950
23,Australia,India,Australia,9 wickets,Centurion,"Feb 15, 2003",ODI # 1951
24,Canada,Kenya,Kenya,4 wickets,Cape Town,"Feb 15, 2003",ODI # 1952
25,England,Netherlands,England,6 wickets,East London,"Feb 16, 2003",ODI # 1953
26,Namibia,Pakistan,Pakistan,171 runs,Kimberley,"Feb 16, 2003",ODI # 1954
27,South Africa,New Zealand,New Zealand,9 wickets,Johannesburg,"Feb 16, 2003",ODI # 1955
28,Bangladesh,West Indies,no result,,Benoni,"Feb 18, 2003",ODI # 1956
29,Zimbabwe,India,India,83 runs,Harare,"Feb 19, 2003",ODI # 1957
30,Canada,Sri Lanka,Sri Lanka,9 wickets,Paarl,"Feb 19, 2003",ODI # 1958
31,England,Namibia,England,55 runs,Port Elizabeth,"Feb 19, 2003",ODI # 1959
32,Australia,Netherlands,Australia,75 runs,Potchefstroom,"Feb 20, 2003",ODI # 1960
33,South Africa,Bangladesh,South Africa,10 wickets,Bloemfontein,"Feb 22, 2003",ODI # 1961
34,England,Pakistan,England,112 runs,Cape Town,"Feb 22, 2003",ODI # 1962
35,Canada,West Indies,West Indies,7 wickets,Centurion,"Feb 23, 2003",ODI # 1963
36,India,Namibia,India,181 runs,Pietermaritzburg,"Feb 23, 2003",ODI # 1964
37,Kenya,Sri Lanka,Kenya,53 runs,Nairobi (Gym),"Feb 24, 2003",ODI # 1965
38,Zimbabwe,Australia,Australia,7 wickets,Bulawayo,"Feb 24, 2003",ODI # 1966
39,Netherlands,Pakistan,Pakistan,97 runs,Paarl,"Feb 25, 2003",ODI # 1967
40,Bangladesh,New Zealand,New Zealand,7 wickets,Kimberley,"Feb 26, 2003",ODI # 1968
41,England,India,India,82 runs,Durban,"Feb 26, 2003",ODI # 1969
42,Australia,Namibia,Australia,256 runs,Potchefstroom,"Feb 27, 2003",ODI # 1970
43,South Africa,Canada,South Africa,118 runs,East London,"Feb 27, 2003",ODI # 1971
44,Zimbabwe,Netherlands,Zimbabwe,99 runs,Bulawayo,"Feb 28, 2003",ODI # 1972
45,Sri Lanka,West Indies,Sri Lanka,6 runs,Cape Town,"Feb 28, 2003",ODI # 1973
46,Bangladesh,Kenya,Kenya,32 runs,Johannesburg,"Mar 1, 2003",ODI # 1974
47,India,Pakistan,India,6 wickets,Centurion,"Mar 1, 2003",ODI # 1975
48,Australia,England,Australia,2 wickets,Port Elizabeth,"Mar 2, 2003",ODI # 1976
49,Canada,New Zealand,New Zealand,5 wickets,Benoni,"Mar 3, 2003",ODI # 1977
50,Namibia,Netherlands,Netherlands,64 runs,Bloemfontein,"Mar 3, 2003",ODI # 1978
51,South Africa,Sri Lanka,tied,,Durban,"Mar 3, 2003",ODI # 1979
52,Zimbabwe,Pakistan,no result,,Bulawayo,"Mar 4, 2003",ODI # 1980
53,Kenya,West Indies,West Indies,142 runs,Kimberley,"Mar 4, 2003",ODI # 1981
54,Australia,Sri Lanka,Australia,96 runs,Centurion,"Mar 7, 2003",ODI # 1982
55,India,Kenya,India,6 wickets,Cape Town,"Mar 7, 2003",ODI # 1983
56,New Zealand,Zimbabwe,New Zealand,6 wickets,Bloemfontein,"Mar 8, 2003",ODI # 1984
