,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,South Africa,South Africa,2 runs,Brisbane,"Jan 9, 1998",ODI # 1270
1,Bangladesh,India,India,4 wickets,Dhaka,"Jan 10, 1998",ODI # 1271
2,India,Pakistan,India,18 runs,Dhaka,"Jan 11, 1998",ODI # 1273
3,Australia,South Africa,South Africa,5 wickets,Brisbane,"Jan 11, 1998",ODI # 1272
4,Bangladesh,Pakistan,Pakistan,9 wickets,Dhaka,"Jan 12, 1998",ODI # 1274
5,India,Pakistan,India,8 wickets,Dhaka,"Jan 14, 1998",ODI # 1276
6,Australia,New Zealand,Australia,131 runs,Sydney,"Jan 14, 1998",ODI # 1275
7,India,Pakistan,Pakistan,6 wickets,Dhaka,"Jan 16, 1998",ODI # 1277
8,New Zealand,South Africa,South Africa,67 runs,Perth,"Jan 16, 1998",ODI # 1278
9,India,Pakistan,India,3 wickets,Dhaka,"Jan 18, 1998",ODI # 1279
10,Australia,South Africa,South Africa,7 wickets,Perth,"Jan 18, 1998",ODI # 1280
11,Australia,New Zealand,New Zealand,4 wickets,Melbourne,"Jan 21, 1998",ODI # 1281
12,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Colombo (SSC),"Jan 22, 1998",ODI # 1282
13,Australia,South Africa,South Africa,6 runs,Melbourne,"Jan 23, 1998",ODI # 1283
14,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Colombo (RPS),"Jan 24, 1998",ODI # 1284
15,Australia,South Africa,Australia,7 wickets,Sydney,"Jan 26, 1998",ODI # 1285
16,Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,Colombo (SSC),"Jan 26, 1998",ODI # 1286
17,Australia,South Africa,Australia,14 runs,Sydney,"Jan 27, 1998",ODI # 1287
18,New Zealand,Zimbabwe,New Zealand,40 runs,Hamilton,"Feb 4, 1998",ODI # 1288
19,New Zealand,Zimbabwe,New Zealand,8 wickets,Wellington,"Feb 6, 1998",ODI # 1289
20,New Zealand,Australia,Australia,7 wickets,Christchurch,"Feb 8, 1998",ODI # 1290
21,New Zealand,Australia,Australia,66 runs,Wellington,"Feb 10, 1998",ODI # 1291
22,New Zealand,Australia,New Zealand,7 wickets,Napier,"Feb 12, 1998",ODI # 1292
23,New Zealand,Australia,New Zealand,30 runs,Auckland,"Feb 14, 1998",ODI # 1293
