,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,England,Zimbabwe,England,26 runs,Brisbane,"Jan 7, 1995",ODI # 968
1,Australia,England,England,37 runs,Melbourne,"Jan 10, 1995",ODI # 969
2,South Africa,Pakistan,South Africa,37 runs,Cape Town,"Jan 10, 1995",ODI # 970
3,South Africa,Pakistan,South Africa,157 runs,Johannesburg,"Jan 12, 1995",ODI # 971
4,New Zealand,West Indies,West Indies,25 runs,Auckland,"Jan 22, 1995",ODI # 972
5,New Zealand,West Indies,West Indies,41 runs,Wellington,"Jan 25, 1995",ODI # 973
6,New Zealand,West Indies,West Indies,9 wickets,Christchurch,"Jan 28, 1995",ODI # 974
7,Australia,South Africa,Australia,3 wickets,Wellington,"Feb 15, 1995",ODI # 975
8,New Zealand,India,New Zealand,4 wickets,Napier,"Feb 16, 1995",ODI # 976
9,India,South Africa,South Africa,14 runs,Hamilton,"Feb 18, 1995",ODI # 977
10,New Zealand,Australia,Australia,27 runs,Auckland,"Feb 19, 1995",ODI # 978
11,Australia,India,India,5 wickets,Dunedin,"Feb 22, 1995",ODI # 979
12,Zimbabwe,Pakistan,tied,,Harare,"Feb 22, 1995",ODI # 980
13,New Zealand,South Africa,New Zealand,46 runs,Christchurch,"Feb 23-24, 1995",ODI # 981
14,Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,"Feb 25, 1995",ODI # 982
15,New Zealand,Australia,Australia,6 wickets,Auckland,"Feb 26, 1995",ODI # 983
16,Zimbabwe,Pakistan,Zimbabwe,74 runs,Harare,"Feb 26, 1995",ODI # 984
17,West Indies,Australia,West Indies,6 runs,Bridgetown,"Mar 8, 1995",ODI # 985
18,West Indies,Australia,Australia,26 runs,Port of Spain,"Mar 11, 1995",ODI # 986
19,West Indies,Australia,West Indies,133 runs,Port of Spain,"Mar 12, 1995",ODI # 987
20,West Indies,Australia,West Indies,7 wickets,Kingstown,"Mar 15, 1995",ODI # 988
21,West Indies,Australia,West Indies,5 wickets,Georgetown,"Mar 18, 1995",ODI # 989
22,New Zealand,Sri Lanka,New Zealand,33 runs,Christchurch,"Mar 26, 1995",ODI # 990
23,New Zealand,Sri Lanka,New Zealand,57 runs,Hamilton,"Mar 29, 1995",ODI # 991
24,New Zealand,Sri Lanka,Sri Lanka,51 runs,Auckland,"Apr 1, 1995",ODI # 992
