,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,England,Australia,68 runs,Sydney,"Jan 1, 1991",ODI # 660
1,India,Sri Lanka,India,7 wickets,Kolkata,"Jan 4, 1991",ODI # 661
2,Australia,England,Australia,3 runs,Melbourne,"Jan 10, 1991",ODI # 662
3,Australia,New Zealand,Australia,6 wickets,Sydney,"Jan 13, 1991",ODI # 663
4,Australia,New Zealand,Australia,7 wickets,Melbourne,"Jan 15, 1991",ODI # 664
5,New Zealand,Sri Lanka,New Zealand,5 wickets,Napier,"Jan 26, 1991",ODI # 665
6,New Zealand,Sri Lanka,New Zealand,41 runs,Auckland,"Jan 28, 1991",ODI # 666
7,New Zealand,Sri Lanka,New Zealand,107 runs,Dunedin,"Feb 6, 1991",ODI # 667
8,New Zealand,England,England,14 runs,Christchurch,"Feb 9, 1991",ODI # 668
9,New Zealand,England,New Zealand,9 runs,Wellington,"Feb 13, 1991",ODI # 669
10,New Zealand,England,New Zealand,7 runs,Auckland,"Feb 16, 1991",ODI # 670
11,West Indies,Australia,Australia,35 runs,Kingston,"Feb 26, 1991",ODI # 671
12,West Indies,Australia,Australia,45 runs,Port of Spain,"Mar 9, 1991",ODI # 672
13,West Indies,Australia,West Indies,7 wickets,Port of Spain,"Mar 10, 1991",ODI # 673
14,West Indies,Australia,Australia,37 runs,Bridgetown,"Mar 13, 1991",ODI # 674
15,West Indies,Australia,Australia,6 wickets,Georgetown,"Mar 20, 1991",ODI # 675
16,England,West Indies,England,1 wicket,Birmingham,"May 23-24, 1991",ODI # 676
17,England,West Indies,England,9 runs,Manchester,"May 25, 1991",ODI # 677
18,England,West Indies,England,7 wickets,Lord's,"May 27, 1991",ODI # 678
19,Pakistan,West Indies,West Indies,1 wicket,Sharjah,"Oct 17, 1991",ODI # 679
20,India,Pakistan,India,60 runs,Sharjah,"Oct 18, 1991",ODI # 680
21,India,West Indies,India,19 runs,Sharjah,"Oct 19, 1991",ODI # 681
22,Pakistan,West Indies,Pakistan,1 run,Sharjah,"Oct 21, 1991",ODI # 682
23,India,West Indies,India,7 wickets,Sharjah,"Oct 22, 1991",ODI # 683
24,India,Pakistan,Pakistan,4 runs,Sharjah,"Oct 23, 1991",ODI # 684
25,India,Pakistan,Pakistan,72 runs,Sharjah,"Oct 25, 1991",ODI # 685
26,India,South Africa,India,3 wickets,Kolkata,"Nov 10, 1991",ODI # 686
27,India,South Africa,India,38 runs,Gwalior,"Nov 12, 1991",ODI # 687
28,India,South Africa,South Africa,8 wickets,New Delhi,"Nov 14, 1991",ODI # 688
29,Pakistan,West Indies,West Indies,24 runs,Karachi,"Nov 20, 1991",ODI # 689
30,Pakistan,West Indies,tied,,Lahore,"Nov 22, 1991",ODI # 690
31,Pakistan,West Indies,West Indies,17 runs,Faisalabad,"Nov 24, 1991",ODI # 691
32,India,West Indies,tied,,Perth,"Dec 6, 1991",ODI # 692
33,Australia,India,India,107 runs,Perth,"Dec 8, 1991",ODI # 693
34,Australia,India,Australia,8 wickets,Hobart,"Dec 10, 1991",ODI # 694
35,Australia,West Indies,Australia,9 runs,Melbourne,"Dec 12, 1991",ODI # 695
36,India,West Indies,India,10 runs,Adelaide,"Dec 14, 1991",ODI # 696
37,Australia,India,Australia,6 wickets,Adelaide,"Dec 15, 1991",ODI # 697
38,Australia,West Indies,Australia,51 runs,Sydney,"Dec 18, 1991",ODI # 698
