,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,West Indies,no result,,Melbourne,"Jan 9, 1992",ODI # 699
1,Pakistan,Sri Lanka,Pakistan,8 wickets,Sargodha,"Jan 10, 1992",ODI # 700
2,New Zealand,England,England,7 wickets,Auckland,"Jan 11, 1992",ODI # 701
3,India,West Indies,West Indies,6 wickets,Brisbane,"Jan 11, 1992",ODI # 702
4,Australia,West Indies,West Indies,12 runs,Brisbane,"Jan 12, 1992",ODI # 703
5,Pakistan,Sri Lanka,Pakistan,29 runs,Karachi,"Jan 13, 1992",ODI # 704
6,Australia,India,Australia,9 wickets,Sydney,"Jan 14, 1992",ODI # 705
7,Pakistan,Sri Lanka,Pakistan,59 runs,Hyderabad (Sind),"Jan 15, 1992",ODI # 706
8,India,West Indies,India,5 wickets,Melbourne,"Jan 16, 1992",ODI # 707
9,Pakistan,Sri Lanka,Sri Lanka,4 wickets,Multan,"Jan 17, 1992",ODI # 708
10,Australia,India,Australia,88 runs,Melbourne,"Jan 18, 1992",ODI # 709
11,Pakistan,Sri Lanka,Pakistan,117 runs,Rawalpindi,"Jan 19, 1992",ODI # 710
12,Australia,India,Australia,6 runs,Sydney,"Jan 20, 1992",ODI # 711
13,New Zealand,England,England,3 wickets,Dunedin,"Feb 12, 1992",ODI # 712
14,New Zealand,England,England,71 runs,Christchurch,"Feb 15, 1992",ODI # 713
15,New Zealand,Australia,New Zealand,37 runs,Auckland,"Feb 22, 1992",ODI # 714
16,England,India,England,9 runs,Perth,"Feb 22, 1992",ODI # 715
17,Sri Lanka,Zimbabwe,Sri Lanka,3 wickets,New Plymouth,"Feb 23, 1992",ODI # 716
18,Pakistan,West Indies,West Indies,10 wickets,Melbourne,"Feb 23, 1992",ODI # 717
19,New Zealand,Sri Lanka,New Zealand,6 wickets,Hamilton,"Feb 25, 1992",ODI # 718
20,Australia,South Africa,South Africa,9 wickets,Sydney,"Feb 26, 1992",ODI # 719
21,Pakistan,Zimbabwe,Pakistan,53 runs,Hobart,"Feb 27, 1992",ODI # 720
22,England,West Indies,England,6 wickets,Melbourne,"Feb 27, 1992",ODI # 721
23,India,Sri Lanka,no result,,Mackay,"Feb 28, 1992",ODI # 722
24,New Zealand,South Africa,New Zealand,7 wickets,Auckland,"Feb 29, 1992",ODI # 723
25,West Indies,Zimbabwe,West Indies,75 runs,Brisbane,"Feb 29, 1992",ODI # 724
26,Australia,India,Australia,1 run,Brisbane,"Mar 1, 1992",ODI # 725
27,England,Pakistan,no result,,Adelaide,"Mar 1, 1992",ODI # 726
28,South Africa,Sri Lanka,Sri Lanka,3 wickets,Wellington,"Mar 2, 1992",ODI # 727
29,New Zealand,Zimbabwe,New Zealand,48 runs,Napier,"Mar 3, 1992",ODI # 728
30,India,Pakistan,India,43 runs,Sydney,"Mar 4, 1992",ODI # 729
31,South Africa,West Indies,South Africa,64 runs,Christchurch,"Mar 5, 1992",ODI # 730
32,Australia,England,England,8 wickets,Sydney,"Mar 5, 1992",ODI # 731
33,India,Zimbabwe,India,55 runs,Hamilton,"Mar 7, 1992",ODI # 732
34,Australia,Sri Lanka,Australia,7 wickets,Adelaide,"Mar 7, 1992",ODI # 733
35,New Zealand,West Indies,New Zealand,5 wickets,Auckland,"Mar 8, 1992",ODI # 734
36,Pakistan,South Africa,South Africa,20 runs,Brisbane,"Mar 8, 1992",ODI # 735
37,England,Sri Lanka,England,106 runs,Ballarat,"Mar 9, 1992",ODI # 736
38,India,West Indies,West Indies,5 wickets,Wellington,"Mar 10, 1992",ODI # 737
39,South Africa,Zimbabwe,South Africa,7 wickets,Canberra,"Mar 10, 1992",ODI # 738
40,Australia,Pakistan,Pakistan,48 runs,Perth,"Mar 11, 1992",ODI # 739
41,New Zealand,India,New Zealand,4 wickets,Dunedin,"Mar 12, 1992",ODI # 740
42,England,South Africa,England,3 wickets,Melbourne,"Mar 12, 1992",ODI # 741
43,Sri Lanka,West Indies,West Indies,91 runs,Berri,"Mar 13, 1992",ODI # 742
44,Australia,Zimbabwe,Australia,128 runs,Hobart,"Mar 14, 1992",ODI # 743
45,New Zealand,England,New Zealand,7 wickets,Wellington,"Mar 15, 1992",ODI # 744
46,India,South Africa,South Africa,6 wickets,Adelaide,"Mar 15, 1992",ODI # 745
47,Pakistan,Sri Lanka,Pakistan,4 wickets,Perth,"Mar 15, 1992",ODI # 746
48,New Zealand,Pakistan,Pakistan,7 wickets,Christchurch,"Mar 18, 1992",ODI # 747
49,England,Zimbabwe,Zimbabwe,9 runs,Albury,"Mar 18, 1992",ODI # 748
50,Australia,West Indies,Australia,57 runs,Melbourne,"Mar 18, 1992",ODI # 749
51,New Zealand,Pakistan,Pakistan,4 wickets,Auckland,"Mar 21, 1992",ODI # 750
52,England,South Africa,England,19 runs,Sydney,"Mar 22, 1992",ODI # 751
53,England,Pakistan,Pakistan,22 runs,Melbourne,"Mar 25, 1992",ODI # 752
54,West Indies,South Africa,West Indies,107 runs,Kingston,"Apr 7, 1992",ODI # 753
55,West Indies,South Africa,West Indies,10 wickets,Port of Spain,"Apr 11, 1992",ODI # 754
