,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
56,West Indies,South Africa,West Indies,7 wickets,Port of Spain,"Apr 12, 1992",ODI # 755
57,England,Pakistan,England,79 runs,Lord's,"May 20, 1992",ODI # 756
58,England,Pakistan,England,39 runs,The Oval,"May 22, 1992",ODI # 757
59,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (PSS),"Aug 15, 1992",ODI # 758
60,England,Pakistan,England,198 runs,Nottingham,"Aug 20, 1992",ODI # 759
61,England,Pakistan,Pakistan,3 runs,Lord's,"Aug 22, 1992",ODI # 760
62,England,Pakistan,England,6 wickets,Manchester,"Aug 24, 1992",ODI # 761
63,Sri Lanka,Australia,Sri Lanka,5 wickets,Colombo (RPS),"Sep 4, 1992",ODI # 762
64,Sri Lanka,Australia,Australia,5 wickets,Colombo (RPS),"Sep 5, 1992",ODI # 763
65,Zimbabwe,India,India,30 runs,Harare,"Oct 25, 1992",ODI # 764
66,Zimbabwe,New Zealand,New Zealand,22 runs,Bulawayo,"Oct 31, 1992",ODI # 765
67,Zimbabwe,New Zealand,New Zealand,4 wickets,Harare,"Nov 8, 1992",ODI # 766
68,Pakistan,West Indies,Pakistan,5 wickets,Perth,"Dec 4, 1992",ODI # 767
69,Sri Lanka,New Zealand,no result,,Colombo (RPS),"Dec 4, 1992",ODI # 768
70,Australia,West Indies,West Indies,9 wickets,Perth,"Dec 6, 1992",ODI # 769
71,South Africa,India,South Africa,6 wickets,Cape Town,"Dec 7, 1992",ODI # 770
72,Australia,West Indies,Australia,14 runs,Sydney,"Dec 8, 1992",ODI # 771
73,South Africa,India,South Africa,6 wickets,Port Elizabeth,"Dec 9, 1992",ODI # 772
74,Australia,Pakistan,tied,,Hobart,"Dec 10, 1992",ODI # 773
75,South Africa,India,India,4 wickets,Centurion,"Dec 11, 1992",ODI # 774
76,Pakistan,West Indies,West Indies,4 runs,Adelaide,"Dec 12, 1992",ODI # 775
77,Sri Lanka,New Zealand,Sri Lanka,8 wickets,Colombo (PSS),"Dec 12, 1992",ODI # 776
78,Australia,Pakistan,Australia,8 wickets,Adelaide,"Dec 13, 1992",ODI # 777
79,Sri Lanka,New Zealand,Sri Lanka,31 runs,Colombo (RPS),"Dec 13, 1992",ODI # 778
80,South Africa,India,South Africa,6 wickets,Johannesburg,"Dec 13, 1992",ODI # 779
81,Australia,West Indies,Australia,4 runs,Melbourne,"Dec 15, 1992",ODI # 780
82,South Africa,India,South Africa,8 wickets,Bloemfontein,"Dec 15, 1992",ODI # 781
83,Pakistan,West Indies,West Indies,133 runs,Sydney,"Dec 17, 1992",ODI # 782
84,South Africa,India,South Africa,39 runs,Durban,"Dec 17, 1992",ODI # 783
85,South Africa,India,India,5 wickets,East London,"Dec 19, 1992",ODI # 784
86,New Zealand,Pakistan,Pakistan,50 runs,Wellington,"Dec 26, 1992",ODI # 785
87,New Zealand,Pakistan,New Zealand,6 wickets,Napier,"Dec 28, 1992",ODI # 786
88,New Zealand,Pakistan,New Zealand,6 wickets,Auckland,"Dec 30, 1992",ODI # 787
