,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Australia,West Indies,Australia,1 wicket,Sydney,"Jan 1, 1996",ODI # 1028
1,Sri Lanka,West Indies,West Indies,70 runs,Hobart,"Jan 3, 1996",ODI # 1029
2,Sri Lanka,West Indies,West Indies,7 wickets,Brisbane,"Jan 5, 1996",ODI # 1030
3,Australia,West Indies,West Indies,14 runs,Brisbane,"Jan 7, 1996",ODI # 1031
4,Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne,"Jan 9, 1996",ODI # 1032
5,South Africa,England,South Africa,6 runs,Cape Town,"Jan 9, 1996",ODI # 1033
6,South Africa,England,England,5 wickets,Bloemfontein,"Jan 11, 1996",ODI # 1034
7,Australia,Sri Lanka,Australia,83 runs,Perth,"Jan 12, 1996",ODI # 1035
8,South Africa,England,South Africa,3 wickets,Johannesburg,"Jan 13, 1996",ODI # 1036
9,Sri Lanka,West Indies,Sri Lanka,16 runs,Perth,"Jan 14, 1996",ODI # 1037
10,South Africa,England,South Africa,7 wickets,Centurion,"Jan 14, 1996",ODI # 1038
11,Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne,"Jan 16, 1996",ODI # 1039
12,South Africa,England,South Africa,5 wickets,Durban,"Jan 17, 1996",ODI # 1040
13,Australia,Sri Lanka,Australia,18 runs,Melbourne,"Jan 18, 1996",ODI # 1041
14,South Africa,England,South Africa,14 runs,East London,"Jan 19, 1996",ODI # 1042
15,Australia,Sri Lanka,Australia,9 runs,Sydney,"Jan 20, 1996",ODI # 1043
16,South Africa,England,South Africa,64 runs,Port Elizabeth,"Jan 21, 1996",ODI # 1044
17,New Zealand,Zimbabwe,New Zealand,74 runs,Auckland,"Jan 28, 1996",ODI # 1045
18,New Zealand,Zimbabwe,New Zealand,6 wickets,Wellington,"Jan 31, 1996",ODI # 1046
19,New Zealand,Zimbabwe,Zimbabwe,21 runs,Napier,"Feb 3, 1996",ODI # 1047
20,England,New Zealand,New Zealand,11 runs,Ahmedabad,"Feb 14, 1996",ODI # 1048
21,South Africa,U.A.E.,South Africa,169 runs,Rawalpindi,"Feb 16, 1996",ODI # 1049
22,West Indies,Zimbabwe,West Indies,6 wickets,Hyderabad (Deccan),"Feb 16, 1996",ODI # 1050
23,Netherlands,New Zealand,New Zealand,119 runs,Vadodara,"Feb 17, 1996",ODI # 1051
24,India,Kenya,India,7 wickets,Cuttack,"Feb 18, 1996",ODI # 1052
25,England,U.A.E.,England,8 wickets,Peshawar,"Feb 18, 1996",ODI # 1053
26,New Zealand,South Africa,South Africa,5 wickets,Faisalabad,"Feb 20, 1996",ODI # 1054
27,Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),"Feb 21, 1996",ODI # 1055
28,India,West Indies,India,5 wickets,Gwalior,"Feb 21, 1996",ODI # 1056
29,England,Netherlands,England,49 runs,Peshawar,"Feb 22, 1996",ODI # 1057
30,Australia,Kenya,Australia,97 runs,Visakhapatnam,"Feb 23, 1996",ODI # 1058
31,Pakistan,U.A.E.,Pakistan,9 wickets,Gujranwala,"Feb 24, 1996",ODI # 1059
32,England,South Africa,South Africa,78 runs,Rawalpindi,"Feb 25, 1996",ODI # 1060
33,Kenya,Zimbabwe,no result,,Patna,"Feb 26, 1996",ODI # 1061
