Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 83,Australia,England,England,2 wickets,Sydney,"Jan 14, 1980"
ODI # 84,England,West Indies,West Indies,107 runs,Adelaide,"Jan 16, 1980"
ODI # 85,Australia,West Indies,Australia,9 runs,Sydney,"Jan 18, 1980"
ODI # 86,England,West Indies,West Indies,2 runs,Melbourne,"Jan 20, 1980"
ODI # 87,England,West Indies,West Indies,8 wickets,Sydney,"Jan 22, 1980"
ODI # 88,New Zealand,West Indies,New Zealand,1 wicket,Christchurch,"Feb 6, 1980"
ODI # 89,England,West Indies,West Indies,24 runs,Leeds,"May 28-29, 1980"
ODI # 90,England,West Indies,England,3 wickets,Lord's,"May 30, 1980"
ODI # 91,England,Australia,England,23 runs,The Oval,"Aug 20, 1980"
ODI # 92,England,Australia,England,47 runs,Birmingham,"Aug 22, 1980"
ODI # 93,Pakistan,West Indies,West Indies,4 wickets,Karachi,"Nov 21, 1980"
ODI # 94,Australia,New Zealand,New Zealand,3 wickets,Adelaide,"Nov 23, 1980"
ODI # 95,Australia,New Zealand,Australia,94 runs,Sydney,"Nov 25, 1980"
ODI # 96,Pakistan,West Indies,West Indies,7 wickets,Sialkot,"Dec 5, 1980"
ODI # 97,Australia,India,India,66 runs,Melbourne,"Dec 6, 1980"
ODI # 98,Australia,New Zealand,Australia,4 wickets,Melbourne,"Dec 7, 1980"
ODI # 99,India,New Zealand,India,5 runs,Perth,"Dec 9, 1980"
ODI # 100,Australia,India,Australia,9 wickets,Sydney,"Dec 18, 1980"
ODI # 101,Pakistan,West Indies,West Indies,7 runs,Lahore,"Dec 19, 1980"
ODI # 102,India,New Zealand,New Zealand,3 wickets,Brisbane,"Dec 21, 1980"
ODI # 103,India,New Zealand,India,6 runs,Adelaide,"Dec 23, 1980"
