Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 2470,New Zealand,Sri Lanka,New Zealand,4 wickets,Christchurch,"Jan 2, 2007"
ODI # 2471,New Zealand,Sri Lanka,Sri Lanka,189 runs,Auckland,"Jan 6, 2007"
ODI # 2472,New Zealand,Sri Lanka,no result,,Hamilton,"Jan 9, 2007"
ODI # 2473,Australia,England,Australia,8 wickets,Melbourne,"Jan 12, 2007"
ODI # 2474,Australia,New Zealand,Australia,105 runs,Hobart,"Jan 14, 2007"
ODI # 2475,England,New Zealand,England,3 wickets,Hobart,"Jan 16, 2007"
ODI # 2476,Kenya,Scotland,Kenya,190 runs,Mombasa,"Jan 17, 2007"
ODI # 2477,Canada,Scotland,Scotland,2 wickets,Mombasa,"Jan 18, 2007"
ODI # 2478,Australia,England,Australia,4 wickets,Brisbane,"Jan 19, 2007"
ODI # 2479,Australia,New Zealand,Australia,2 wickets,Sydney,"Jan 21, 2007"
ODI # 2480,India,West Indies,India,14 runs,Nagpur,"Jan 21, 2007"
ODI # 2481,Kenya,Scotland,Kenya,6 runs,Mombasa,"Jan 21, 2007"
ODI # 2482,England,New Zealand,New Zealand,90 runs,Adelaide,"Jan 23, 2007"
ODI # 2483,Canada,Scotland,Scotland,2 wickets,Mombasa,"Jan 23, 2007"
ODI # 2484,Kenya,Canada,Canada,69 runs,Mombasa,"Jan 24, 2007"
ODI # 2485,India,West Indies,India,20 runs,Cuttack,"Jan 24, 2007"
ODI # 2486,Australia,England,Australia,9 wickets,Adelaide,"Jan 26, 2007"
ODI # 2487,India,West Indies,West Indies,3 wickets,Chennai,"Jan 27, 2007"
ODI # 2488,Australia,New Zealand,Australia,8 runs,Perth,"Jan 28, 2007"
ODI # 2489,Kenya,Bermuda,Kenya,10 wickets,Nairobi (Jaff),"Jan 29, 2007"
ODI # 2490,England,New Zealand,New Zealand,58 runs,Perth,"Jan 30, 2007"
ODI # 2491,Canada,Netherlands,Netherlands,8 wickets,Nairobi (Ruaraka),"Jan 30, 2007"
ODI # 2492,Ireland,Scotland,Scotland,3 wickets,Nairobi (Gym),"Jan 30, 2007"
ODI # 2493,India,West Indies,India,160 runs,Vadodara,"Jan 31, 2007"
ODI # 2494,Bermuda,Ireland,Ireland,4 wickets,Nairobi (Jaff),"Jan 31, 2007"
ODI # 2495,Canada,Scotland,Scotland,7 runs,Nairobi (Ruaraka),"Jan 31, 2007"
ODI # 2496,Kenya,Netherlands,Kenya,7 wickets,Nairobi (Gym),"Jan 31, 2007"
ODI # 2497,Australia,England,England,92 runs,Sydney,"Feb 2, 2007"
ODI # 2498,Bermuda,Canada,Canada,56 runs,Nairobi (Gym),"Feb 2, 2007"
ODI # 2499,Kenya,Ireland,Kenya,1 wicket,Nairobi (Ruaraka),"Feb 2, 2007"
ODI # 2500,Netherlands,Scotland,Scotland,2 runs,Nairobi (Jaff),"Feb 2, 2007"
ODI # 2501,Australia,New Zealand,Australia,5 wickets,Melbourne,"Feb 4, 2007"
ODI # 2502,Bermuda,Netherlands,Netherlands,8 wickets,Nairobi (Ruaraka),"Feb 4, 2007"
ODI # 2503,Canada,Ireland,Canada,6 wickets,Nairobi (Jaff),"Feb 4, 2007"
ODI # 2504,Kenya,Scotland,Scotland,77 runs,Nairobi (Gym),"Feb 4, 2007"
ODI # 2505,Zimbabwe,Bangladesh,Bangladesh,45 runs,Harare,"Feb 4, 2007"
ODI # 2506,South Africa,Pakistan,South Africa,164 runs,Centurion,"Feb 4, 2007"
ODI # 2507,Bermuda,Scotland,Bermuda,5 wickets,Nairobi (Ruaraka),"Feb 5, 2007"
ODI # 2508,Kenya,Canada,Kenya,158 runs,Nairobi (Jaff),"Feb 5, 2007"
ODI # 2509,Ireland,Netherlands,Netherlands,6 runs,Nairobi (Gym),"Feb 5, 2007"
ODI # 2510,England,New Zealand,England,14 runs,Brisbane,"Feb 6, 2007"
ODI # 2511,Zimbabwe,Bangladesh,Zimbabwe,8 wickets,Harare,"Feb 6, 2007"
ODI # 2512,Kenya,Scotland,Kenya,8 wickets,Nairobi (Gym),"Feb 7, 2007"
ODI # 2513,South Africa,Pakistan,Pakistan,141 runs,Durban,"Feb 7, 2007"
ODI # 2514,India,Sri Lanka,no result,,Kolkata,"Feb 8, 2007"
ODI # 2515,Australia,England,England,4 wickets,Melbourne,"Feb 9, 2007"
ODI # 2516,Zimbabwe,Bangladesh,Bangladesh,14 runs,Harare,"Feb 9, 2007"
ODI # 2517,South Africa,Pakistan,no result,,Port Elizabeth,"Feb 9, 2007"
ODI # 2518,Zimbabwe,Bangladesh,Bangladesh,1 wicket,Harare,"Feb 10, 2007"
ODI # 2519,Australia,England,England,34 runs,Sydney,"Feb 11, 2007"
ODI # 2520,India,Sri Lanka,Sri Lanka,5 runs,Rajkot,"Feb 11, 2007"
ODI # 2521,South Africa,Pakistan,South Africa,10 wickets,Cape Town,"Feb 11, 2007"
ODI # 2522,India,Sri Lanka,India,5 wickets,Margao,"Feb 14, 2007"
ODI # 2523,South Africa,Pakistan,South Africa,9 wickets,Johannesburg,"Feb 14, 2007"
ODI # 2524,New Zealand,Australia,New Zealand,10 wickets,Wellington,"Feb 16, 2007"
ODI # 2525,India,Sri Lanka,India,7 wickets,Visakhapatnam,"Feb 17, 2007"
ODI # 2526,New Zealand,Australia,New Zealand,5 wickets,Auckland,"Feb 18, 2007"
ODI # 2527,New Zealand,Australia,New Zealand,1 wicket,Hamilton,"Feb 20, 2007"
