Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 231,Australia,West Indies,West Indies,27 runs,Melbourne,"Jan 8, 1984"
ODI # 232,Australia,Pakistan,Australia,34 runs,Sydney,"Jan 10, 1984"
ODI # 233,Pakistan,West Indies,Pakistan,97 runs,Melbourne,"Jan 12, 1984"
ODI # 234,Pakistan,West Indies,West Indies,5 wickets,Brisbane,"Jan 14, 1984"
ODI # 235,Australia,Pakistan,no result,,Brisbane,"Jan 15, 1984"
ODI # 236,Australia,West Indies,West Indies,28 runs,Sydney,"Jan 17, 1984"
ODI # 237,Pakistan,West Indies,West Indies,5 wickets,Sydney,"Jan 19, 1984"
ODI # 238,Australia,Pakistan,Australia,43 runs,Melbourne,"Jan 21, 1984"
ODI # 239,Australia,West Indies,West Indies,26 runs,Melbourne,"Jan 22, 1984"
ODI # 240,Australia,Pakistan,Australia,87 runs,Sydney,"Jan 25, 1984"
ODI # 241,Pakistan,West Indies,West Indies,1 wicket,Adelaide,"Jan 28, 1984"
ODI # 242,Australia,West Indies,West Indies,6 wickets,Adelaide,"Jan 29, 1984"
ODI # 243,Australia,Pakistan,Australia,70 runs,Adelaide,"Jan 30, 1984"
ODI # 244,Pakistan,West Indies,West Indies,7 wickets,Perth,"Feb 4, 1984"
ODI # 245,Australia,West Indies,Australia,14 runs,Perth,"Feb 5, 1984"
ODI # 246,Australia,West Indies,West Indies,9 wickets,Sydney,"Feb 8, 1984"
ODI # 247,Australia,West Indies,tied,,Melbourne,"Feb 11, 1984"
ODI # 248,Australia,West Indies,West Indies,6 wickets,Melbourne,"Feb 12, 1984"
ODI # 249,New Zealand,England,England,54 runs,Christchurch,"Feb 18, 1984"
ODI # 250,New Zealand,England,England,6 wickets,Wellington,"Feb 22, 1984"
ODI # 251,New Zealand,England,New Zealand,7 wickets,Auckland,"Feb 25, 1984"
ODI # 252,West Indies,Australia,West Indies,8 wickets,Albion,"Feb 29, 1984"
ODI # 253,Sri Lanka,New Zealand,New Zealand,104 runs,Colombo (SSC),"Mar 3, 1984"
ODI # 254,Pakistan,England,Pakistan,6 wickets,Lahore,"Mar 9, 1984"
ODI # 255,West Indies,Australia,Australia,4 wickets,Port of Spain,"Mar 14, 1984"
ODI # 256,Pakistan,England,England,6 wickets,Karachi,"Mar 26, 1984"
ODI # 257,Sri Lanka,New Zealand,Sri Lanka,41 runs,Moratuwa,"Mar 31, 1984"
ODI # 258,Sri Lanka,New Zealand,New Zealand,86 runs,Colombo (PSS),"Apr 1, 1984"
ODI # 259,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Sharjah,"Apr 6, 1984"
ODI # 260,India,Sri Lanka,India,10 wickets,Sharjah,"Apr 8, 1984"
ODI # 261,India,Pakistan,India,54 runs,Sharjah,"Apr 13, 1984"
ODI # 262,West Indies,Australia,West Indies,7 wickets,Castries,"Apr 19, 1984"
ODI # 263,West Indies,Australia,West Indies,9 wickets,Kingston,"Apr 26, 1984"
ODI # 264,England,West Indies,West Indies,104 runs,Manchester,"May 31, 1984"
ODI # 265,England,West Indies,England,3 wickets,Nottingham,"Jun 2, 1984"
ODI # 266,England,West Indies,West Indies,8 wickets,Lord's,"Jun 4, 1984"
ODI # 267,India,Australia,Australia,48 runs,New Delhi,"Sep 28, 1984"
ODI # 268,India,Australia,no result,,Thiruvananthapuram,"Oct 1, 1984"
ODI # 269,India,Australia,no result,,Jamshedpur,"Oct 3, 1984"
ODI # 270,India,Australia,Australia,7 wickets,Ahmedabad,"Oct 5, 1984"
ODI # 271,India,Australia,Australia,6 wickets,Indore,"Oct 6, 1984"
ODI # 272,Pakistan,India,Pakistan,46 runs,Quetta,"Oct 12, 1984"
ODI # 273,Pakistan,India,no result,,Sialkot,"Oct 31, 1984"
ODI # 274,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Colombo (PSS),"Nov 3, 1984"
ODI # 275,Sri Lanka,New Zealand,New Zealand,7 wickets,Moratuwa,"Nov 4, 1984"
ODI # 276,Pakistan,New Zealand,Pakistan,46 runs,Peshawar,"Nov 12, 1984"
ODI # 277,Pakistan,New Zealand,Pakistan,5 runs,Faisalabad,"Nov 23, 1984"
ODI # 278,Pakistan,New Zealand,New Zealand,34 runs,Sialkot,"Dec 2, 1984"
ODI # 279,India,England,England,4 wickets,Pune,"Dec 5, 1984"
ODI # 280,Pakistan,New Zealand,Pakistan,1 wicket,Multan,"Dec 7, 1984"
ODI # 281,India,England,England,1 run,Cuttack,"Dec 27, 1984"
