Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 347,Australia,New Zealand,no result,,Melbourne,"Jan 9, 1986"
ODI # 348,India,New Zealand,India,5 wickets,Brisbane,"Jan 11, 1986"
ODI # 349,Australia,India,Australia,4 wickets,Brisbane,"Jan 12, 1986"
ODI # 350,Australia,New Zealand,Australia,4 wickets,Sydney,"Jan 14, 1986"
ODI # 351,Australia,India,India,8 wickets,Melbourne,"Jan 16, 1986"
ODI # 352,India,New Zealand,New Zealand,3 wickets,Perth,"Jan 18, 1986"
ODI # 353,Australia,New Zealand,Australia,4 wickets,Perth,"Jan 19, 1986"
ODI # 354,Australia,India,Australia,100 runs,Sydney,"Jan 21, 1986"
ODI # 355,India,New Zealand,New Zealand,5 wickets,Melbourne,"Jan 23, 1986"
ODI # 356,India,New Zealand,India,5 wickets,Adelaide,"Jan 25, 1986"
ODI # 357,Australia,India,Australia,36 runs,Adelaide,"Jan 26, 1986"
ODI # 358,Australia,New Zealand,New Zealand,206 runs,Adelaide,"Jan 27, 1986"
ODI # 359,Australia,New Zealand,Australia,99 runs,Sydney,"Jan 29, 1986"
ODI # 360,Australia,India,India,6 wickets,Melbourne,"Jan 31, 1986"
ODI # 361,India,New Zealand,India,22 runs,Launceston,"Feb 2, 1986"
ODI # 362,Australia,India,Australia,11 runs,Sydney,"Feb 5, 1986"
ODI # 363,Australia,India,Australia,7 wickets,Melbourne,"Feb 9, 1986"
ODI # 364,West Indies,England,West Indies,6 wickets,Kingston,"Feb 18, 1986"
ODI # 365,Sri Lanka,Pakistan,Pakistan,8 wickets,Kandy,"Mar 2, 1986"
ODI # 366,West Indies,England,England,5 wickets,Port of Spain,"Mar 4, 1986"
ODI # 367,Sri Lanka,Pakistan,no result,,Moratuwa,"Mar 8, 1986"
ODI # 368,Sri Lanka,Pakistan,Pakistan,8 wickets,Colombo (SSC),"Mar 11, 1986"
ODI # 369,New Zealand,Australia,New Zealand,30 runs,Dunedin,"Mar 19, 1986"
ODI # 370,West Indies,England,West Indies,135 runs,Bridgetown,"Mar 19, 1986"
ODI # 371,New Zealand,Australia,New Zealand,53 runs,Christchurch,"Mar 22, 1986"
ODI # 372,New Zealand,Australia,Australia,3 wickets,Wellington,"Mar 26, 1986"
ODI # 373,New Zealand,Australia,Australia,44 runs,Auckland,"Mar 29, 1986"
ODI # 374,Sri Lanka,Pakistan,Pakistan,81 runs,Colombo (PSS),"Mar 30, 1986"
ODI # 375,Bangladesh,Pakistan,Pakistan,7 wickets,Moratuwa,"Mar 31, 1986"
ODI # 376,West Indies,England,West Indies,8 wickets,Port of Spain,"Mar 31, 1986"
ODI # 377,Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Kandy,"Apr 2, 1986"
ODI # 378,Sri Lanka,New Zealand,New Zealand,6 wickets,Colombo (RPS),"Apr 5, 1986"
ODI # 379,Sri Lanka,Pakistan,Sri Lanka,5 wickets,Colombo (SSC),"Apr 6, 1986"
ODI # 380,New Zealand,Pakistan,Pakistan,4 wickets,Colombo (SSC),"Apr 7, 1986"
ODI # 381,India,New Zealand,India,3 wickets,Sharjah,"Apr 10, 1986"
ODI # 382,Australia,Pakistan,Pakistan,8 wickets,Sharjah,"Apr 11, 1986"
ODI # 383,India,Sri Lanka,India,3 wickets,Sharjah,"Apr 13, 1986"
ODI # 384,New Zealand,Pakistan,Pakistan,10 wickets,Sharjah,"Apr 15, 1986"
ODI # 385,India,Pakistan,Pakistan,1 wicket,Sharjah,"Apr 18, 1986"
ODI # 386,England,India,India,9 wickets,The Oval,"May 24, 1986"
ODI # 387,England,India,England,5 wickets,Manchester,"May 26, 1986"
ODI # 388,England,New Zealand,New Zealand,47 runs,Leeds,"Jul 16, 1986"
ODI # 389,England,New Zealand,England,6 wickets,Manchester,"Jul 18, 1986"
ODI # 390,India,Australia,India,7 wickets,Jaipur,"Sep 7, 1986"
ODI # 391,India,Australia,Australia,3 wickets,Srinagar,"Sep 9, 1986"
ODI # 392,India,Australia,no result,,Hyderabad (Deccan),"Sep 24, 1986"
ODI # 393,India,Australia,India,3 wickets,Delhi,"Oct 2, 1986"
ODI # 394,India,Australia,India,52 runs,Ahmedabad,"Oct 5, 1986"
ODI # 395,India,Australia,Australia,7 wickets,Rajkot,"Oct 7, 1986"
ODI # 396,Pakistan,West Indies,West Indies,4 wickets,Peshawar,"Oct 17, 1986"
ODI # 397,Pakistan,West Indies,West Indies,17 runs,Gujranwala,"Nov 4, 1986"
ODI # 398,Pakistan,West Indies,West Indies,4 wickets,Sialkot,"Nov 14, 1986"
ODI # 399,Pakistan,West Indies,West Indies,89 runs,Multan,"Nov 17, 1986"
ODI # 400,Pakistan,West Indies,Pakistan,11 runs,Hyderabad (Sind),"Nov 18, 1986"
ODI # 401,India,Sri Lanka,India,7 wickets,Sharjah,"Nov 27, 1986"
ODI # 402,Pakistan,West Indies,West Indies,9 wickets,Sharjah,"Nov 28, 1986"
ODI # 403,India,West Indies,West Indies,33 runs,Sharjah,"Nov 30, 1986"
ODI # 404,Pakistan,Sri Lanka,Pakistan,4 wickets,Sharjah,"Dec 2, 1986"
ODI # 405,Sri Lanka,West Indies,West Indies,193 runs,Sharjah,"Dec 3, 1986"
ODI # 406,India,Pakistan,Pakistan,3 wickets,Sharjah,"Dec 5, 1986"
ODI # 407,India,Sri Lanka,Sri Lanka,117 runs,Kanpur,"Dec 24, 1986"
ODI # 408,Pakistan,West Indies,Pakistan,34 runs,Perth,"Dec 30, 1986"
