,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai,"Jan 8, 2015",ODI # 3572
1,Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC),"Jan 10, 2015",ODI # 3573
2,New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch,"Jan 11, 2015",ODI # 3574
3,Ireland,Scotland,Ireland,3 wickets,Dubai (DSC),"Jan 12, 2015",ODI # 3575
4,Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi,"Jan 14, 2015",ODI # 3576
5,New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton,"Jan 15, 2015",ODI # 3577
6,Australia,England,Australia,3 wickets,Sydney,"Jan 16, 2015",ODI # 3578
7,South Africa,West Indies,South Africa,61 runs,Durban,"Jan 16, 2015",ODI # 3579
8,New Zealand,Sri Lanka,no result,,Auckland,"Jan 17, 2015",ODI # 3580
9,Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC),"Jan 17, 2015",ODI # 3581
10,Australia,India,Australia,4 wickets,Melbourne,"Jan 18, 2015",ODI # 3582
11,South Africa,West Indies,South Africa,148 runs,Johannesburg,"Jan 18, 2015",ODI # 3583
12,Ireland,Scotland,no result,,ICCA Dubai,"Jan 19, 2015",ODI # 3584
13,New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson,"Jan 20, 2015",ODI # 3585
14,England,India,England,9 wickets,Brisbane,"Jan 20, 2015",ODI # 3586
15,South Africa,West Indies,South Africa,9 wickets,East London,"Jan 21, 2015",ODI # 3587
16,New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin,"Jan 23, 2015",ODI # 3588
17,Australia,England,Australia,3 wickets,Hobart,"Jan 23, 2015",ODI # 3589
18,New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin,"Jan 25, 2015",ODI # 3590
19,South Africa,West Indies,West Indies,1 wicket,Port Elizabeth,"Jan 25, 2015",ODI # 3591
20,Australia,India,no result,,Sydney,"Jan 26, 2015",ODI # 3592
21,South Africa,West Indies,South Africa,131 runs,Centurion,"Jan 28, 2015",ODI # 3593
22,New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington,"Jan 29, 2015",ODI # 3594
23,England,India,England,3 wickets,Perth,"Jan 30, 2015",ODI # 3595
24,New Zealand,Pakistan,New Zealand,7 wickets,Wellington,"Jan 31, 2015",ODI # 3596
25,Australia,England,Australia,112 runs,Perth,"Feb 1, 2015",ODI # 3597
26,New Zealand,Pakistan,New Zealand,119 runs,Napier,"Feb 3, 2015",ODI # 3598
27,New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,"Feb 14, 2015",ODI # 3599
28,Australia,England,Australia,111 runs,Melbourne,"Feb 14, 2015",ODI # 3600
29,South Africa,Zimbabwe,South Africa,62 runs,Hamilton,"Feb 15, 2015",ODI # 3601
30,India,Pakistan,India,76 runs,Adelaide,"Feb 15, 2015",ODI # 3602
31,Ireland,West Indies,Ireland,4 wickets,Nelson,"Feb 16, 2015",ODI # 3603
32,New Zealand,Scotland,New Zealand,3 wickets,Dunedin,"Feb 17, 2015",ODI # 3604
33,Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,"Feb 18, 2015",ODI # 3605
34,U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,"Feb 19, 2015",ODI # 3606
35,New Zealand,England,New Zealand,8 wickets,Wellington,"Feb 20, 2015",ODI # 3607
36,Pakistan,West Indies,West Indies,150 runs,Christchurch,"Feb 21, 2015",ODI # 3608
37,Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,"Feb 22, 2015",ODI # 3609
38,India,South Africa,India,130 runs,Melbourne,"Feb 22, 2015",ODI # 3610
39,England,Scotland,England,119 runs,Christchurch,"Feb 23, 2015",ODI # 3611
40,West Indies,Zimbabwe,West Indies,73 runs,Canberra,"Feb 24, 2015",ODI # 3612
41,Ireland,U.A.E.,Ireland,2 wickets,Brisbane,"Feb 25, 2015",ODI # 3613
42,Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,"Feb 26, 2015",ODI # 3614
43,Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,"Feb 26, 2015",ODI # 3615
44,South Africa,West Indies,South Africa,257 runs,Sydney,"Feb 27, 2015",ODI # 3616
45,New Zealand,Australia,New Zealand,1 wicket,Auckland,"Feb 28, 2015",ODI # 3617
46,India,U.A.E.,India,9 wickets,Perth,"Feb 28, 2015",ODI # 3618
47,England,Sri Lanka,Sri Lanka,9 wickets,Wellington,"Mar 1, 2015",ODI # 3619
