,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,Pakistan,New Zealand,4 wickets,Auckland,"Jan 3, 2004",ODI # 2075
1,New Zealand,Pakistan,Pakistan,6 wickets,Queenstown,"Jan 7, 2004",ODI # 2076
2,Australia,India,Australia,18 runs,Melbourne,"Jan 9, 2004",ODI # 2077
3,New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,"Jan 10, 2004",ODI # 2078
4,Australia,Zimbabwe,Australia,99 runs,Sydney,"Jan 11, 2004",ODI # 2079
5,New Zealand,Pakistan,New Zealand,8 wickets,Napier,"Jan 14, 2004",ODI # 2081
6,India,Zimbabwe,India,7 wickets,Hobart,"Jan 14, 2004",ODI # 2080
7,Australia,Zimbabwe,Australia,148 runs,Hobart,"Jan 16, 2004",ODI # 2082
8,New Zealand,Pakistan,New Zealand,4 runs,Wellington,"Jan 17, 2004",ODI # 2083
9,Australia,India,India,19 runs,Brisbane,"Jan 18, 2004",ODI # 2084
10,India,Zimbabwe,India,24 runs,Brisbane,"Jan 20, 2004",ODI # 2085
11,Australia,India,Australia,2 wickets,Sydney,"Jan 22, 2004",ODI # 2086
12,India,Zimbabwe,India,3 runs,Adelaide,"Jan 24, 2004",ODI # 2087
13,South Africa,West Indies,South Africa,209 runs,Cape Town,"Jan 25, 2004",ODI # 2088
14,Australia,Zimbabwe,Australia,13 runs,Adelaide,"Jan 26, 2004",ODI # 2089
15,South Africa,West Indies,South Africa,16 runs,Port Elizabeth,"Jan 28, 2004",ODI # 2090
16,Australia,Zimbabwe,no result,,Melbourne,"Jan 29, 2004",ODI # 2091
17,South Africa,West Indies,no result,,Durban,"Jan 30, 2004",ODI # 2092
18,Australia,India,Australia,5 wickets,Perth,"Feb 1, 2004",ODI # 2093
19,South Africa,West Indies,West Indies,7 wickets,Centurion,"Feb 1, 2004",ODI # 2094
20,India,Zimbabwe,India,4 wickets,Perth,"Feb 3, 2004",ODI # 2095
21,South Africa,West Indies,South Africa,4 wickets,Johannesburg,"Feb 4, 2004",ODI # 2096
22,Australia,India,Australia,7 wickets,Melbourne,"Feb 6, 2004",ODI # 2097
23,Australia,India,Australia,208 runs,Sydney,"Feb 8, 2004",ODI # 2098
24,New Zealand,South Africa,South Africa,5 wickets,Auckland,"Feb 13, 2004",ODI # 2099
25,New Zealand,South Africa,New Zealand,5 wickets,Christchurch,"Feb 17, 2004",ODI # 2100
26,New Zealand,South Africa,New Zealand,5 runs,Wellington,"Feb 20, 2004",ODI # 2101
27,Sri Lanka,Australia,Australia,84 runs,Dambulla,"Feb 20, 2004",ODI # 2102
28,Sri Lanka,Australia,Sri Lanka,1 run,Dambulla,"Feb 22, 2004",ODI # 2103
29,New Zealand,South Africa,New Zealand,6 wickets,Dunedin,"Feb 25, 2004",ODI # 2104
30,Sri Lanka,Australia,Australia,5 wickets,Colombo (RPS),"Feb 25, 2004",ODI # 2105
31,Sri Lanka,Australia,Australia,40 runs,Colombo (RPS),"Feb 27, 2004",ODI # 2106
32,New Zealand,South Africa,New Zealand,2 runs,Auckland,"Feb 29, 2004",ODI # 2107
33,Sri Lanka,Australia,Sri Lanka,3 wickets,Colombo (SSC),"Feb 29, 2004",ODI # 2108
34,New Zealand,South Africa,New Zealand,5 wickets,Napier,"Mar 2, 2004",ODI # 2109
35,Zimbabwe,Bangladesh,Bangladesh,8 runs,Harare,"Mar 10, 2004",ODI # 2110
36,Zimbabwe,Bangladesh,Zimbabwe,14 runs,Harare,"Mar 12, 2004",ODI # 2111
37,Pakistan,India,India,5 runs,Karachi,"Mar 13, 2004",ODI # 2112
38,Zimbabwe,Bangladesh,Zimbabwe,3 wickets,Harare,"Mar 14, 2004",ODI # 2113
39,Pakistan,India,Pakistan,12 runs,Rawalpindi,"Mar 16, 2004",ODI # 2114
40,Pakistan,India,Pakistan,4 wickets,Peshawar,"Mar 19, 2004",ODI # 2115
41,Pakistan,India,India,5 wickets,Lahore,"Mar 21, 2004",ODI # 2116
42,Pakistan,India,India,40 runs,Lahore,"Mar 24, 2004",ODI # 2117
43,West Indies,England,England,2 wickets,Georgetown,"Apr 18, 2004",ODI # 2118
44,Zimbabwe,Sri Lanka,Sri Lanka,12 runs,Bulawayo,"Apr 20, 2004",ODI # 2119
45,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,"Apr 22, 2004",ODI # 2120
46,West Indies,England,no result,,Port of Spain,"Apr 24, 2004",ODI # 2121
47,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare,"Apr 25, 2004",ODI # 2122
48,Zimbabwe,Sri Lanka,Sri Lanka,72 runs,Harare,"Apr 27, 2004",ODI # 2123
49,Zimbabwe,Sri Lanka,Sri Lanka,25 runs,Harare,"Apr 29, 2004",ODI # 2124
50,West Indies,England,West Indies,5 wickets,Gros Islet,"May 1, 2004",ODI # 2125
51,West Indies,England,West Indies,4 wickets,Gros Islet,"May 2, 2004",ODI # 2126
52,West Indies,England,England,5 wickets,Bridgetown,"May 5, 2004",ODI # 2127
53,West Indies,Bangladesh,West Indies,1 wicket,Kingstown,"May 15, 2004",ODI # 2128
54,West Indies,Bangladesh,West Indies,23 runs,Kingstown,"May 16, 2004",ODI # 2129
55,West Indies,Bangladesh,West Indies,7 wickets,St George's,"May 19, 2004",ODI # 2130
56,Zimbabwe,Australia,Australia,7 wickets,Harare,"May 25, 2004",ODI # 2131
57,Zimbabwe,Australia,Australia,139 runs,Harare,"May 27, 2004",ODI # 2132
58,Zimbabwe,Australia,Australia,8 wickets,Harare,"May 29, 2004",ODI # 2133
59,New Zealand,West Indies,no result,,Birmingham,"Jun 26, 2004",ODI # 2134
60,England,West Indies,West Indies,7 wickets,Nottingham,"Jun 27, 2004",ODI # 2135
61,England,New Zealand,New Zealand,7 wickets,Chester-le-Street,"Jun 29, 2004",ODI # 2136
62,England,West Indies,England,7 wickets,Leeds,"Jul 1, 2004",ODI # 2137
63,New Zealand,West Indies,New Zealand,5 wickets,Cardiff,"Jul 3, 2004",ODI # 2138
64,England,New Zealand,New Zealand,6 wickets,Bristol,"Jul 4, 2004",ODI # 2139
65,England,West Indies,West Indies,7 wickets,Lord's,"Jul 6, 2004",ODI # 2140
66,New Zealand,West Indies,no result,,Southampton,"Jul 8, 2004",ODI # 2141
67,New Zealand,West Indies,New Zealand,107 runs,Lord's,"Jul 10, 2004",ODI # 2142
68,Bangladesh,Hong Kong,Bangladesh,116 runs,Colombo (SSC),"Jul 16, 2004",ODI # 2143
69,India,U.A.E.,India,116 runs,Dambulla,"Jul 16, 2004",ODI # 2144
70,Bangladesh,Pakistan,Pakistan,76 runs,Colombo (SSC),"Jul 17, 2004",ODI # 2145
71,Sri Lanka,U.A.E.,Sri Lanka,116 runs,Dambulla,"Jul 17, 2004",ODI # 2146
72,Hong Kong,Pakistan,Pakistan,173 runs,Colombo (SSC),"Jul 18, 2004",ODI # 2147
73,Sri Lanka,India,Sri Lanka,12 runs,Dambulla,"Jul 18, 2004",ODI # 2148
74,Bangladesh,India,India,8 wickets,Colombo (SSC),"Jul 21, 2004",ODI # 2149
75,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (RPS),"Jul 21, 2004",ODI # 2150
76,Sri Lanka,Bangladesh,Sri Lanka,10 wickets,Colombo (RPS),"Jul 23, 2004",ODI # 2151
77,India,Pakistan,Pakistan,59 runs,Colombo (RPS),"Jul 25, 2004",ODI # 2152
78,Sri Lanka,India,India,4 runs,Colombo (RPS),"Jul 27, 2004",ODI # 2153
79,Bangladesh,Pakistan,Pakistan,6 wickets,Colombo (RPS),"Jul 29, 2004",ODI # 2154
80,Sri Lanka,India,Sri Lanka,25 runs,Colombo (RPS),"Aug 1, 2004",ODI # 2155
81,Sri Lanka,South Africa,Sri Lanka,3 wickets,Colombo (RPS),"Aug 20, 2004",ODI # 2156
82,India,Pakistan,Pakistan,66 runs,Amstelveen,"Aug 21, 2004",ODI # 2157
83,Sri Lanka,South Africa,Sri Lanka,37 runs,Colombo (RPS),"Aug 22, 2004",ODI # 2158
84,Australia,India,no result,,Amstelveen,"Aug 23, 2004",ODI # 2159
85,Sri Lanka,South Africa,Sri Lanka,4 wickets,Dambulla,"Aug 25, 2004",ODI # 2160
86,Sri Lanka,South Africa,Sri Lanka,7 wickets,Dambulla,"Aug 28, 2004",ODI # 2161
87,Australia,Pakistan,Australia,17 runs,Amstelveen,"Aug 28, 2004",ODI # 2162
88,Sri Lanka,South Africa,Sri Lanka,49 runs,Colombo (SSC),"Aug 31, 2004",ODI # 2163
89,England,India,England,7 wickets,Nottingham,"Sep 1, 2004",ODI # 2164
90,England,India,England,70 runs,The Oval,"Sep 3, 2004",ODI # 2165
91,Australia,Pakistan,Australia,10 runs,Lord's,"Sep 4, 2004",ODI # 2166
92,England,India,India,23 runs,Lord's,"Sep 5, 2004",ODI # 2167
93,England,Zimbabwe,England,152 runs,Birmingham,"Sep 10-11, 2004",ODI # 2168
94,New Zealand,U.S.A.,New Zealand,210 runs,The Oval,"Sep 10, 2004",ODI # 2169
95,India,Kenya,India,98 runs,Southampton,"Sep 11, 2004",ODI # 2170
96,Bangladesh,South Africa,South Africa,9 wickets,Birmingham,"Sep 12, 2004",ODI # 2171
97,Australia,U.S.A.,Australia,9 wickets,Southampton,"Sep 13, 2004",ODI # 2172
98,Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,The Oval,"Sep 14, 2004",ODI # 2173
