,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
110,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Sharjah,"Oct 21, 2000",ODI # 1642
111,South Africa,New Zealand,South Africa,6 wickets,Benoni,"Oct 22, 2000",ODI # 1643
112,India,Zimbabwe,India,13 runs,Sharjah,"Oct 22, 2000",ODI # 1644
113,Pakistan,England,England,5 wickets,Karachi,"Oct 24, 2000",ODI # 1645
114,Sri Lanka,Zimbabwe,Sri Lanka,123 runs,Sharjah,"Oct 25, 2000",ODI # 1646
115,South Africa,New Zealand,South Africa,115 runs,Centurion,"Oct 25, 2000",ODI # 1647
116,India,Zimbabwe,India,3 wickets,Sharjah,"Oct 26, 2000",ODI # 1648
117,Pakistan,England,Pakistan,8 wickets,Lahore,"Oct 27, 2000",ODI # 1649
118,India,Sri Lanka,Sri Lanka,68 runs,Sharjah,"Oct 27, 2000",ODI # 1650
119,South Africa,New Zealand,South Africa,5 wickets,Kimberley,"Oct 28, 2000",ODI # 1651
120,India,Sri Lanka,Sri Lanka,245 runs,Sharjah,"Oct 29, 2000",ODI # 1652
121,Pakistan,England,Pakistan,6 wickets,Rawalpindi,"Oct 30, 2000",ODI # 1653
122,South Africa,New Zealand,South Africa,6 wickets,Durban,"Nov 1, 2000",ODI # 1654
123,South Africa,New Zealand,South Africa,3 wickets,Cape Town,"Nov 4, 2000",ODI # 1655
124,India,Zimbabwe,India,3 wickets,Cuttack,"Dec 2, 2000",ODI # 1656
125,India,Zimbabwe,India,61 runs,Ahmedabad,"Dec 5, 2000",ODI # 1657
126,India,Zimbabwe,Zimbabwe,1 wicket,Jodhpur,"Dec 8, 2000",ODI # 1658
127,India,Zimbabwe,India,9 wickets,Kanpur,"Dec 11, 2000",ODI # 1659
128,India,Zimbabwe,India,39 runs,Rajkot,"Dec 14, 2000",ODI # 1660
129,South Africa,Sri Lanka,South Africa,4 wickets,Port Elizabeth,"Dec 15, 2000",ODI # 1661
130,South Africa,Sri Lanka,South Africa,95 runs,East London,"Dec 17, 2000",ODI # 1662
