Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 1783,Australia,New Zealand,New Zealand,23 runs,Melbourne,"Jan 11, 2002"
ODI # 1784,Australia,South Africa,South Africa,4 wickets,Melbourne,"Jan 13, 2002"
ODI # 1785,New Zealand,South Africa,South Africa,26 runs,Hobart,"Jan 15, 2002"
ODI # 1786,Australia,New Zealand,New Zealand,23 runs,Sydney,"Jan 17, 2002"
ODI # 1787,New Zealand,South Africa,New Zealand,4 wickets,Brisbane,"Jan 19, 2002"
ODI # 1788,India,England,India,22 runs,Kolkata,"Jan 19, 2002"
ODI # 1789,Australia,South Africa,Australia,27 runs,Brisbane,"Jan 20, 2002"
ODI # 1790,Bangladesh,Pakistan,Pakistan,49 runs,Chittagong,"Jan 22, 2002"
ODI # 1791,Australia,South Africa,Australia,8 wickets,Sydney,"Jan 22, 2002"
ODI # 1792,India,England,England,16 runs,Cuttack,"Jan 22, 2002"
ODI # 1793,Bangladesh,Pakistan,Pakistan,72 runs,Dhaka,"Jan 24, 2002"
ODI # 1794,Bangladesh,Pakistan,Pakistan,8 wickets,Dhaka,"Jan 25, 2002"
ODI # 1795,India,England,India,4 wickets,Chennai,"Jan 25, 2002"
ODI # 1796,Australia,New Zealand,New Zealand,77 runs,Adelaide,"Jan 26, 2002"
ODI # 1797,New Zealand,South Africa,South Africa,93 runs,Adelaide,"Jan 27, 2002"
ODI # 1798,India,England,India,8 wickets,Kanpur,"Jan 28, 2002"
ODI # 1799,Australia,New Zealand,Australia,2 wickets,Melbourne,"Jan 29, 2002"
ODI # 1800,India,England,England,2 runs,Delhi,"Jan 31, 2002"
ODI # 1801,New Zealand,South Africa,South Africa,67 runs,Perth,"Feb 1, 2002"
ODI # 1802,Australia,South Africa,Australia,33 runs,Perth,"Feb 3, 2002"
ODI # 1803,India,England,England,5 runs,Mumbai,"Feb 3, 2002"
ODI # 1804,New Zealand,South Africa,South Africa,8 wickets,Melbourne,"Feb 6, 2002"
ODI # 1805,New Zealand,South Africa,South Africa,6 wickets,Sydney,"Feb 8, 2002"
ODI # 1806,New Zealand,England,New Zealand,4 wickets,Christchurch,"Feb 13, 2002"
ODI # 1807,Pakistan,West Indies,Pakistan,4 wickets,Sharjah,"Feb 14, 2002"
ODI # 1808,Pakistan,West Indies,Pakistan,51 runs,Sharjah,"Feb 15, 2002"
ODI # 1809,New Zealand,England,New Zealand,155 runs,Wellington,"Feb 16, 2002"
ODI # 1810,Pakistan,West Indies,West Indies,110 runs,Sharjah,"Feb 17, 2002"
ODI # 1811,New Zealand,England,England,43 runs,Napier,"Feb 20, 2002"
ODI # 1812,New Zealand,England,England,33 runs,Auckland,"Feb 23, 2002"
ODI # 1813,New Zealand,England,New Zealand,5 wickets,Dunedin,"Feb 26, 2002"
ODI # 1814,India,Zimbabwe,Zimbabwe,1 wicket,Faridabad,"Mar 7, 2002"
ODI # 1815,India,Zimbabwe,India,64 runs,Mohali,"Mar 10, 2002"
ODI # 1816,India,Zimbabwe,Zimbabwe,6 wickets,Kochi,"Mar 13, 2002"
ODI # 1817,India,Zimbabwe,India,5 wickets,Hyderabad (Deccan),"Mar 16, 2002"
ODI # 1818,India,Zimbabwe,India,101 runs,Guwahati,"Mar 19, 2002"
ODI # 1819,South Africa,Australia,Australia,19 runs,Johannesburg,"Mar 22, 2002"
ODI # 1820,South Africa,Australia,Australia,45 runs,Centurion,"Mar 24, 2002"
ODI # 1821,South Africa,Australia,tied,,Potchefstroom,"Mar 27, 2002"
ODI # 1822,South Africa,Australia,Australia,37 runs,Bloemfontein,"Mar 30, 2002"
ODI # 1823,South Africa,Australia,Australia,8 wickets,Durban,"Apr 3, 2002"
ODI # 1824,South Africa,Australia,Australia,3 wickets,Port Elizabeth,"Apr 6, 2002"
ODI # 1825,Pakistan,Sri Lanka,Sri Lanka,41 runs,Sharjah,"Apr 8, 2002"
ODI # 1826,New Zealand,Sri Lanka,New Zealand,11 runs,Sharjah,"Apr 9, 2002"
ODI # 1827,South Africa,Australia,South Africa,65 runs,Cape Town,"Apr 9, 2002"
