Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 1028,Australia,West Indies,Australia,1 wicket,Sydney,"Jan 1, 1996"
ODI # 1029,Sri Lanka,West Indies,West Indies,70 runs,Hobart,"Jan 3, 1996"
ODI # 1030,Sri Lanka,West Indies,West Indies,7 wickets,Brisbane,"Jan 5, 1996"
ODI # 1031,Australia,West Indies,West Indies,14 runs,Brisbane,"Jan 7, 1996"
ODI # 1032,Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne,"Jan 9, 1996"
ODI # 1033,South Africa,England,South Africa,6 runs,Cape Town,"Jan 9, 1996"
ODI # 1034,South Africa,England,England,5 wickets,Bloemfontein,"Jan 11, 1996"
ODI # 1035,Australia,Sri Lanka,Australia,83 runs,Perth,"Jan 12, 1996"
ODI # 1036,South Africa,England,South Africa,3 wickets,Johannesburg,"Jan 13, 1996"
ODI # 1037,Sri Lanka,West Indies,Sri Lanka,16 runs,Perth,"Jan 14, 1996"
ODI # 1038,South Africa,England,South Africa,7 wickets,Centurion,"Jan 14, 1996"
ODI # 1039,Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne,"Jan 16, 1996"
ODI # 1040,South Africa,England,South Africa,5 wickets,Durban,"Jan 17, 1996"
ODI # 1041,Australia,Sri Lanka,Australia,18 runs,Melbourne,"Jan 18, 1996"
ODI # 1042,South Africa,England,South Africa,14 runs,East London,"Jan 19, 1996"
ODI # 1043,Australia,Sri Lanka,Australia,9 runs,Sydney,"Jan 20, 1996"
ODI # 1044,South Africa,England,South Africa,64 runs,Port Elizabeth,"Jan 21, 1996"
ODI # 1045,New Zealand,Zimbabwe,New Zealand,74 runs,Auckland,"Jan 28, 1996"
ODI # 1046,New Zealand,Zimbabwe,New Zealand,6 wickets,Wellington,"Jan 31, 1996"
ODI # 1047,New Zealand,Zimbabwe,Zimbabwe,21 runs,Napier,"Feb 3, 1996"
ODI # 1048,England,New Zealand,New Zealand,11 runs,Ahmedabad,"Feb 14, 1996"
ODI # 1049,South Africa,U.A.E.,South Africa,169 runs,Rawalpindi,"Feb 16, 1996"
ODI # 1050,West Indies,Zimbabwe,West Indies,6 wickets,Hyderabad (Deccan),"Feb 16, 1996"
ODI # 1051,Netherlands,New Zealand,New Zealand,119 runs,Vadodara,"Feb 17, 1996"
ODI # 1052,India,Kenya,India,7 wickets,Cuttack,"Feb 18, 1996"
ODI # 1053,England,U.A.E.,England,8 wickets,Peshawar,"Feb 18, 1996"
ODI # 1054,New Zealand,South Africa,South Africa,5 wickets,Faisalabad,"Feb 20, 1996"
ODI # 1055,Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),"Feb 21, 1996"
ODI # 1056,India,West Indies,India,5 wickets,Gwalior,"Feb 21, 1996"
ODI # 1057,England,Netherlands,England,49 runs,Peshawar,"Feb 22, 1996"
ODI # 1058,Australia,Kenya,Australia,97 runs,Visakhapatnam,"Feb 23, 1996"
ODI # 1059,Pakistan,U.A.E.,Pakistan,9 wickets,Gujranwala,"Feb 24, 1996"
ODI # 1060,England,South Africa,South Africa,78 runs,Rawalpindi,"Feb 25, 1996"
ODI # 1061,Kenya,Zimbabwe,no result,,Patna,"Feb 26, 1996"
ODI # 1062,Pakistan,Netherlands,Pakistan,8 wickets,Lahore,"Feb 26, 1996"
ODI # 1063,Kenya,Zimbabwe,Zimbabwe,5 wickets,Patna,"Feb 27, 1996"
ODI # 1064,New Zealand,U.A.E.,New Zealand,109 runs,Faisalabad,"Feb 27, 1996"
ODI # 1065,India,Australia,Australia,16 runs,Mumbai,"Feb 27, 1996"
ODI # 1066,Kenya,West Indies,Kenya,73 runs,Pune,"Feb 29, 1996"
ODI # 1067,Pakistan,South Africa,South Africa,5 wickets,Karachi,"Feb 29, 1996"
ODI # 1068,Australia,Zimbabwe,Australia,8 wickets,Nagpur,"Mar 1, 1996"
ODI # 1069,Netherlands,U.A.E.,U.A.E.,7 wickets,Lahore,"Mar 1, 1996"
ODI # 1070,India,Sri Lanka,Sri Lanka,6 wickets,Delhi,"Mar 2, 1996"
ODI # 1071,Pakistan,England,Pakistan,7 wickets,Karachi,"Mar 3, 1996"
ODI # 1072,Australia,West Indies,West Indies,4 wickets,Jaipur,"Mar 4, 1996"
ODI # 1073,Netherlands,South Africa,South Africa,160 runs,Rawalpindi,"Mar 5, 1996"
ODI # 1075,India,Zimbabwe,India,40 runs,Kanpur,"Mar 6, 1996"
ODI # 1074,Sri Lanka,Kenya,Sri Lanka,144 runs,Kandy,"Mar 6, 1996"
ODI # 1076,Pakistan,New Zealand,Pakistan,46 runs,Lahore,"Mar 6, 1996"
ODI # 1077,England,Sri Lanka,Sri Lanka,5 wickets,Faisalabad,"Mar 9, 1996"
ODI # 1078,India,Pakistan,India,39 runs,Bengaluru,"Mar 9, 1996"
ODI # 1079,South Africa,West Indies,West Indies,19 runs,Karachi,"Mar 11, 1996"
ODI # 1080,Australia,New Zealand,Australia,6 wickets,Chennai,"Mar 11, 1996"
ODI # 1081,India,Sri Lanka,Sri Lanka,,Kolkata,"Mar 13, 1996"
ODI # 1082,Australia,West Indies,Australia,5 runs,Mohali,"Mar 14, 1996"
ODI # 1083,Australia,Sri Lanka,Sri Lanka,7 wickets,Lahore,"Mar 17, 1996"
ODI # 1084,West Indies,New Zealand,West Indies,1 wicket,Kingston,"Mar 26, 1996"
ODI # 1085,West Indies,New Zealand,New Zealand,4 wickets,Port of Spain,"Mar 29, 1996"
ODI # 1086,West Indies,New Zealand,West Indies,7 wickets,Port of Spain,"Mar 30, 1996"
ODI # 1087,Pakistan,Sri Lanka,no result,,Singapore,"Apr 1, 1996"
ODI # 1088,Pakistan,Sri Lanka,Sri Lanka,34 runs,Singapore,"Apr 2, 1996"
ODI # 1089,India,Sri Lanka,India,12 runs,Singapore,"Apr 3, 1996"
ODI # 1090,West Indies,New Zealand,New Zealand,4 runs,Georgetown,"Apr 3, 1996"
ODI # 1091,India,Pakistan,Pakistan,8 wickets,Singapore,"Apr 5, 1996"
ODI # 1092,West Indies,New Zealand,West Indies,7 wickets,Kingstown,"Apr 6, 1996"
ODI # 1093,Pakistan,Sri Lanka,Pakistan,43 runs,Singapore,"Apr 7, 1996"
ODI # 1094,India,Pakistan,Pakistan,38 runs,Sharjah,"Apr 12, 1996"
ODI # 1095,Pakistan,South Africa,South Africa,143 runs,Sharjah,"Apr 13, 1996"
ODI # 1096,West Indies,Sri Lanka,Sri Lanka,35 runs,Port of Spain,"Apr 13, 1996"
ODI # 1097,India,South Africa,South Africa,80 runs,Sharjah,"Apr 14, 1996"
ODI # 1098,India,Pakistan,India,28 runs,Sharjah,"Apr 15, 1996"
ODI # 1099,Pakistan,South Africa,South Africa,8 wickets,Sharjah,"Apr 16, 1996"
ODI # 1100,India,South Africa,South Africa,5 wickets,Sharjah,"Apr 17, 1996"
ODI # 1101,India,South Africa,South Africa,38 runs,Sharjah,"Apr 19, 1996"
ODI # 1102,England,India,no result,,The Oval,"May 23-24, 1996"
ODI # 1103,England,India,England,6 wickets,Leeds,"May 25, 1996"
ODI # 1104,England,India,England,4 wickets,Manchester,"May 26-27, 1996"
ODI # 1105,Australia,Zimbabwe,Australia,125 runs,Colombo (RPS),"Aug 26, 1996"
ODI # 1106,Sri Lanka,India,Sri Lanka,9 wickets,Colombo (RPS),"Aug 28, 1996"
ODI # 1107,England,Pakistan,England,5 wickets,Manchester,"Aug 29, 1996"
ODI # 1108,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS),"Aug 30, 1996"
ODI # 1109,England,Pakistan,England,107 runs,Birmingham,"Aug 31, 1996"
ODI # 1110,India,Zimbabwe,India,7 wickets,Colombo (SSC),"Sep 1, 1996"
ODI # 1111,England,Pakistan,Pakistan,2 wickets,Nottingham,"Sep 1, 1996"
ODI # 1112,Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),"Sep 3, 1996"
ODI # 1113,Australia,India,Australia,3 wickets,Colombo (SSC),"Sep 6, 1996"
ODI # 1114,Sri Lanka,Australia,Sri Lanka,50 runs,Colombo (RPS),"Sep 7, 1996"
ODI # 1115,India,Pakistan,India,8 wickets,Toronto,"Sep 16, 1996"
ODI # 1116,India,Pakistan,Pakistan,2 wickets,Toronto,"Sep 17, 1996"
ODI # 1117,India,Pakistan,India,55 runs,Toronto,"Sep 18, 1996"
ODI # 1118,India,Pakistan,Pakistan,97 runs,Toronto,"Sep 21, 1996"
ODI # 1119,India,Pakistan,Pakistan,52 runs,Toronto,"Sep 23, 1996"
ODI # 1120,Kenya,Sri Lanka,Sri Lanka,7 wickets,Nairobi (Gym),"Sep 28, 1996"
ODI # 1121,Pakistan,South Africa,South Africa,62 runs,Nairobi (Gym),"Sep 29, 1996"
ODI # 1122,South Africa,Sri Lanka,Sri Lanka,2 wickets,Nairobi (Club),"Oct 1, 1996"
ODI # 1123,Kenya,Pakistan,Pakistan,4 wickets,Nairobi (Aga),"Oct 2, 1996"
ODI # 1124,Kenya,South Africa,South Africa,202 runs,Nairobi (Gym),"Oct 3, 1996"
ODI # 1125,Pakistan,Sri Lanka,Pakistan,82 runs,Nairobi (Gym),"Oct 4, 1996"
ODI # 1126,Pakistan,South Africa,South Africa,7 wickets,Nairobi (Gym),"Oct 6, 1996"
ODI # 1127,India,South Africa,South Africa,47 runs,Hyderabad (Deccan),"Oct 17, 1996"
ODI # 1128,Australia,South Africa,South Africa,7 wickets,Indore,"Oct 19, 1996"
ODI # 1129,India,Australia,India,2 wickets,Bengaluru,"Oct 21, 1996"
ODI # 1130,India,South Africa,South Africa,27 runs,Jaipur,"Oct 23, 1996"
ODI # 1131,Australia,South Africa,South Africa,2 wickets,Faridabad,"Oct 25, 1996"
ODI # 1132,India,South Africa,South Africa,5 wickets,Rajkot,"Oct 29, 1996"
ODI # 1133,Pakistan,Zimbabwe,Pakistan,3 wickets,Quetta,"Oct 30, 1996"
ODI # 1134,Australia,South Africa,South Africa,8 wickets,Guwahati,"Nov 1, 1996"
ODI # 1135,Pakistan,Zimbabwe,Pakistan,9 wickets,Lahore,"Nov 1, 1996"
ODI # 1136,Pakistan,Zimbabwe,Pakistan,78 runs,Peshawar,"Nov 3, 1996"
ODI # 1137,India,Australia,India,5 runs,Mohali,"Nov 3, 1996"
ODI # 1138,India,South Africa,India,35 runs,Mumbai,"Nov 6, 1996"
ODI # 1139,New Zealand,Sri Lanka,New Zealand,29 runs,Sharjah,"Nov 7, 1996"
ODI # 1140,Pakistan,Sri Lanka,Sri Lanka,75 runs,Sharjah,"Nov 8, 1996"
ODI # 1141,New Zealand,Pakistan,Pakistan,4 wickets,Sharjah,"Nov 10, 1996"
ODI # 1142,New Zealand,Sri Lanka,tied,,Sharjah,"Nov 11, 1996"
ODI # 1143,Pakistan,Sri Lanka,Pakistan,8 wickets,Sharjah,"Nov 12, 1996"
ODI # 1144,New Zealand,Pakistan,Pakistan,4 wickets,Sharjah,"Nov 13, 1996"
ODI # 1145,New Zealand,Pakistan,Pakistan,41 runs,Sharjah,"Nov 15, 1996"
ODI # 1146,Pakistan,New Zealand,Pakistan,11 runs,Gujranwala,"Dec 4, 1996"
ODI # 1147,Australia,West Indies,Australia,5 wickets,Melbourne,"Dec 6, 1996"
ODI # 1148,Pakistan,New Zealand,Pakistan,46 runs,Sialkot,"Dec 6, 1996"
ODI # 1149,Australia,West Indies,Australia,8 wickets,Sydney,"Dec 8, 1996"
ODI # 1150,Pakistan,New Zealand,New Zealand,7 wickets,Karachi,"Dec 8, 1996"
ODI # 1151,India,South Africa,India,74 runs,Mumbai,"Dec 14, 1996"
ODI # 1152,Australia,Pakistan,Pakistan,12 runs,Adelaide,"Dec 15, 1996"
ODI # 1153,Zimbabwe,England,Zimbabwe,2 wickets,Bulawayo,"Dec 15, 1996"
ODI # 1154,Pakistan,West Indies,West Indies,7 wickets,Adelaide,"Dec 17, 1996"
