Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 2203,Asia XI,ICC World XI,ICC World XI,112 runs,Melbourne,"Jan 10, 2005"
ODI # 2204,Australia,West Indies,Australia,116 runs,Melbourne,"Jan 14, 2005"
ODI # 2205,Australia,Pakistan,Australia,4 wickets,Hobart,"Jan 16, 2005"
ODI # 2206,Pakistan,West Indies,Pakistan,6 wickets,Brisbane,"Jan 19, 2005"
ODI # 2207,Bangladesh,Zimbabwe,Zimbabwe,22 runs,Dhaka,"Jan 20, 2005"
ODI # 2208,Australia,West Indies,no result,,Brisbane,"Jan 21, 2005"
ODI # 2209,Australia,Pakistan,Australia,9 wickets,Sydney,"Jan 23, 2005"
ODI # 2210,Bangladesh,Zimbabwe,Zimbabwe,31 runs,Chittagong,"Jan 24, 2005"
ODI # 2211,Bangladesh,Zimbabwe,Bangladesh,40 runs,Chittagong,"Jan 26, 2005"
ODI # 2212,Australia,West Indies,Australia,73 runs,Adelaide,"Jan 26, 2005"
ODI # 2213,Pakistan,West Indies,West Indies,58 runs,Adelaide,"Jan 28, 2005"
ODI # 2214,Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka,"Jan 29, 2005"
ODI # 2215,Australia,Pakistan,Pakistan,3 wickets,Perth,"Jan 30, 2005"
ODI # 2216,South Africa,England,England,26 runs,Johannesburg,"Jan 30, 2005"
ODI # 2217,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka,"Jan 31, 2005"
ODI # 2218,Pakistan,West Indies,Pakistan,30 runs,Perth,"Feb 1, 2005"
ODI # 2219,South Africa,England,tied,,Bloemfontein,"Feb 2, 2005"
ODI # 2220,Australia,Pakistan,Australia,18 runs,Melbourne,"Feb 4, 2005"
ODI # 2221,South Africa,England,South Africa,3 wickets,Port Elizabeth,"Feb 4, 2005"
ODI # 2222,Australia,Pakistan,Australia,31 runs,Sydney,"Feb 6, 2005"
ODI # 2223,South Africa,England,South Africa,108 runs,Cape Town,"Feb 6, 2005"
ODI # 2224,South Africa,England,South Africa,7 runs,East London,"Feb 9, 2005"
ODI # 2225,South Africa,England,no result,,Durban,"Feb 11, 2005"
ODI # 2226,South Africa,England,South Africa,3 wickets,Centurion,"Feb 13, 2005"
ODI # 2227,New Zealand,Australia,Australia,10 runs,Wellington,"Feb 19, 2005"
ODI # 2228,New Zealand,Australia,Australia,106 runs,Christchurch,"Feb 22, 2005"
ODI # 2229,South Africa,Zimbabwe,South Africa,165 runs,Johannesburg,"Feb 25, 2005"
ODI # 2230,New Zealand,Australia,Australia,86 runs,Auckland,"Feb 26, 2005"
ODI # 2231,South Africa,Zimbabwe,South Africa,131 runs,Durban,"Feb 27, 2005"
ODI # 2232,New Zealand,Australia,Australia,7 wickets,Wellington,"Mar 1, 2005"
ODI # 2233,South Africa,Zimbabwe,South Africa,5 wickets,Port Elizabeth,"Mar 2, 2005"
ODI # 2234,New Zealand,Australia,Australia,122 runs,Napier,"Mar 5, 2005"
ODI # 2235,India,Pakistan,India,87 runs,Kochi,"Apr 2, 2005"
ODI # 2236,India,Pakistan,India,58 runs,Visakhapatnam,"Apr 5, 2005"
ODI # 2237,India,Pakistan,Pakistan,106 runs,Jamshedpur,"Apr 9, 2005"
ODI # 2238,India,Pakistan,Pakistan,3 wickets,Ahmedabad,"Apr 12, 2005"
ODI # 2239,India,Pakistan,Pakistan,5 wickets,Kanpur,"Apr 15, 2005"
ODI # 2240,India,Pakistan,Pakistan,159 runs,Delhi,"Apr 17, 2005"
ODI # 2241,West Indies,South Africa,South Africa,8 wickets,Kingston,"May 7, 2005"
ODI # 2242,West Indies,South Africa,South Africa,8 wickets,Kingston,"May 8, 2005"
ODI # 2243,West Indies,South Africa,South Africa,1 run,Bridgetown,"May 11, 2005"
ODI # 2244,West Indies,South Africa,South Africa,6 wickets,Port of Spain,"May 14, 2005"
ODI # 2245,West Indies,South Africa,South Africa,7 wickets,Port of Spain,"May 15, 2005"
ODI # 2246,West Indies,Pakistan,Pakistan,59 runs,Kingstown,"May 18, 2005"
ODI # 2247,West Indies,Pakistan,Pakistan,40 runs,Gros Islet,"May 21, 2005"
ODI # 2248,West Indies,Pakistan,Pakistan,22 runs,Gros Islet,"May 22, 2005"
ODI # 2249,England,Bangladesh,England,10 wickets,The Oval,"Jun 16, 2005"
ODI # 2250,Australia,Bangladesh,Bangladesh,5 wickets,Cardiff,"Jun 18, 2005"
ODI # 2251,England,Australia,England,3 wickets,Bristol,"Jun 19, 2005"
ODI # 2252,England,Bangladesh,England,168 runs,Nottingham,"Jun 21, 2005"
ODI # 2253,England,Australia,Australia,57 runs,Chester-le-Street,"Jun 23, 2005"
ODI # 2254,Australia,Bangladesh,Australia,10 wickets,Manchester,"Jun 25, 2005"
ODI # 2255,England,Bangladesh,England,5 wickets,Leeds,"Jun 26, 2005"
ODI # 2256,England,Australia,no result,,Birmingham,"Jun 28, 2005"
ODI # 2257,Australia,Bangladesh,Australia,6 wickets,Canterbury,"Jun 30, 2005"
ODI # 2258,England,Australia,tied,,Lord's,"Jul 2, 2005"
ODI # 2259,England,Australia,England,9 wickets,Leeds,"Jul 7, 2005"
ODI # 2260,England,Australia,Australia,7 wickets,Lord's,"Jul 10, 2005"
ODI # 2261,England,Australia,Australia,8 wickets,The Oval,"Jul 12, 2005"
ODI # 2262,Sri Lanka,India,Sri Lanka,3 wickets,Dambulla,"Jul 30, 2005"
ODI # 2263,India,West Indies,India,6 wickets,Dambulla,"Jul 31, 2005"
ODI # 2264,Sri Lanka,West Indies,Sri Lanka,50 runs,Dambulla,"Aug 2, 2005"
ODI # 2265,Sri Lanka,India,Sri Lanka,4 wickets,Dambulla,"Aug 3, 2005"
ODI # 2266,Sri Lanka,West Indies,West Indies,33 runs,Colombo (RPS),"Aug 6, 2005"
ODI # 2267,India,West Indies,India,7 runs,Colombo (RPS),"Aug 7, 2005"
ODI # 2268,Sri Lanka,India,Sri Lanka,18 runs,Colombo (RPS),"Aug 9, 2005"
ODI # 2269,Africa XI,Asia XI,Africa XI,2 runs,Centurion,"Aug 17, 2005"
ODI # 2270,Africa XI,Asia XI,Asia XI,17 runs,Durban,"Aug 20, 2005"
ODI # 2271,Africa XI,Asia XI,no result,,Durban,"Aug 21, 2005"
ODI # 2272,Zimbabwe,New Zealand,New Zealand,192 runs,Bulawayo,"Aug 24, 2005"
ODI # 2273,India,New Zealand,New Zealand,51 runs,Bulawayo,"Aug 26, 2005"
ODI # 2274,Zimbabwe,India,India,161 runs,Harare,"Aug 29, 2005"
ODI # 2275,Sri Lanka,Bangladesh,Sri Lanka,88 runs,Colombo (SSC),"Aug 31, 2005"
ODI # 2276,Zimbabwe,New Zealand,New Zealand,27 runs,Harare,"Aug 31, 2005"
ODI # 2277,Sri Lanka,Bangladesh,Sri Lanka,75 runs,Colombo (RPS),"Sep 2, 2005"
ODI # 2278,India,New Zealand,India,6 wickets,Harare,"Sep 2, 2005"
ODI # 2279,Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),"Sep 4, 2005"
ODI # 2280,Zimbabwe,India,India,4 wickets,Harare,"Sep 4, 2005"
ODI # 2281,India,New Zealand,New Zealand,6 wickets,Harare,"Sep 6, 2005"
ODI # 2282,Australia,ICC World XI,Australia,93 runs,Melbourne (Docklands),"Oct 5, 2005"
ODI # 2283,Australia,ICC World XI,Australia,55 runs,Melbourne (Docklands),"Oct 7, 2005"
ODI # 2284,Australia,ICC World XI,Australia,156 runs,Melbourne (Docklands),"Oct 9, 2005"
ODI # 2285,South Africa,New Zealand,South Africa,2 wickets,Bloemfontein,"Oct 23, 2005"
ODI # 2286,India,Sri Lanka,India,152 runs,Nagpur,"Oct 25, 2005"
ODI # 2287,India,Sri Lanka,India,8 wickets,Mohali,"Oct 28, 2005"
ODI # 2288,South Africa,New Zealand,South Africa,19 runs,Cape Town,"Oct 28, 2005"
ODI # 2289,South Africa,New Zealand,South Africa,4 wickets,Port Elizabeth,"Oct 30, 2005"
ODI # 2290,India,Sri Lanka,India,6 wickets,Jaipur,"Oct 31, 2005"
ODI # 2291,India,Sri Lanka,India,4 wickets,Pune,"Nov 3, 2005"
ODI # 2292,South Africa,New Zealand,no result,,Durban,"Nov 4, 2005"
ODI # 2293,South Africa,New Zealand,South Africa,5 wickets,Centurion,"Nov 6, 2005"
ODI # 2294,India,Sri Lanka,Sri Lanka,5 wickets,Ahmedabad,"Nov 6, 2005"
ODI # 2295,India,Sri Lanka,India,7 wickets,Rajkot,"Nov 9, 2005"
ODI # 2296,India,Sri Lanka,India,5 wickets,Vadodara,"Nov 12, 2005"
ODI # 2297,India,South Africa,South Africa,5 wickets,Hyderabad (Deccan),"Nov 16, 2005"
ODI # 2298,India,South Africa,India,6 wickets,Bengaluru,"Nov 19, 2005"
ODI # 2299,India,South Africa,South Africa,10 wickets,Kolkata,"Nov 25, 2005"
ODI # 2300,India,South Africa,India,5 wickets,Mumbai,"Nov 28, 2005"
ODI # 2301,New Zealand,Australia,Australia,147 runs,Auckland,"Dec 3, 2005"
ODI # 2302,New Zealand,Australia,Australia,2 runs,Wellington,"Dec 7, 2005"
ODI # 2303,New Zealand,Australia,New Zealand,2 wickets,Christchurch,"Dec 10, 2005"
ODI # 2304,Pakistan,England,England,42 runs,Lahore,"Dec 10, 2005"
ODI # 2305,Pakistan,England,Pakistan,7 wickets,Lahore,"Dec 12, 2005"
ODI # 2306,Pakistan,England,Pakistan,165 runs,Karachi,"Dec 15, 2005"
ODI # 2307,Pakistan,England,Pakistan,13 runs,Rawalpindi,"Dec 19, 2005"
ODI # 2308,Pakistan,England,England,6 runs,Rawalpindi,"Dec 21, 2005"
ODI # 2309,New Zealand,Sri Lanka,New Zealand,7 wickets,Queenstown,"Dec 31, 2005"
