Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 282,Australia,West Indies,West Indies,7 wickets,Melbourne,"Jan 6, 1985"
ODI # 283,Australia,Sri Lanka,Australia,6 wickets,Sydney,"Jan 8, 1985"
ODI # 284,Sri Lanka,West Indies,West Indies,8 wickets,Hobart,"Jan 10, 1985"
ODI # 285,New Zealand,Pakistan,New Zealand,110 runs,Napier,"Jan 12, 1985"
ODI # 286,Sri Lanka,West Indies,West Indies,90 runs,Brisbane,"Jan 12, 1985"
ODI # 287,Australia,West Indies,West Indies,5 wickets,Brisbane,"Jan 13, 1985"
ODI # 288,New Zealand,Pakistan,New Zealand,4 wickets,Hamilton,"Jan 15, 1985"
ODI # 289,Australia,West Indies,West Indies,5 wickets,Sydney,"Jan 15, 1985"
ODI # 290,Sri Lanka,West Indies,West Indies,65 runs,Sydney,"Jan 17, 1985"
ODI # 291,Australia,Sri Lanka,Sri Lanka,4 wickets,Melbourne,"Jan 19, 1985"
ODI # 292,Australia,West Indies,West Indies,65 runs,Melbourne,"Jan 20, 1985"
ODI # 293,India,England,England,3 wickets,Bengaluru,"Jan 20, 1985"
ODI # 294,Australia,Sri Lanka,Australia,3 wickets,Sydney,"Jan 23, 1985"
ODI # 295,India,England,India,3 wickets,Nagpur,"Jan 23, 1985"
ODI # 296,Sri Lanka,West Indies,West Indies,8 wickets,Adelaide,"Jan 26, 1985"
ODI # 297,Australia,West Indies,West Indies,6 wickets,Adelaide,"Jan 27, 1985"
ODI # 298,India,England,England,7 runs,Chandigarh,"Jan 27, 1985"
ODI # 299,Australia,Sri Lanka,Australia,232 runs,Adelaide,"Jan 28, 1985"
ODI # 300,Sri Lanka,West Indies,West Indies,82 runs,Perth,"Feb 2, 1985"
ODI # 301,Australia,Sri Lanka,Australia,9 wickets,Perth,"Feb 3, 1985"
ODI # 302,New Zealand,Pakistan,New Zealand,13 runs,Christchurch,"Feb 6, 1985"
ODI # 303,Australia,West Indies,Australia,26 runs,Sydney,"Feb 6, 1985"
ODI # 304,Australia,West Indies,West Indies,4 wickets,Melbourne,"Feb 10, 1985"
ODI # 305,Australia,West Indies,West Indies,7 wickets,Sydney,"Feb 12, 1985"
ODI # 306,New Zealand,Pakistan,no result,,Auckland,"Feb 16-17, 1985"
ODI # 307,Australia,England,Australia,7 wickets,Melbourne,"Feb 17, 1985"
ODI # 308,New Zealand,West Indies,no result,,Sydney,"Feb 19-21, 1985"
ODI # 309,India,Pakistan,India,6 wickets,Melbourne,"Feb 20, 1985"
ODI # 310,New Zealand,Sri Lanka,New Zealand,51 runs,Melbourne,"Feb 23, 1985"
ODI # 311,Australia,Pakistan,Pakistan,62 runs,Melbourne,"Feb 24, 1985"
ODI # 312,England,India,India,86 runs,Sydney,"Feb 26, 1985"
ODI # 313,Sri Lanka,West Indies,West Indies,8 wickets,Melbourne,"Feb 27, 1985"
ODI # 314,England,Pakistan,Pakistan,67 runs,Melbourne,"Mar 2, 1985"
ODI # 315,Australia,India,India,8 wickets,Melbourne,"Mar 3, 1985"
ODI # 316,India,New Zealand,India,7 wickets,Sydney,"Mar 5, 1985"
ODI # 317,Pakistan,West Indies,Pakistan,7 wickets,Melbourne,"Mar 6, 1985"
ODI # 318,New Zealand,West Indies,West Indies,6 wickets,Sydney,"Mar 9, 1985"
ODI # 319,India,Pakistan,India,8 wickets,Melbourne,"Mar 10, 1985"
ODI # 320,West Indies,New Zealand,West Indies,23 runs,St John's,"Mar 20, 1985"
ODI # 321,India,Pakistan,India,38 runs,Sharjah,"Mar 22, 1985"
ODI # 322,Australia,England,Australia,2 wickets,Sharjah,"Mar 24, 1985"
ODI # 323,England,Pakistan,Pakistan,43 runs,Sharjah,"Mar 26, 1985"
ODI # 324,West Indies,New Zealand,West Indies,6 wickets,Port of Spain,"Mar 27, 1985"
ODI # 325,Australia,India,India,3 wickets,Sharjah,"Mar 29, 1985"
ODI # 326,West Indies,New Zealand,West Indies,130 runs,Albion,"Apr 14, 1985"
ODI # 327,West Indies,New Zealand,West Indies,10 wickets,Port of Spain,"Apr 17, 1985"
ODI # 328,West Indies,New Zealand,West Indies,112 runs,Bridgetown,"Apr 23, 1985"
ODI # 329,England,Australia,Australia,3 wickets,Manchester,"May 30, 1985"
ODI # 330,England,Australia,Australia,4 wickets,Birmingham,"Jun 1, 1985"
ODI # 331,England,Australia,England,8 wickets,Lord's,"Jun 3, 1985"
ODI # 332,Sri Lanka,India,India,2 wickets,Colombo (SSC),"Aug 25, 1985"
ODI # 333,Sri Lanka,India,Sri Lanka,14 runs,Colombo (PSS),"Sep 21, 1985"
ODI # 334,Sri Lanka,India,no result,,Colombo (PSS),"Sep 22, 1985"
ODI # 335,Pakistan,Sri Lanka,Pakistan,8 wickets,Peshawar,"Oct 13, 1985"
ODI # 336,Pakistan,Sri Lanka,Pakistan,15 runs,Gujranwala,"Oct 23, 1985"
ODI # 337,Pakistan,Sri Lanka,Pakistan,5 wickets,Lahore,"Oct 25, 1985"
ODI # 338,Pakistan,Sri Lanka,Pakistan,89 runs,Hyderabad (Sind),"Nov 3, 1985"
ODI # 339,Pakistan,West Indies,West Indies,7 wickets,Sharjah,"Nov 15, 1985"
ODI # 340,India,Pakistan,Pakistan,48 runs,Sharjah,"Nov 17, 1985"
ODI # 341,India,West Indies,West Indies,8 wickets,Sharjah,"Nov 22, 1985"
ODI # 342,Pakistan,West Indies,West Indies,8 wickets,Gujranwala,"Nov 27, 1985"
ODI # 343,Pakistan,West Indies,Pakistan,6 wickets,Lahore,"Nov 29, 1985"
ODI # 344,Pakistan,West Indies,West Indies,40 runs,Peshawar,"Dec 2, 1985"
ODI # 345,Pakistan,West Indies,Pakistan,5 wickets,Rawalpindi,"Dec 4, 1985"
ODI # 346,Pakistan,West Indies,West Indies,8 wickets,Karachi,"Dec 6, 1985"
