Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 57,Australia,England,no result,,Sydney,"Jan 13, 1979"
ODI # 58,Australia,England,England,7 wickets,Melbourne,"Jan 24, 1979"
ODI # 59,Australia,England,Australia,4 wickets,Melbourne,"Feb 4, 1979"
ODI # 60,Australia,England,Australia,6 wickets,Melbourne,"Feb 7, 1979"
ODI # 61,India,West Indies,West Indies,9 wickets,Birmingham,"Jun 9, 1979"
ODI # 62,New Zealand,Sri Lanka,New Zealand,9 wickets,Nottingham,"Jun 9, 1979"
ODI # 63,England,Australia,England,6 wickets,Lord's,"Jun 9, 1979"
ODI # 64,Canada,Pakistan,Pakistan,8 wickets,Leeds,"Jun 9, 1979"
ODI # 65,India,New Zealand,New Zealand,8 wickets,Leeds,"Jun 13, 1979"
ODI # 66,Australia,Pakistan,Pakistan,89 runs,Nottingham,"Jun 13-14, 1979"
ODI # 67,England,Canada,England,8 wickets,Manchester,"Jun 13-14, 1979"
ODI # 68,India,Sri Lanka,Sri Lanka,47 runs,Manchester,"Jun 16-18, 1979"
ODI # 69,New Zealand,West Indies,West Indies,32 runs,Nottingham,"Jun 16, 1979"
ODI # 70,Australia,Canada,Australia,7 wickets,Birmingham,"Jun 16, 1979"
ODI # 71,England,Pakistan,England,14 runs,Leeds,"Jun 16, 1979"
ODI # 72,England,New Zealand,England,9 runs,Manchester,"Jun 20, 1979"
ODI # 73,Pakistan,West Indies,West Indies,43 runs,The Oval,"Jun 20, 1979"
ODI # 74,England,West Indies,West Indies,92 runs,Lord's,"Jun 23, 1979"
ODI # 75,Australia,West Indies,Australia,5 wickets,Sydney,"Nov 27, 1979"
ODI # 76,England,West Indies,England,2 runs,Sydney,"Nov 28, 1979"
ODI # 77,Australia,England,England,3 wickets,Melbourne,"Dec 8, 1979"
ODI # 78,Australia,West Indies,West Indies,80 runs,Melbourne,"Dec 9, 1979"
ODI # 79,Australia,England,England,72 runs,Sydney,"Dec 11, 1979"
ODI # 80,Australia,West Indies,Australia,7 runs,Sydney,"Dec 21, 1979"
ODI # 81,England,West Indies,West Indies,9 wickets,Brisbane,"Dec 23, 1979"
ODI # 82,Australia,England,England,4 wickets,Sydney,"Dec 26, 1979"
