Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 1928,New Zealand,India,New Zealand,5 wickets,Christchurch,"Jan 1, 2003"
ODI # 1929,New Zealand,India,New Zealand,7 wickets,Queenstown,"Jan 4, 2003"
ODI # 1930,New Zealand,India,India,2 wickets,Wellington,"Jan 8, 2003"
ODI # 1931,Australia,Sri Lanka,Sri Lanka,79 runs,Sydney,"Jan 9, 2003"
ODI # 1932,Australia,England,Australia,7 runs,Hobart,"Jan 11, 2003"
ODI # 1933,New Zealand,India,India,1 wicket,Auckland,"Jan 11, 2003"
ODI # 1934,England,Sri Lanka,Sri Lanka,31 runs,Sydney,"Jan 13, 2003"
ODI # 1935,New Zealand,India,New Zealand,6 wickets,Hamilton,"Jan 14, 2003"
ODI # 1936,Australia,Sri Lanka,Australia,4 wickets,Brisbane,"Jan 15, 2003"
ODI # 1937,England,Sri Lanka,England,19 runs,Adelaide,"Jan 17, 2003"
ODI # 1938,Australia,England,Australia,4 wickets,Adelaide,"Jan 19, 2003"
ODI # 1939,Australia,Sri Lanka,Australia,9 wickets,Melbourne,"Jan 21, 2003"
ODI # 1940,Australia,England,Australia,10 wickets,Sydney,"Jan 23, 2003"
ODI # 1941,Australia,England,Australia,5 runs,Melbourne,"Jan 25, 2003"
ODI # 1942,South Africa,West Indies,West Indies,3 runs,Cape Town,"Feb 9, 2003"
ODI # 1943,Zimbabwe,Namibia,Zimbabwe,86 runs,Harare,"Feb 10, 2003"
ODI # 1944,New Zealand,Sri Lanka,Sri Lanka,47 runs,Bloemfontein,"Feb 10, 2003"
ODI # 1945,Australia,Pakistan,Australia,82 runs,Johannesburg,"Feb 11, 2003"
ODI # 1946,Bangladesh,Canada,Canada,60 runs,Durban,"Feb 11, 2003"
ODI # 1947,South Africa,Kenya,South Africa,10 wickets,Potchefstroom,"Feb 12, 2003"
ODI # 1948,India,Netherlands,India,68 runs,Paarl,"Feb 12, 2003"
ODI # 1949,New Zealand,West Indies,New Zealand,20 runs,Port Elizabeth,"Feb 13, 2003"
ODI # 1950,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Pietermaritzburg,"Feb 14, 2003"
ODI # 1951,Australia,India,Australia,9 wickets,Centurion,"Feb 15, 2003"
ODI # 1952,Canada,Kenya,Kenya,4 wickets,Cape Town,"Feb 15, 2003"
ODI # 1953,England,Netherlands,England,6 wickets,East London,"Feb 16, 2003"
ODI # 1954,Namibia,Pakistan,Pakistan,171 runs,Kimberley,"Feb 16, 2003"
ODI # 1955,South Africa,New Zealand,New Zealand,9 wickets,Johannesburg,"Feb 16, 2003"
ODI # 1956,Bangladesh,West Indies,no result,,Benoni,"Feb 18, 2003"
ODI # 1957,Zimbabwe,India,India,83 runs,Harare,"Feb 19, 2003"
ODI # 1958,Canada,Sri Lanka,Sri Lanka,9 wickets,Paarl,"Feb 19, 2003"
ODI # 1959,England,Namibia,England,55 runs,Port Elizabeth,"Feb 19, 2003"
ODI # 1960,Australia,Netherlands,Australia,75 runs,Potchefstroom,"Feb 20, 2003"
ODI # 1961,South Africa,Bangladesh,South Africa,10 wickets,Bloemfontein,"Feb 22, 2003"
ODI # 1962,England,Pakistan,England,112 runs,Cape Town,"Feb 22, 2003"
ODI # 1963,Canada,West Indies,West Indies,7 wickets,Centurion,"Feb 23, 2003"
