Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 599,Australia,Pakistan,Australia,7 wickets,Melbourne,"Jan 3, 1990"
ODI # 600,Australia,Sri Lanka,Australia,73 runs,Melbourne,"Jan 4, 1990"
ODI # 601,Pakistan,Sri Lanka,Pakistan,5 wickets,Brisbane,"Feb 10, 1990"
ODI # 602,Australia,Pakistan,Australia,67 runs,Brisbane,"Feb 11, 1990"
ODI # 603,Australia,Pakistan,Pakistan,5 wickets,Sydney,"Feb 13, 1990"
ODI # 604,West Indies,England,no result,,Port of Spain,"Feb 14, 1990"
ODI # 605,Pakistan,Sri Lanka,Pakistan,6 wickets,Hobart,"Feb 15, 1990"
ODI # 606,Pakistan,Sri Lanka,Pakistan,27 runs,Adelaide,"Feb 17, 1990"
ODI # 607,West Indies,England,no result,,Port of Spain,"Feb 17, 1990"
ODI # 608,Australia,Sri Lanka,Australia,7 wickets,Adelaide,"Feb 18, 1990"
ODI # 609,Australia,Pakistan,Pakistan,2 runs,Sydney,"Feb 20, 1990"
ODI # 610,Australia,Pakistan,Australia,7 wickets,Melbourne,"Feb 23, 1990"
ODI # 611,Australia,Pakistan,Australia,69 runs,Sydney,"Feb 25, 1990"
ODI # 612,New Zealand,India,New Zealand,108 runs,Dunedin,"Mar 1, 1990"
ODI # 613,Australia,India,Australia,18 runs,Christchurch,"Mar 3, 1990"
ODI # 614,West Indies,England,West Indies,3 wickets,Kingston,"Mar 3, 1990"
ODI # 615,New Zealand,Australia,Australia,150 runs,Christchurch,"Mar 4, 1990"
ODI # 616,New Zealand,India,India,1 run,Wellington,"Mar 6, 1990"
ODI # 617,West Indies,England,West Indies,6 wickets,Georgetown,"Mar 7, 1990"
ODI # 618,Australia,India,Australia,7 wickets,Hamilton,"Mar 8, 1990"
ODI # 619,New Zealand,Australia,Australia,10 runs,Auckland,"Mar 10, 1990"
ODI # 620,New Zealand,Australia,Australia,8 wickets,Auckland,"Mar 11, 1990"
ODI # 621,West Indies,England,West Indies,7 wickets,Georgetown,"Mar 15, 1990"
ODI # 622,West Indies,England,West Indies,4 wickets,Bridgetown,"Apr 3, 1990"
ODI # 623,India,Sri Lanka,Sri Lanka,3 wickets,Sharjah,"Apr 25, 1990"
ODI # 624,Australia,New Zealand,Australia,63 runs,Sharjah,"Apr 26, 1990"
ODI # 625,India,Pakistan,Pakistan,26 runs,Sharjah,"Apr 27, 1990"
ODI # 626,Bangladesh,New Zealand,New Zealand,161 runs,Sharjah,"Apr 28, 1990"
ODI # 627,Pakistan,Sri Lanka,Pakistan,90 runs,Sharjah,"Apr 29, 1990"
ODI # 628,Australia,Bangladesh,Australia,7 wickets,Sharjah,"Apr 30, 1990"
ODI # 629,New Zealand,Pakistan,Pakistan,8 wickets,Sharjah,"May 1, 1990"
ODI # 630,Australia,Sri Lanka,Australia,114 runs,Sharjah,"May 2, 1990"
ODI # 631,Australia,Pakistan,Pakistan,36 runs,Sharjah,"May 4, 1990"
ODI # 632,England,New Zealand,New Zealand,4 wickets,Leeds,"May 23, 1990"
ODI # 633,England,New Zealand,England,6 wickets,The Oval,"May 25, 1990"
ODI # 634,England,India,India,6 wickets,Leeds,"Jul 18, 1990"
ODI # 635,England,India,India,5 wickets,Nottingham,"Jul 20, 1990"
ODI # 636,Pakistan,New Zealand,Pakistan,19 runs,Lahore,"Nov 2, 1990"
ODI # 637,Pakistan,New Zealand,Pakistan,8 wickets,Peshawar,"Nov 4, 1990"
ODI # 638,Pakistan,New Zealand,Pakistan,105 runs,Sialkot,"Nov 6, 1990"
ODI # 639,Pakistan,West Indies,Pakistan,6 runs,Karachi,"Nov 9, 1990"
ODI # 640,Pakistan,West Indies,Pakistan,5 wickets,Lahore,"Nov 11, 1990"
ODI # 641,Pakistan,West Indies,Pakistan,31 runs,Multan,"Nov 13, 1990"
ODI # 642,Australia,New Zealand,Australia,61 runs,Sydney,"Nov 29, 1990"
ODI # 643,England,New Zealand,New Zealand,7 runs,Adelaide,"Dec 1, 1990"
ODI # 644,India,Sri Lanka,India,19 runs,Nagpur,"Dec 1, 1990"
ODI # 645,Australia,New Zealand,Australia,6 wickets,Adelaide,"Dec 2, 1990"
ODI # 646,India,Sri Lanka,India,6 wickets,Pune,"Dec 5, 1990"
ODI # 647,England,New Zealand,England,4 wickets,Perth,"Dec 7, 1990"
ODI # 648,India,Sri Lanka,Sri Lanka,7 wickets,Margao,"Dec 8, 1990"
ODI # 649,Australia,England,Australia,6 wickets,Perth,"Dec 9, 1990"
ODI # 650,Australia,New Zealand,Australia,39 runs,Melbourne,"Dec 11, 1990"
ODI # 651,England,New Zealand,England,33 runs,Sydney,"Dec 13, 1990"
ODI # 652,England,New Zealand,New Zealand,8 wickets,Brisbane,"Dec 15, 1990"
ODI # 653,Australia,England,Australia,37 runs,Brisbane,"Dec 16, 1990"
ODI # 654,Australia,New Zealand,New Zealand,1 run,Hobart,"Dec 18, 1990"
ODI # 655,Pakistan,Sri Lanka,Sri Lanka,6 wickets,Sharjah,"Dec 20, 1990"
ODI # 656,Pakistan,Sri Lanka,Pakistan,50 runs,Sharjah,"Dec 21, 1990"
ODI # 657,India,Bangladesh,India,9 wickets,Chandigarh,"Dec 25, 1990"
ODI # 658,India,Sri Lanka,Sri Lanka,36 runs,Cuttack,"Dec 28, 1990"
ODI # 659,Bangladesh,Sri Lanka,Sri Lanka,71 runs,Kolkata,"Dec 31, 1990"
