Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 104,Australia,India,Australia,9 wickets,Sydney,"Jan 8, 1981"
ODI # 105,India,New Zealand,New Zealand,10 wickets,Melbourne,"Jan 10, 1981"
ODI # 106,Australia,India,Australia,7 wickets,Melbourne,"Jan 11, 1981"
ODI # 107,Australia,New Zealand,New Zealand,1 run,Sydney,"Jan 13, 1981"
ODI # 108,Australia,India,Australia,27 runs,Sydney,"Jan 15, 1981"
ODI # 109,India,New Zealand,New Zealand,22 runs,Brisbane,"Jan 18, 1981"
ODI # 110,Australia,New Zealand,no result,,Sydney,"Jan 21, 1981"
ODI # 111,Australia,New Zealand,New Zealand,78 runs,Sydney,"Jan 29, 1981"
ODI # 112,Australia,New Zealand,Australia,7 wickets,Melbourne,"Jan 31, 1981"
ODI # 113,Australia,New Zealand,Australia,6 runs,Melbourne,"Feb 1, 1981"
ODI # 114,Australia,New Zealand,Australia,6 wickets,Sydney,"Feb 3, 1981"
ODI # 115,West Indies,England,West Indies,2 runs,Kingstown,"Feb 4, 1981"
ODI # 116,New Zealand,India,New Zealand,78 runs,Auckland,"Feb 14, 1981"
ODI # 117,New Zealand,India,New Zealand,57 runs,Hamilton,"Feb 15, 1981"
ODI # 118,West Indies,England,West Indies,6 wickets,Albion,"Feb 26, 1981"
ODI # 119,England,Australia,England,6 wickets,Lord's,"Jun 4, 1981"
ODI # 120,England,Australia,Australia,2 runs,Birmingham,"Jun 6, 1981"
ODI # 121,England,Australia,Australia,71 runs,Leeds,"Jun 8, 1981"
ODI # 122,Pakistan,West Indies,West Indies,18 runs,Melbourne,"Nov 21, 1981"
ODI # 123,Australia,Pakistan,Pakistan,4 wickets,Melbourne,"Nov 22, 1981"
ODI # 124,Australia,West Indies,Australia,7 wickets,Sydney,"Nov 24, 1981"
ODI # 125,India,England,England,5 wickets,Ahmedabad,"Nov 25, 1981"
ODI # 126,Pakistan,West Indies,Pakistan,8 runs,Adelaide,"Dec 5, 1981"
ODI # 127,Australia,Pakistan,Australia,38 runs,Adelaide,"Dec 6, 1981"
ODI # 128,Australia,Pakistan,Pakistan,6 wickets,Sydney,"Dec 17, 1981"
ODI # 129,Pakistan,West Indies,West Indies,7 wickets,Perth,"Dec 19, 1981"
ODI # 130,Australia,West Indies,West Indies,8 wickets,Perth,"Dec 20, 1981"
ODI # 131,India,England,India,6 wickets,Jalandhar,"Dec 20, 1981"
