Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 2661,South Africa,West Indies,South Africa,6 wickets,Centurion,"Jan 20, 2008"
ODI # 2662,Pakistan,Zimbabwe,Pakistan,104 runs,Karachi,"Jan 21, 2008"
ODI # 2663,Pakistan,Zimbabwe,Pakistan,5 wickets,Hyderabad (Sind),"Jan 24, 2008"
ODI # 2664,South Africa,West Indies,South Africa,86 runs,Cape Town,"Jan 25, 2008"
ODI # 2665,Pakistan,Zimbabwe,Pakistan,37 runs,Multan,"Jan 27, 2008"
ODI # 2666,South Africa,West Indies,South Africa,7 wickets,Port Elizabeth,"Jan 27, 2008"
ODI # 2667,Pakistan,Zimbabwe,Pakistan,7 wickets,Faisalabad,"Jan 30, 2008"
ODI # 2668,South Africa,West Indies,South Africa,5 wickets,Durban,"Feb 1, 2008"
ODI # 2669,Pakistan,Zimbabwe,Pakistan,7 wickets,Sheikhupura,"Feb 2, 2008"
ODI # 2670,Australia,India,no result,,Brisbane,"Feb 3, 2008"
ODI # 2671,South Africa,West Indies,South Africa,8 wickets,Johannesburg,"Feb 3, 2008"
ODI # 2672,India,Sri Lanka,no result,,Brisbane,"Feb 5, 2008"
ODI # 2673,Australia,Sri Lanka,Australia,128 runs,Sydney,"Feb 8, 2008"
ODI # 2674,New Zealand,England,New Zealand,6 wickets,Wellington,"Feb 9, 2008"
ODI # 2675,Australia,India,India,5 wickets,Melbourne,"Feb 10, 2008"
ODI # 2676,India,Sri Lanka,Sri Lanka,8 wickets,Canberra,"Feb 12, 2008"
ODI # 2677,New Zealand,England,New Zealand,10 wickets,Hamilton,"Feb 12, 2008"
ODI # 2678,New Zealand,England,England,6 wickets,Auckland,"Feb 15, 2008"
ODI # 2679,Australia,Sri Lanka,Australia,63 runs,Perth,"Feb 15, 2008"
ODI # 2680,Australia,India,Australia,50 runs,Adelaide,"Feb 17, 2008"
ODI # 2681,India,Sri Lanka,India,2 wickets,Adelaide,"Feb 19, 2008"
ODI # 2682,New Zealand,England,tied,,Napier,"Feb 20, 2008"
ODI # 2683,Australia,Sri Lanka,Australia,24 runs,Melbourne,"Feb 22, 2008"
ODI # 2684,New Zealand,England,New Zealand,34 runs,Christchurch,"Feb 23, 2008"
ODI # 2685,Australia,India,Australia,18 runs,Sydney,"Feb 24, 2008"
ODI # 2686,India,Sri Lanka,India,7 wickets,Hobart,"Feb 26, 2008"
ODI # 2687,Australia,Sri Lanka,Sri Lanka,13 runs,Melbourne,"Feb 29, 2008"
ODI # 2688,Australia,India,India,6 wickets,Sydney,"Mar 2, 2008"
ODI # 2689,Australia,India,India,9 runs,Brisbane,"Mar 4, 2008"
ODI # 2690,Bangladesh,South Africa,South Africa,9 wickets,Chittagong,"Mar 9, 2008"
ODI # 2691,Bangladesh,South Africa,South Africa,7 wickets,Dhaka,"Mar 12, 2008"
ODI # 2692,Bangladesh,South Africa,South Africa,7 wickets,Dhaka,"Mar 14, 2008"
ODI # 2693,Bangladesh,Ireland,Bangladesh,8 wickets,Dhaka,"Mar 18, 2008"
ODI # 2694,Bangladesh,Ireland,Bangladesh,84 runs,Dhaka,"Mar 20, 2008"
ODI # 2695,Bangladesh,Ireland,Bangladesh,79 runs,Dhaka,"Mar 22, 2008"
ODI # 2696,Pakistan,Bangladesh,Pakistan,152 runs,Lahore,"Apr 8, 2008"
ODI # 2697,West Indies,Sri Lanka,West Indies,1 wicket,Port of Spain,"Apr 10, 2008"
ODI # 2698,Pakistan,Bangladesh,Pakistan,7 wickets,Faisalabad,"Apr 11, 2008"
ODI # 2699,West Indies,Sri Lanka,West Indies,7 wickets,Port of Spain,"Apr 12, 2008"
ODI # 2700,Pakistan,Bangladesh,Pakistan,23 runs,Lahore,"Apr 13, 2008"
ODI # 2701,West Indies,Sri Lanka,no result,,Gros Islet,"Apr 15, 2008"
ODI # 2702,Pakistan,Bangladesh,Pakistan,7 wickets,Multan,"Apr 16, 2008"
ODI # 2703,Pakistan,Bangladesh,Pakistan,150 runs,Karachi,"Apr 19, 2008"
ODI # 2704,Bangladesh,Pakistan,Pakistan,70 runs,Dhaka,"Jun 8, 2008"
ODI # 2705,India,Pakistan,India,140 runs,Dhaka,"Jun 10, 2008"
ODI # 2706,Bangladesh,India,India,7 wickets,Dhaka,"Jun 12, 2008"
ODI # 2707,India,Pakistan,Pakistan,25 runs,Dhaka,"Jun 14, 2008"
ODI # 2708,England,New Zealand,England,114 runs,Chester-le-Street,"Jun 15, 2008"
ODI # 2709,England,New Zealand,no result,,Birmingham,"Jun 18, 2008"
ODI # 2710,England,New Zealand,New Zealand,22 runs,Bristol,"Jun 21, 2008"
ODI # 2711,Bangladesh,U.A.E.,Bangladesh,96 runs,Lahore,"Jun 24, 2008"
ODI # 2712,Pakistan,Hong Kong,Pakistan,155 runs,Karachi,"Jun 24, 2008"
ODI # 2713,West Indies,Australia,Australia,84 runs,Kingstown,"Jun 24, 2008"
ODI # 2715,Bangladesh,Sri Lanka,Sri Lanka,131 runs,Lahore,"Jun 25, 2008"
ODI # 2716,Hong Kong,India,India,256 runs,Karachi,"Jun 25, 2008"
ODI # 2714,England,New Zealand,New Zealand,1 wicket,The Oval,"Jun 25, 2008"
ODI # 2717,Pakistan,India,India,6 wickets,Karachi,"Jun 26, 2008"
ODI # 2718,Sri Lanka,U.A.E.,Sri Lanka,142 runs,Lahore,"Jun 26, 2008"
ODI # 2719,West Indies,Australia,Australia,63 runs,St George's,"Jun 27, 2008"
ODI # 2720,England,New Zealand,New Zealand,51 runs,Lord's,"Jun 28, 2008"
ODI # 2721,Bangladesh,India,India,7 wickets,Karachi,"Jun 28, 2008"
ODI # 2722,Canada,Bermuda,Bermuda,3 wickets,King City (NW),"Jun 28, 2008"
ODI # 2723,Pakistan,Sri Lanka,Sri Lanka,64 runs,Karachi,"Jun 29, 2008"
ODI # 2724,West Indies,Australia,Australia,7 wickets,St George's,"Jun 29, 2008"
ODI # 2725,Canada,Bermuda,Bermuda,11 runs,King City (NW),"Jun 29, 2008"
ODI # 2726,Bangladesh,Sri Lanka,Sri Lanka,158 runs,Karachi,"Jun 30, 2008"
ODI # 2727,Ireland,New Zealand,New Zealand,290 runs,Aberdeen,"Jul 1, 2008"
ODI # 2728,Canada,Bermuda,Canada,77 runs,King City (NW),"Jul 1, 2008"
ODI # 2729,Scotland,Ireland,Scotland,5 wickets,Aberdeen,"Jul 2, 2008"
ODI # 2730,Pakistan,India,Pakistan,8 wickets,Karachi,"Jul 2, 2008"
ODI # 2731,Scotland,New Zealand,New Zealand,8 wickets,Aberdeen,"Jul 3, 2008"
ODI # 2732,India,Sri Lanka,India,6 wickets,Karachi,"Jul 3, 2008"
ODI # 2733,Pakistan,Bangladesh,Pakistan,10 wickets,Karachi,"Jul 4, 2008"
ODI # 2734,West Indies,Australia,Australia,1 run,Basseterre,"Jul 4, 2008"
ODI # 2735,India,Sri Lanka,Sri Lanka,100 runs,Karachi,"Jul 6, 2008"
ODI # 2736,West Indies,Australia,Australia,169 runs,Basseterre,"Jul 6, 2008"
ODI # 2737,Ireland,Netherlands,Ireland,7 wickets,Dublin,"Jul 28, 2008"
ODI # 2738,Netherlands,Scotland,Scotland,6 wickets,Dublin,"Jul 29, 2008"
