Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 968,England,Zimbabwe,England,26 runs,Brisbane,"Jan 7, 1995"
ODI # 969,Australia,England,England,37 runs,Melbourne,"Jan 10, 1995"
ODI # 970,South Africa,Pakistan,South Africa,37 runs,Cape Town,"Jan 10, 1995"
ODI # 971,South Africa,Pakistan,South Africa,157 runs,Johannesburg,"Jan 12, 1995"
ODI # 972,New Zealand,West Indies,West Indies,25 runs,Auckland,"Jan 22, 1995"
ODI # 973,New Zealand,West Indies,West Indies,41 runs,Wellington,"Jan 25, 1995"
ODI # 974,New Zealand,West Indies,West Indies,9 wickets,Christchurch,"Jan 28, 1995"
ODI # 975,Australia,South Africa,Australia,3 wickets,Wellington,"Feb 15, 1995"
ODI # 976,New Zealand,India,New Zealand,4 wickets,Napier,"Feb 16, 1995"
ODI # 977,India,South Africa,South Africa,14 runs,Hamilton,"Feb 18, 1995"
ODI # 978,New Zealand,Australia,Australia,27 runs,Auckland,"Feb 19, 1995"
ODI # 979,Australia,India,India,5 wickets,Dunedin,"Feb 22, 1995"
ODI # 980,Zimbabwe,Pakistan,tied,,Harare,"Feb 22, 1995"
ODI # 981,New Zealand,South Africa,New Zealand,46 runs,Christchurch,"Feb 23-24, 1995"
ODI # 982,Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,"Feb 25, 1995"
ODI # 983,New Zealand,Australia,Australia,6 wickets,Auckland,"Feb 26, 1995"
ODI # 984,Zimbabwe,Pakistan,Zimbabwe,74 runs,Harare,"Feb 26, 1995"
ODI # 985,West Indies,Australia,West Indies,6 runs,Bridgetown,"Mar 8, 1995"
ODI # 986,West Indies,Australia,Australia,26 runs,Port of Spain,"Mar 11, 1995"
ODI # 987,West Indies,Australia,West Indies,133 runs,Port of Spain,"Mar 12, 1995"
ODI # 988,West Indies,Australia,West Indies,7 wickets,Kingstown,"Mar 15, 1995"
ODI # 989,West Indies,Australia,West Indies,5 wickets,Georgetown,"Mar 18, 1995"
ODI # 990,New Zealand,Sri Lanka,New Zealand,33 runs,Christchurch,"Mar 26, 1995"
