Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 1448,Bangladesh,New Zealand,New Zealand,6 wickets,Chelmsford,"May 17, 1999"
ODI # 1449,England,Kenya,England,9 wickets,Canterbury,"May 18, 1999"
ODI # 1450,India,Zimbabwe,Zimbabwe,3 runs,Leicester,"May 19, 1999"
ODI # 1451,South Africa,Sri Lanka,South Africa,89 runs,Northampton,"May 19, 1999"
ODI # 1452,Australia,New Zealand,New Zealand,5 wickets,Cardiff,"May 20, 1999"
ODI # 1453,Pakistan,Scotland,Pakistan,94 runs,Chester-le-Street,"May 20, 1999"
ODI # 1454,Bangladesh,West Indies,West Indies,7 wickets,Dublin,"May 21, 1999"
ODI # 1455,England,South Africa,South Africa,122 runs,The Oval,"May 22, 1999"
ODI # 1456,Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,Worcester,"May 22, 1999"
ODI # 1457,India,Kenya,India,94 runs,Bristol,"May 23, 1999"
ODI # 1458,Australia,Pakistan,Pakistan,10 runs,Leeds,"May 23, 1999"
ODI # 1459,Scotland,Bangladesh,Bangladesh,22 runs,Edinburgh,"May 24, 1999"
ODI # 1460,New Zealand,West Indies,West Indies,7 wickets,Southampton,"May 24, 1999"
ODI # 1461,England,Zimbabwe,England,7 wickets,Nottingham,"May 25, 1999"
ODI # 1462,Kenya,South Africa,South Africa,7 wickets,Amstelveen,"May 26, 1999"
ODI # 1463,India,Sri Lanka,India,157 runs,Taunton,"May 26, 1999"
ODI # 1464,Australia,Bangladesh,Australia,7 wickets,Chester-le-Street,"May 27, 1999"
ODI # 1465,Scotland,West Indies,West Indies,8 wickets,Leicester,"May 27, 1999"
ODI # 1466,New Zealand,Pakistan,Pakistan,62 runs,Derby,"May 28, 1999"
ODI # 1467,England,India,India,63 runs,Birmingham,"May 29-30, 1999"
ODI # 1468,South Africa,Zimbabwe,Zimbabwe,48 runs,Chelmsford,"May 29, 1999"
ODI # 1469,Kenya,Sri Lanka,Sri Lanka,45 runs,Southampton,"May 30, 1999"
ODI # 1470,Australia,West Indies,Australia,6 wickets,Manchester,"May 30, 1999"
ODI # 1471,Bangladesh,Pakistan,Bangladesh,62 runs,Northampton,"May 31, 1999"
ODI # 1472,Scotland,New Zealand,New Zealand,6 wickets,Edinburgh,"May 31, 1999"
ODI # 1473,Australia,India,Australia,77 runs,The Oval,"Jun 4, 1999"
ODI # 1474,Pakistan,South Africa,South Africa,3 wickets,Nottingham,"Jun 5, 1999"
ODI # 1475,New Zealand,Zimbabwe,no result,,Leeds,"Jun 6-7, 1999"
ODI # 1476,India,Pakistan,India,47 runs,Manchester,"Jun 8, 1999"
ODI # 1477,Australia,Zimbabwe,Australia,44 runs,Lord's,"Jun 9, 1999"
ODI # 1478,New Zealand,South Africa,South Africa,74 runs,Birmingham,"Jun 10, 1999"
ODI # 1479,Pakistan,Zimbabwe,Pakistan,148 runs,The Oval,"Jun 11, 1999"
ODI # 1480,India,New Zealand,New Zealand,5 wickets,Nottingham,"Jun 12, 1999"
ODI # 1481,Australia,South Africa,Australia,5 wickets,Leeds,"Jun 13, 1999"
ODI # 1482,New Zealand,Pakistan,Pakistan,9 wickets,Manchester,"Jun 16, 1999"
ODI # 1483,Australia,South Africa,tied,,Birmingham,"Jun 17, 1999"
ODI # 1484,Australia,Pakistan,Australia,8 wickets,Lord's,"Jun 20, 1999"
ODI # 1485,Sri Lanka,Australia,Australia,50 runs,Galle,"Aug 22, 1999"
ODI # 1486,Australia,India,Australia,8 wickets,Galle,"Aug 23, 1999"
ODI # 1487,Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),"Aug 25, 1999"
ODI # 1488,Sri Lanka,Australia,Australia,27 runs,Colombo (RPS),"Aug 26, 1999"
ODI # 1489,Australia,India,Australia,41 runs,Colombo (SSC),"Aug 28, 1999"
ODI # 1490,Sri Lanka,India,India,23 runs,Colombo (SSC),"Aug 29, 1999"
ODI # 1491,Sri Lanka,Australia,Sri Lanka,8 wickets,Colombo (RPS),"Aug 31, 1999"
ODI # 1492,West Indies,Zimbabwe,West Indies,6 wickets,Singapore,"Sep 2, 1999"
ODI # 1493,India,Zimbabwe,India,115 runs,Singapore,"Sep 4, 1999"
ODI # 1494,India,West Indies,West Indies,42 runs,Singapore,"Sep 5, 1999"
ODI # 1495,India,West Indies,no result,,Singapore,"Sep 7, 1999"
ODI # 1496,India,West Indies,West Indies,4 wickets,Singapore,"Sep 8, 1999"
