Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 660,Australia,England,Australia,68 runs,Sydney,"Jan 1, 1991"
ODI # 661,India,Sri Lanka,India,7 wickets,Kolkata,"Jan 4, 1991"
ODI # 662,Australia,England,Australia,3 runs,Melbourne,"Jan 10, 1991"
ODI # 663,Australia,New Zealand,Australia,6 wickets,Sydney,"Jan 13, 1991"
ODI # 664,Australia,New Zealand,Australia,7 wickets,Melbourne,"Jan 15, 1991"
ODI # 665,New Zealand,Sri Lanka,New Zealand,5 wickets,Napier,"Jan 26, 1991"
ODI # 666,New Zealand,Sri Lanka,New Zealand,41 runs,Auckland,"Jan 28, 1991"
ODI # 667,New Zealand,Sri Lanka,New Zealand,107 runs,Dunedin,"Feb 6, 1991"
ODI # 668,New Zealand,England,England,14 runs,Christchurch,"Feb 9, 1991"
ODI # 669,New Zealand,England,New Zealand,9 runs,Wellington,"Feb 13, 1991"
ODI # 670,New Zealand,England,New Zealand,7 runs,Auckland,"Feb 16, 1991"
ODI # 671,West Indies,Australia,Australia,35 runs,Kingston,"Feb 26, 1991"
ODI # 672,West Indies,Australia,Australia,45 runs,Port of Spain,"Mar 9, 1991"
ODI # 673,West Indies,Australia,West Indies,7 wickets,Port of Spain,"Mar 10, 1991"
ODI # 674,West Indies,Australia,Australia,37 runs,Bridgetown,"Mar 13, 1991"
ODI # 675,West Indies,Australia,Australia,6 wickets,Georgetown,"Mar 20, 1991"
ODI # 676,England,West Indies,England,1 wicket,Birmingham,"May 23-24, 1991"
ODI # 677,England,West Indies,England,9 runs,Manchester,"May 25, 1991"
ODI # 678,England,West Indies,England,7 wickets,Lord's,"May 27, 1991"
ODI # 679,Pakistan,West Indies,West Indies,1 wicket,Sharjah,"Oct 17, 1991"
ODI # 680,India,Pakistan,India,60 runs,Sharjah,"Oct 18, 1991"
ODI # 681,India,West Indies,India,19 runs,Sharjah,"Oct 19, 1991"
ODI # 682,Pakistan,West Indies,Pakistan,1 run,Sharjah,"Oct 21, 1991"
ODI # 683,India,West Indies,India,7 wickets,Sharjah,"Oct 22, 1991"
ODI # 684,India,Pakistan,Pakistan,4 runs,Sharjah,"Oct 23, 1991"
ODI # 685,India,Pakistan,Pakistan,72 runs,Sharjah,"Oct 25, 1991"
ODI # 686,India,South Africa,India,3 wickets,Kolkata,"Nov 10, 1991"
ODI # 687,India,South Africa,India,38 runs,Gwalior,"Nov 12, 1991"
ODI # 688,India,South Africa,South Africa,8 wickets,New Delhi,"Nov 14, 1991"
ODI # 689,Pakistan,West Indies,West Indies,24 runs,Karachi,"Nov 20, 1991"
ODI # 690,Pakistan,West Indies,tied,,Lahore,"Nov 22, 1991"
ODI # 691,Pakistan,West Indies,West Indies,17 runs,Faisalabad,"Nov 24, 1991"
ODI # 692,India,West Indies,tied,,Perth,"Dec 6, 1991"
ODI # 693,Australia,India,India,107 runs,Perth,"Dec 8, 1991"
ODI # 694,Australia,India,Australia,8 wickets,Hobart,"Dec 10, 1991"
ODI # 695,Australia,West Indies,Australia,9 runs,Melbourne,"Dec 12, 1991"
ODI # 696,India,West Indies,India,10 runs,Adelaide,"Dec 14, 1991"
ODI # 697,Australia,India,Australia,6 wickets,Adelaide,"Dec 15, 1991"
ODI # 698,Australia,West Indies,Australia,51 runs,Sydney,"Dec 18, 1991"
