Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 2310,New Zealand,Sri Lanka,New Zealand,5 wickets,Christchurch,"Jan 3, 2006"
ODI # 2311,New Zealand,Sri Lanka,New Zealand,21 runs,Wellington,"Jan 6, 2006"
ODI # 2312,New Zealand,Sri Lanka,Sri Lanka,20 runs,Napier,"Jan 8, 2006"
ODI # 2313,Australia,Sri Lanka,Australia,116 runs,Melbourne (Docklands),"Jan 13, 2006"
ODI # 2314,Australia,South Africa,South Africa,5 wickets,Brisbane,"Jan 15, 2006"
ODI # 2315,South Africa,Sri Lanka,Sri Lanka,94 runs,Brisbane,"Jan 17, 2006"
ODI # 2316,Australia,South Africa,Australia,59 runs,Melbourne (Docklands),"Jan 20, 2006"
ODI # 2317,Australia,Sri Lanka,Sri Lanka,51 runs,Sydney,"Jan 22, 2006"
ODI # 2318,South Africa,Sri Lanka,South Africa,9 runs,Adelaide,"Jan 24, 2006"
ODI # 2319,Australia,Sri Lanka,Australia,5 wickets,Adelaide,"Jan 26, 2006"
ODI # 2320,Australia,Sri Lanka,Australia,6 wickets,Perth,"Jan 29, 2006"
ODI # 2321,South Africa,Sri Lanka,South Africa,5 wickets,Perth,"Jan 31, 2006"
ODI # 2322,Australia,South Africa,Australia,80 runs,Melbourne (Docklands),"Feb 3, 2006"
ODI # 2323,Australia,South Africa,Australia,57 runs,Sydney,"Feb 5, 2006"
ODI # 2324,Pakistan,India,Pakistan,7 runs,Peshawar,"Feb 6, 2006"
ODI # 2325,South Africa,Sri Lanka,Sri Lanka,76 runs,Hobart,"Feb 7, 2006"
ODI # 2326,Australia,Sri Lanka,Sri Lanka,22 runs,Adelaide,"Feb 10, 2006"
ODI # 2327,Pakistan,India,India,7 wickets,Rawalpindi,"Feb 11, 2006"
ODI # 2328,Australia,Sri Lanka,Australia,167 runs,Sydney,"Feb 12, 2006"
ODI # 2329,Pakistan,India,India,5 wickets,Lahore,"Feb 13, 2006"
ODI # 2330,Australia,Sri Lanka,Australia,9 wickets,Brisbane,"Feb 14, 2006"
ODI # 2331,Pakistan,India,India,5 wickets,Multan,"Feb 16, 2006"
ODI # 2332,New Zealand,West Indies,New Zealand,81 runs,Wellington,"Feb 18, 2006"
ODI # 2333,Pakistan,India,India,8 wickets,Karachi,"Feb 19, 2006"
ODI # 2334,Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Bogra,"Feb 20, 2006"
ODI # 2335,New Zealand,West Indies,New Zealand,3 wickets,Queenstown,"Feb 22, 2006"
ODI # 2336,Bangladesh,Sri Lanka,Bangladesh,4 wickets,Bogra,"Feb 22, 2006"
ODI # 2337,New Zealand,West Indies,New Zealand,21 runs,Christchurch,"Feb 25, 2006"
ODI # 2338,Bangladesh,Sri Lanka,Sri Lanka,78 runs,Chittagong,"Feb 25, 2006"
ODI # 2339,Zimbabwe,Kenya,Zimbabwe,8 wickets,Bulawayo,"Feb 25, 2006"
ODI # 2340,Zimbabwe,Kenya,Kenya,79 runs,Bulawayo,"Feb 26, 2006"
ODI # 2341,South Africa,Australia,South Africa,6 wickets,Centurion,"Feb 26, 2006"
ODI # 2342,New Zealand,West Indies,New Zealand,91 runs,Napier,"Mar 1, 2006"
ODI # 2343,Zimbabwe,Kenya,Kenya,65 runs,Harare,"Mar 1, 2006"
ODI # 2344,Zimbabwe,Kenya,Zimbabwe,109 runs,Harare,"Mar 3, 2006"
ODI # 2345,South Africa,Australia,South Africa,196 runs,Cape Town,"Mar 3, 2006"
ODI # 2346,New Zealand,West Indies,West Indies,3 wickets,Auckland,"Mar 4, 2006"
ODI # 2347,South Africa,Australia,Australia,24 runs,Port Elizabeth,"Mar 5, 2006"
ODI # 2348,South Africa,Australia,Australia,1 wicket,Durban,"Mar 10, 2006"
ODI # 2349,South Africa,Australia,South Africa,1 wicket,Johannesburg,"Mar 12, 2006"
ODI # 2350,Bangladesh,Kenya,Bangladesh,131 runs,Bogra,"Mar 17, 2006"
ODI # 2351,Sri Lanka,Pakistan,no result,,Colombo (RPS),"Mar 17, 2006"
ODI # 2352,Sri Lanka,Pakistan,Pakistan,4 wickets,Colombo (RPS),"Mar 19, 2006"
ODI # 2353,Bangladesh,Kenya,Bangladesh,9 wickets,Khulna,"Mar 20, 2006"
ODI # 2354,Sri Lanka,Pakistan,Pakistan,4 wickets,Colombo (SSC),"Mar 22, 2006"
ODI # 2355,Bangladesh,Kenya,Bangladesh,20 runs,Fatullah,"Mar 23, 2006"
ODI # 2356,Bangladesh,Kenya,Bangladesh,7 wickets,Fatullah,"Mar 25, 2006"
ODI # 2357,India,England,India,39 runs,Delhi,"Mar 28, 2006"
ODI # 2358,India,England,India,4 wickets,Faridabad,"Mar 31, 2006"
ODI # 2359,India,England,India,49 runs,Margao,"Apr 3, 2006"
ODI # 2360,India,England,India,4 wickets,Kochi,"Apr 6, 2006"
ODI # 2361,India,England,England,5 wickets,Jamshedpur,"Apr 12, 2006"
ODI # 2362,India,England,India,7 wickets,Indore,"Apr 15, 2006"
ODI # 2363,India,Pakistan,Pakistan,6 wickets,Abu Dhabi,"Apr 18, 2006"
ODI # 2364,India,Pakistan,India,51 runs,Abu Dhabi,"Apr 19, 2006"
ODI # 2365,Bangladesh,Australia,Australia,4 wickets,Chittagong,"Apr 23, 2006"
ODI # 2366,Bangladesh,Australia,Australia,67 runs,Fatullah,"Apr 26, 2006"
ODI # 2367,Bangladesh,Australia,Australia,9 wickets,Fatullah,"Apr 28, 2006"
ODI # 2368,West Indies,Zimbabwe,West Indies,5 wickets,St John's,"Apr 29, 2006"
ODI # 2369,West Indies,Zimbabwe,West Indies,98 runs,St John's,"Apr 30, 2006"
ODI # 2370,West Indies,Zimbabwe,West Indies,82 runs,Georgetown,"May 7, 2006"
ODI # 2371,West Indies,Zimbabwe,West Indies,10 wickets,Gros Islet,"May 10, 2006"
ODI # 2372,West Indies,Zimbabwe,no result,,Port of Spain,"May 13, 2006"
