Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 1532,New Zealand,West Indies,New Zealand,3 wickets,Auckland,"Jan 2, 2000"
ODI # 1533,New Zealand,West Indies,New Zealand,7 wickets,Taupo,"Jan 4, 2000"
ODI # 1534,New Zealand,West Indies,New Zealand,4 wickets,Napier,"Jan 6, 2000"
ODI # 1535,New Zealand,West Indies,New Zealand,8 wickets,Wellington,"Jan 8-9, 2000"
ODI # 1536,Australia,Pakistan,Pakistan,45 runs,Brisbane,"Jan 9, 2000"
ODI # 1537,India,Pakistan,Pakistan,2 wickets,Brisbane,"Jan 10, 2000"
ODI # 1538,New Zealand,West Indies,New Zealand,20 runs,Christchurch,"Jan 11, 2000"
ODI # 1539,Australia,India,Australia,28 runs,Melbourne,"Jan 12, 2000"
ODI # 1540,Australia,India,Australia,5 wickets,Sydney,"Jan 14, 2000"
ODI # 1541,Australia,Pakistan,Australia,6 wickets,Melbourne,"Jan 16, 2000"
ODI # 1542,Australia,Pakistan,Australia,81 runs,Sydney,"Jan 19, 2000"
ODI # 1543,India,Pakistan,Pakistan,32 runs,Hobart,"Jan 21, 2000"
ODI # 1544,South Africa,Zimbabwe,South Africa,6 wickets,Johannesburg,"Jan 21, 2000"
ODI # 1545,Australia,Pakistan,Australia,15 runs,Melbourne,"Jan 23, 2000"
ODI # 1546,South Africa,England,England,9 wickets,Bloemfontein,"Jan 23, 2000"
ODI # 1547,India,Pakistan,India,48 runs,Adelaide,"Jan 25, 2000"
ODI # 1548,Australia,India,Australia,152 runs,Adelaide,"Jan 26, 2000"
ODI # 1549,South Africa,England,South Africa,1 run,Cape Town,"Jan 26, 2000"
ODI # 1550,India,Pakistan,Pakistan,104 runs,Perth,"Jan 28, 2000"
ODI # 1551,England,Zimbabwe,Zimbabwe,104 runs,Cape Town,"Jan 28, 2000"
ODI # 1552,Australia,India,Australia,4 wickets,Perth,"Jan 30, 2000"
ODI # 1553,England,Zimbabwe,England,8 wickets,Kimberley,"Jan 30, 2000"
ODI # 1554,Australia,Pakistan,Australia,6 wickets,Melbourne,"Feb 2, 2000"
ODI # 1555,South Africa,Zimbabwe,Zimbabwe,2 wickets,Durban,"Feb 2, 2000"
ODI # 1556,Australia,Pakistan,Australia,152 runs,Sydney,"Feb 4, 2000"
ODI # 1557,South Africa,England,South Africa,2 wickets,East London,"Feb 4, 2000"
ODI # 1558,South Africa,Zimbabwe,South Africa,53 runs,Port Elizabeth,"Feb 6, 2000"
ODI # 1559,Pakistan,Sri Lanka,Sri Lanka,29 runs,Karachi,"Feb 13, 2000"
ODI # 1560,South Africa,England,South Africa,38 runs,Johannesburg,"Feb 13, 2000"
ODI # 1561,Pakistan,Sri Lanka,Sri Lanka,34 runs,Gujranwala,"Feb 16, 2000"
ODI # 1562,Zimbabwe,England,England,5 wickets,Bulawayo,"Feb 16, 2000"
ODI # 1563,New Zealand,Australia,no result,,Wellington,"Feb 17, 2000"
ODI # 1564,Zimbabwe,England,England,1 wicket,Bulawayo,"Feb 18, 2000"
ODI # 1565,New Zealand,Australia,Australia,5 wickets,Auckland,"Feb 19, 2000"
ODI # 1566,Pakistan,Sri Lanka,Sri Lanka,104 runs,Lahore,"Feb 19, 2000"
ODI # 1567,Zimbabwe,England,England,85 runs,Harare,"Feb 20, 2000"
ODI # 1568,New Zealand,Australia,Australia,50 runs,Dunedin,"Feb 23, 2000"
ODI # 1569,New Zealand,Australia,Australia,48 runs,Christchurch,"Feb 26, 2000"
ODI # 1570,New Zealand,Australia,Australia,5 wickets,Napier,"Mar 1, 2000"
ODI # 1571,New Zealand,Australia,New Zealand,7 wickets,Auckland,"Mar 3, 2000"
ODI # 1572,India,South Africa,India,3 wickets,Kochi,"Mar 9, 2000"
ODI # 1573,India,South Africa,India,6 wickets,Jamshedpur,"Mar 12, 2000"
ODI # 1574,India,South Africa,South Africa,2 wickets,Faridabad,"Mar 15, 2000"
ODI # 1575,India,South Africa,India,4 wickets,Vadodara,"Mar 17, 2000"
ODI # 1576,India,South Africa,South Africa,10 runs,Nagpur,"Mar 19, 2000"
ODI # 1577,India,South Africa,South Africa,10 wickets,Sharjah,"Mar 22, 2000"
ODI # 1578,India,Pakistan,India,5 wickets,Sharjah,"Mar 23, 2000"
ODI # 1579,Pakistan,South Africa,South Africa,3 wickets,Sharjah,"Mar 24, 2000"
ODI # 1580,India,Pakistan,Pakistan,98 runs,Sharjah,"Mar 26, 2000"
ODI # 1581,India,South Africa,South Africa,6 wickets,Sharjah,"Mar 27, 2000"
ODI # 1582,Pakistan,South Africa,Pakistan,67 runs,Sharjah,"Mar 28, 2000"
ODI # 1583,Pakistan,South Africa,Pakistan,16 runs,Sharjah,"Mar 31, 2000"
ODI # 1584,West Indies,Zimbabwe,West Indies,87 runs,Kingston,"Apr 1, 2000"
ODI # 1585,West Indies,Zimbabwe,West Indies,41 runs,Kingston,"Apr 2, 2000"
ODI # 1586,Pakistan,Zimbabwe,Pakistan,5 wickets,St John's,"Apr 5, 2000"
ODI # 1587,South Africa,Australia,South Africa,6 wickets,Durban,"Apr 12, 2000"
ODI # 1588,West Indies,Pakistan,West Indies,96 runs,Kingstown,"Apr 12, 2000"
ODI # 1589,South Africa,Australia,Australia,5 wickets,Cape Town,"Apr 14, 2000"
ODI # 1590,Pakistan,Zimbabwe,Pakistan,6 wickets,St George's,"Apr 15, 2000"
ODI # 1591,South Africa,Australia,South Africa,4 wickets,Johannesburg,"Apr 16, 2000"
ODI # 1592,West Indies,Pakistan,West Indies,17 runs,St George's,"Apr 16, 2000"
ODI # 1593,West Indies,Pakistan,Pakistan,17 runs,Bridgetown,"Apr 19, 2000"
ODI # 1594,West Indies,Pakistan,West Indies,60 runs,Port of Spain,"Apr 22, 2000"
ODI # 1595,West Indies,Pakistan,Pakistan,4 wickets,Port of Spain,"Apr 23, 2000"
ODI # 1596,Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,"May 29, 2000"
ODI # 1597,Bangladesh,India,India,8 wickets,Dhaka,"May 30-31, 2000"
ODI # 1598,India,Sri Lanka,Sri Lanka,71 runs,Dhaka,"Jun 1, 2000"
ODI # 1599,Bangladesh,Pakistan,Pakistan,233 runs,Dhaka,"Jun 2, 2000"
ODI # 1600,India,Pakistan,Pakistan,44 runs,Dhaka,"Jun 3, 2000"
ODI # 1601,Pakistan,Sri Lanka,Pakistan,7 wickets,Dhaka,"Jun 5, 2000"
ODI # 1602,Pakistan,Sri Lanka,Pakistan,39 runs,Dhaka,"Jun 7, 2000"
ODI # 1603,Sri Lanka,Pakistan,Sri Lanka,5 wickets,Galle,"Jul 5, 2000"
ODI # 1604,Sri Lanka,South Africa,Sri Lanka,37 runs,Galle,"Jul 6, 2000"
ODI # 1605,West Indies,Zimbabwe,Zimbabwe,6 wickets,Bristol,"Jul 6, 2000"
ODI # 1606,Pakistan,South Africa,South Africa,18 runs,Colombo (RPS),"Jul 8, 2000"
ODI # 1607,England,Zimbabwe,Zimbabwe,5 wickets,The Oval,"Jul 8, 2000"
ODI # 1608,Sri Lanka,Pakistan,Sri Lanka,6 wickets,Colombo (RPS),"Jul 9, 2000"
ODI # 1609,England,West Indies,no result,,Lord's,"Jul 9, 2000"
ODI # 1610,Sri Lanka,South Africa,Sri Lanka,8 wickets,Colombo (SSC),"Jul 11, 2000"
ODI # 1611,West Indies,Zimbabwe,Zimbabwe,70 runs,Canterbury,"Jul 11, 2000"
ODI # 1612,Pakistan,South Africa,South Africa,7 wickets,Colombo (SSC),"Jul 12, 2000"
ODI # 1613,England,Zimbabwe,England,8 wickets,Manchester,"Jul 13, 2000"
