Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 1663,New Zealand,Zimbabwe,Zimbabwe,70 runs,Taupo,"Jan 2, 2001"
ODI # 1664,New Zealand,Zimbabwe,New Zealand,8 wickets,Wellington,"Jan 4, 2001"
ODI # 1665,New Zealand,Zimbabwe,Zimbabwe,1 wicket,Auckland,"Jan 7, 2001"
ODI # 1666,South Africa,Sri Lanka,South Africa,8 wickets,Paarl,"Jan 9, 2001"
ODI # 1667,Australia,West Indies,Australia,74 runs,Melbourne,"Jan 11, 2001"
ODI # 1668,South Africa,Sri Lanka,South Africa,99 runs,Cape Town,"Jan 11, 2001"
ODI # 1669,West Indies,Zimbabwe,West Indies,1 wicket,Brisbane,"Jan 13, 2001"
ODI # 1670,Australia,West Indies,Australia,9 wickets,Brisbane,"Jan 14, 2001"
ODI # 1671,South Africa,Sri Lanka,South Africa,5 wickets,Bloemfontein,"Jan 14, 2001"
ODI # 1672,Australia,West Indies,Australia,28 runs,Sydney,"Jan 17, 2001"
ODI # 1673,South Africa,Sri Lanka,Sri Lanka,4 runs,Johannesburg,"Jan 17, 2001"
ODI # 1674,Australia,Zimbabwe,Australia,8 wickets,Melbourne,"Jan 21, 2001"
ODI # 1675,West Indies,Zimbabwe,Zimbabwe,47 runs,Sydney,"Jan 23, 2001"
ODI # 1676,West Indies,Zimbabwe,West Indies,77 runs,Adelaide,"Jan 25, 2001"
ODI # 1677,Australia,West Indies,Australia,10 wickets,Adelaide,"Jan 26, 2001"
ODI # 1678,Australia,Zimbabwe,Australia,86 runs,Sydney,"Jan 28, 2001"
ODI # 1679,Australia,Zimbabwe,Australia,6 wickets,Hobart,"Jan 30, 2001"
ODI # 1680,New Zealand,Sri Lanka,Sri Lanka,61 runs,Napier,"Jan 31, 2001"
ODI # 1681,West Indies,Zimbabwe,West Indies,44 runs,Perth,"Feb 2, 2001"
ODI # 1682,New Zealand,Sri Lanka,Sri Lanka,3 wickets,Wellington,"Feb 3, 2001"
ODI # 1683,Australia,Zimbabwe,Australia,1 run,Perth,"Feb 4, 2001"
ODI # 1684,New Zealand,Sri Lanka,Sri Lanka,9 wickets,Auckland,"Feb 6, 2001"
ODI # 1685,Australia,West Indies,Australia,134 runs,Sydney,"Feb 7, 2001"
ODI # 1686,New Zealand,Sri Lanka,Sri Lanka,3 runs,Hamilton,"Feb 8, 2001"
ODI # 1687,Australia,West Indies,Australia,39 runs,Melbourne,"Feb 9, 2001"
ODI # 1688,New Zealand,Sri Lanka,New Zealand,13 runs,Christchurch,"Feb 11, 2001"
ODI # 1689,New Zealand,Pakistan,Pakistan,6 wickets,Auckland,"Feb 17-18, 2001"
ODI # 1690,New Zealand,Pakistan,New Zealand,6 wickets,Napier,"Feb 20, 2001"
ODI # 1691,New Zealand,Pakistan,Pakistan,28 runs,Wellington,"Feb 22, 2001"
ODI # 1692,New Zealand,Pakistan,New Zealand,138 runs,Christchurch,"Feb 25, 2001"
ODI # 1693,New Zealand,Pakistan,New Zealand,4 wickets,Dunedin,"Feb 28, 2001"
ODI # 1694,Sri Lanka,England,Sri Lanka,5 wickets,Dambulla,"Mar 23, 2001"
ODI # 1695,Sri Lanka,England,Sri Lanka,66 runs,Colombo (RPS),"Mar 25, 2001"
ODI # 1696,India,Australia,India,60 runs,Bengaluru,"Mar 25, 2001"
ODI # 1697,Sri Lanka,England,Sri Lanka,10 wickets,Colombo (SSC),"Mar 27, 2001"
ODI # 1698,India,Australia,Australia,8 wickets,Pune,"Mar 28, 2001"
ODI # 1699,India,Australia,India,118 runs,Indore,"Mar 31, 2001"
ODI # 1700,India,Australia,Australia,93 runs,Visakhapatnam,"Apr 3, 2001"
ODI # 1701,India,Australia,Australia,4 wickets,Margao,"Apr 6, 2001"
ODI # 1702,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,"Apr 7, 2001"
ODI # 1703,Zimbabwe,Bangladesh,Zimbabwe,127 runs,Harare,"Apr 8, 2001"
ODI # 1704,Pakistan,Sri Lanka,Pakistan,16 runs,Sharjah,"Apr 8, 2001"
ODI # 1705,New Zealand,Sri Lanka,Sri Lanka,106 runs,Sharjah,"Apr 10, 2001"
ODI # 1706,Zimbabwe,Bangladesh,Zimbabwe,36 runs,Bulawayo,"Apr 11, 2001"
