Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 409,Australia,England,England,37 runs,Perth,"Jan 1, 1987"
ODI # 410,Australia,Pakistan,Pakistan,1 wicket,Perth,"Jan 2, 1987"
ODI # 411,England,West Indies,England,19 runs,Perth,"Jan 3, 1987"
ODI # 412,Australia,West Indies,West Indies,164 runs,Perth,"Jan 4, 1987"
ODI # 413,England,Pakistan,England,3 wickets,Perth,"Jan 5, 1987"
ODI # 414,England,Pakistan,England,5 wickets,Perth,"Jan 7, 1987"
ODI # 415,India,Sri Lanka,India,8 wickets,Guwahati,"Jan 11, 1987"
ODI # 416,India,Sri Lanka,India,6 wickets,Delhi,"Jan 13, 1987"
ODI # 417,India,Sri Lanka,India,94 runs,Vadodara,"Jan 15, 1987"
ODI # 418,England,West Indies,England,6 wickets,Brisbane,"Jan 17, 1987"
ODI # 419,India,Sri Lanka,India,10 runs,Mumbai,"Jan 17, 1987"
ODI # 420,Australia,England,Australia,11 runs,Brisbane,"Jan 18, 1987"
ODI # 421,Australia,West Indies,West Indies,7 wickets,Melbourne,"Jan 20, 1987"
ODI # 422,Australia,England,England,3 wickets,Sydney,"Jan 22, 1987"
ODI # 423,England,West Indies,England,89 runs,Adelaide,"Jan 24, 1987"
ODI # 424,Australia,West Indies,West Indies,16 runs,Adelaide,"Jan 25, 1987"
ODI # 425,Australia,England,Australia,33 runs,Adelaide,"Jan 26, 1987"
ODI # 426,India,Pakistan,Pakistan,3 wickets,Indore,"Jan 27, 1987"
ODI # 427,Australia,West Indies,Australia,36 runs,Sydney,"Jan 28, 1987"
ODI # 428,England,West Indies,West Indies,6 wickets,Melbourne,"Jan 30, 1987"
ODI # 429,Australia,England,Australia,109 runs,Melbourne,"Feb 1, 1987"
ODI # 430,England,West Indies,England,29 runs,Devonport,"Feb 3, 1987"
ODI # 431,Australia,West Indies,Australia,2 wickets,Sydney,"Feb 6, 1987"
ODI # 432,Australia,England,England,6 wickets,Melbourne,"Feb 8, 1987"
ODI # 433,Australia,England,England,8 runs,Sydney,"Feb 11, 1987"
ODI # 434,India,Pakistan,Pakistan,2 wickets,Kolkata,"Feb 18, 1987"
ODI # 435,New Zealand,West Indies,West Indies,95 runs,Dunedin,"Mar 18, 1987"
ODI # 436,India,Pakistan,India,,Hyderabad (Deccan),"Mar 20, 1987"
ODI # 437,New Zealand,West Indies,West Indies,6 wickets,Auckland,"Mar 21, 1987"
ODI # 438,India,Pakistan,Pakistan,6 wickets,Pune,"Mar 22, 1987"
ODI # 439,India,Pakistan,Pakistan,41 runs,Nagpur,"Mar 24, 1987"
ODI # 440,India,Pakistan,Pakistan,5 wickets,Jamshedpur,"Mar 26, 1987"
ODI # 441,New Zealand,West Indies,West Indies,10 wickets,Christchurch,"Mar 28, 1987"
ODI # 442,England,India,India,3 wickets,Sharjah,"Apr 2, 1987"
ODI # 443,Australia,Pakistan,Pakistan,6 wickets,Sharjah,"Apr 3, 1987"
ODI # 444,Australia,India,India,7 wickets,Sharjah,"Apr 5, 1987"
ODI # 445,England,Pakistan,England,5 wickets,Sharjah,"Apr 7, 1987"
ODI # 446,Australia,England,England,11 runs,Sharjah,"Apr 9, 1987"
ODI # 447,India,Pakistan,Pakistan,8 wickets,Sharjah,"Apr 10, 1987"
ODI # 448,England,Pakistan,England,7 wickets,The Oval,"May 21, 1987"
ODI # 449,England,Pakistan,Pakistan,6 wickets,Nottingham,"May 23, 1987"
ODI # 450,England,Pakistan,England,1 wicket,Birmingham,"May 25, 1987"
ODI # 451,Pakistan,Sri Lanka,Pakistan,15 runs,Hyderabad (Sind),"Oct 8, 1987"
ODI # 453,India,Australia,Australia,1 run,Chennai,"Oct 9, 1987"
ODI # 452,England,West Indies,England,2 wickets,Gujranwala,"Oct 9, 1987"
ODI # 454,New Zealand,Zimbabwe,New Zealand,3 runs,Hyderabad (Deccan),"Oct 10, 1987"
ODI # 455,Pakistan,England,Pakistan,18 runs,Rawalpindi,"Oct 12-13, 1987"
ODI # 456,Australia,Zimbabwe,Australia,96 runs,Chennai,"Oct 13, 1987"
ODI # 457,Sri Lanka,West Indies,West Indies,191 runs,Karachi,"Oct 13, 1987"
ODI # 458,India,New Zealand,India,16 runs,Bengaluru,"Oct 14, 1987"
ODI # 459,Pakistan,West Indies,Pakistan,1 wicket,Lahore,"Oct 16, 1987"
ODI # 461,India,Zimbabwe,India,8 wickets,Mumbai,"Oct 17, 1987"
ODI # 460,England,Sri Lanka,England,108 runs,Peshawar,"Oct 17, 1987"
ODI # 462,Australia,New Zealand,Australia,3 runs,Indore,"Oct 18-19, 1987"
ODI # 463,Pakistan,England,Pakistan,7 wickets,Karachi,"Oct 20, 1987"
ODI # 464,Sri Lanka,West Indies,West Indies,25 runs,Kanpur,"Oct 21, 1987"
ODI # 465,India,Australia,India,56 runs,Delhi,"Oct 22, 1987"
ODI # 466,New Zealand,Zimbabwe,New Zealand,4 wickets,Kolkata,"Oct 23, 1987"
ODI # 467,Pakistan,Sri Lanka,Pakistan,113 runs,Faisalabad,"Oct 25, 1987"
ODI # 468,England,West Indies,England,34 runs,Jaipur,"Oct 26, 1987"
ODI # 469,India,Zimbabwe,India,7 wickets,Ahmedabad,"Oct 26, 1987"
ODI # 470,Australia,New Zealand,Australia,17 runs,Chandigarh,"Oct 27, 1987"
ODI # 471,Australia,Zimbabwe,Australia,70 runs,Cuttack,"Oct 30, 1987"
ODI # 472,England,Sri Lanka,England,8 wickets,Pune,"Oct 30, 1987"
ODI # 473,Pakistan,West Indies,West Indies,28 runs,Karachi,"Oct 30, 1987"
ODI # 474,India,New Zealand,India,9 wickets,Nagpur,"Oct 31, 1987"
ODI # 475,Pakistan,Australia,Australia,18 runs,Lahore,"Nov 4, 1987"
ODI # 476,India,England,England,35 runs,Mumbai,"Nov 5, 1987"
ODI # 477,Australia,England,Australia,7 runs,Kolkata,"Nov 8, 1987"
ODI # 478,Pakistan,England,England,2 wickets,Lahore,"Nov 18, 1987"
ODI # 479,Pakistan,England,England,23 runs,Karachi,"Nov 20, 1987"
ODI # 480,Pakistan,England,England,98 runs,Peshawar,"Nov 22, 1987"
ODI # 481,India,West Indies,West Indies,10 runs,Nagpur,"Dec 8, 1987"
ODI # 482,India,West Indies,West Indies,52 runs,Guwahati,"Dec 23, 1987"
