Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 165,Australia,New Zealand,Australia,8 wickets,Melbourne,"Jan 9, 1983"
ODI # 166,Australia,England,Australia,31 runs,Sydney,"Jan 11, 1983"
ODI # 167,England,New Zealand,New Zealand,2 runs,Melbourne,"Jan 13, 1983"
ODI # 168,England,New Zealand,England,54 runs,Brisbane,"Jan 15, 1983"
ODI # 169,Australia,England,Australia,7 wickets,Brisbane,"Jan 16, 1983"
ODI # 170,Australia,New Zealand,New Zealand,47 runs,Sydney,"Jan 18, 1983"
ODI # 171,England,New Zealand,England,8 wickets,Sydney,"Jan 20, 1983"
ODI # 172,Pakistan,India,Pakistan,8 wickets,Karachi,"Jan 21, 1983"
ODI # 173,Australia,New Zealand,New Zealand,58 runs,Melbourne,"Jan 22, 1983"
ODI # 174,Australia,England,Australia,5 wickets,Melbourne,"Jan 23, 1983"
ODI # 175,Australia,England,England,98 runs,Sydney,"Jan 26, 1983"
ODI # 176,England,New Zealand,New Zealand,4 wickets,Adelaide,"Jan 29, 1983"
ODI # 177,Australia,England,England,14 runs,Adelaide,"Jan 30, 1983"
ODI # 178,Australia,New Zealand,New Zealand,47 runs,Adelaide,"Jan 31, 1983"
ODI # 179,England,New Zealand,New Zealand,7 wickets,Perth,"Feb 5, 1983"
ODI # 180,Australia,New Zealand,Australia,27 runs,Perth,"Feb 6, 1983"
ODI # 181,Australia,New Zealand,Australia,6 wickets,Sydney,"Feb 9, 1983"
ODI # 182,Australia,New Zealand,Australia,149 runs,Melbourne,"Feb 13, 1983"
ODI # 183,New Zealand,England,New Zealand,6 wickets,Auckland,"Feb 19, 1983"
ODI # 184,New Zealand,England,New Zealand,103 runs,Wellington,"Feb 23, 1983"
ODI # 185,New Zealand,England,New Zealand,84 runs,Christchurch,"Feb 26, 1983"
ODI # 186,New Zealand,Sri Lanka,New Zealand,65 runs,Dunedin,"Mar 2, 1983"
ODI # 187,West Indies,India,West Indies,52 runs,Port of Spain,"Mar 9, 1983"
ODI # 188,Australia,New Zealand,New Zealand,14 runs,Sydney,"Mar 17, 1983"
ODI # 189,New Zealand,Sri Lanka,New Zealand,7 wickets,Napier,"Mar 19, 1983"
ODI # 190,New Zealand,Sri Lanka,New Zealand,116 runs,Auckland,"Mar 20, 1983"
ODI # 191,West Indies,India,India,27 runs,Albion,"Mar 29, 1983"
ODI # 192,West Indies,India,West Indies,7 wickets,St George's,"Apr 7, 1983"
ODI # 193,Sri Lanka,Australia,Sri Lanka,2 wickets,Colombo (PSS),"Apr 13, 1983"
ODI # 194,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (PSS),"Apr 16, 1983"
ODI # 195,Sri Lanka,Australia,no result,,Colombo (SSC),"Apr 29, 1983"
