,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,West Indies,New Zealand,159 runs,Queenstown,"Jan 1, 2014",ODI # 3451
1,New Zealand,West Indies,New Zealand,58 runs,Nelson,"Jan 4, 2014",ODI # 3452
2,New Zealand,West Indies,West Indies,203 runs,Hamilton,"Jan 8, 2014",ODI # 3453
3,Australia,England,Australia,6 wickets,Melbourne,"Jan 12, 2014",ODI # 3454
4,Australia,England,Australia,1 wicket,Brisbane,"Jan 17, 2014",ODI # 3455
5,New Zealand,India,New Zealand,24 runs,Napier,"Jan 19, 2014",ODI # 3456
6,Australia,England,Australia,7 wickets,Sydney,"Jan 19, 2014",ODI # 3457
7,New Zealand,India,New Zealand,15 runs,Hamilton,"Jan 22, 2014",ODI # 3458
8,Canada,Scotland,Scotland,170 runs,Christchurch,"Jan 23, 2014",ODI # 3459
9,Kenya,Netherlands,Kenya,4 wickets,Lincoln,"Jan 23, 2014",ODI # 3460
10,Australia,England,England,57 runs,Perth,"Jan 24, 2014",ODI # 3461
11,New Zealand,India,tied,,Auckland,"Jan 25, 2014",ODI # 3462
12,Australia,England,Australia,5 runs,Adelaide,"Jan 26, 2014",ODI # 3463
13,Canada,Netherlands,Netherlands,8 wickets,Mount Maunganui,"Jan 28, 2014",ODI # 3464
14,New Zealand,India,New Zealand,7 wickets,Hamilton,"Jan 28, 2014",ODI # 3465
15,Kenya,Scotland,Scotland,3 wickets,Christchurch,"Jan 30, 2014",ODI # 3466
16,New Zealand,India,New Zealand,87 runs,Wellington,"Jan 31, 2014",ODI # 3467
17,Scotland,U.A.E.,Scotland,41 runs,Lincoln,"Feb 1, 2014",ODI # 3468
18,Bangladesh,Sri Lanka,Sri Lanka,13 runs,Dhaka,"Feb 17, 2014",ODI # 3469
19,Bangladesh,Sri Lanka,Sri Lanka,61 runs,Dhaka,"Feb 20, 2014",ODI # 3470
20,Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Dhaka,"Feb 22, 2014",ODI # 3471
21,West Indies,Ireland,West Indies,4 wickets,Kingston,"Feb 23, 2014",ODI # 3472
22,Pakistan,Sri Lanka,Sri Lanka,12 runs,Fatullah,"Feb 25, 2014",ODI # 3473
23,Bangladesh,India,India,6 wickets,Fatullah,"Feb 26, 2014",ODI # 3474
24,Afghanistan,Pakistan,Pakistan,72 runs,Fatullah,"Feb 27, 2014",ODI # 3475
25,India,Sri Lanka,Sri Lanka,2 wickets,Fatullah,"Feb 28, 2014",ODI # 3476
26,West Indies,England,West Indies,15 runs,North Sound,"Feb 28, 2014",ODI # 3477
27,Bangladesh,Afghanistan,Afghanistan,32 runs,Fatullah,"Mar 1, 2014",ODI # 3478
28,India,Pakistan,Pakistan,1 wicket,Dhaka,"Mar 2, 2014",ODI # 3479
29,West Indies,England,England,3 wickets,North Sound,"Mar 2, 2014",ODI # 3480
30,Afghanistan,Sri Lanka,Sri Lanka,129 runs,Dhaka,"Mar 3, 2014",ODI # 3481
31,Bangladesh,Pakistan,Pakistan,3 wickets,Dhaka,"Mar 4, 2014",ODI # 3482
32,Afghanistan,India,India,8 wickets,Dhaka,"Mar 5, 2014",ODI # 3483
33,West Indies,England,England,25 runs,North Sound,"Mar 5, 2014",ODI # 3484
34,Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Dhaka,"Mar 6, 2014",ODI # 3485
