,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
126,South Africa,Pakistan,South Africa,4 wickets,Centurion,"Nov 30, 2013",ODI # 3441
127,South Africa,India,South Africa,141 runs,Johannesburg,"Dec 5, 2013",ODI # 3442
128,South Africa,India,South Africa,134 runs,Durban,"Dec 8, 2013",ODI # 3443
129,South Africa,India,no result,,Centurion,"Dec 11, 2013",ODI # 3444
130,Pakistan,Sri Lanka,Pakistan,11 runs,Sharjah,"Dec 18, 2013",ODI # 3445
131,Pakistan,Sri Lanka,Sri Lanka,2 wickets,Dubai (DSC),"Dec 20, 2013",ODI # 3446
132,Pakistan,Sri Lanka,Pakistan,113 runs,Sharjah,"Dec 22, 2013",ODI # 3447
133,Pakistan,Sri Lanka,Pakistan,8 wickets,Abu Dhabi,"Dec 25, 2013",ODI # 3448
134,New Zealand,West Indies,West Indies,2 wickets,Auckland,"Dec 26, 2013",ODI # 3449
135,Pakistan,Sri Lanka,Sri Lanka,2 wickets,Abu Dhabi,"Dec 27, 2013",ODI # 3450
