,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,West Indies,West Indies,5 wickets,Christchurch,"Jan 3, 2009",ODI # 2787
1,New Zealand,West Indies,New Zealand,7 wickets,Wellington,"Jan 7, 2009",ODI # 2788
2,New Zealand,West Indies,no result,,Auckland,"Jan 10, 2009",ODI # 2789
3,Bangladesh,Zimbabwe,Zimbabwe,38 runs,Dhaka,"Jan 10, 2009",ODI # 2790
4,Sri Lanka,Zimbabwe,Sri Lanka,130 runs,Dhaka,"Jan 12, 2009",ODI # 2791
5,New Zealand,West Indies,New Zealand,9 runs,Napier,"Jan 13, 2009",ODI # 2792
6,Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka,"Jan 14, 2009",ODI # 2793
7,Bangladesh,Sri Lanka,Sri Lanka,2 wickets,Dhaka,"Jan 16, 2009",ODI # 2794
8,Australia,South Africa,South Africa,3 wickets,Melbourne,"Jan 16, 2009",ODI # 2795
9,Australia,South Africa,Australia,5 runs,Hobart,"Jan 18, 2009",ODI # 2796
10,Bangladesh,Zimbabwe,Zimbabwe,2 wickets,Dhaka,"Jan 19, 2009",ODI # 2797
11,Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi,"Jan 20, 2009",ODI # 2798
12,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,"Jan 21, 2009",ODI # 2799
13,Pakistan,Sri Lanka,Sri Lanka,129 runs,Karachi,"Jan 21, 2009",ODI # 2800
14,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,"Jan 23, 2009",ODI # 2801
15,Australia,South Africa,South Africa,3 wickets,Sydney,"Jan 23, 2009",ODI # 2802
16,Pakistan,Sri Lanka,Sri Lanka,234 runs,Lahore,"Jan 24, 2009",ODI # 2803
17,Australia,South Africa,South Africa,8 wickets,Adelaide,"Jan 26, 2009",ODI # 2804
18,Kenya,Zimbabwe,Zimbabwe,109 runs,Mombasa,"Jan 27, 2009",ODI # 2805
19,Sri Lanka,India,India,6 wickets,Dambulla,"Jan 28, 2009",ODI # 2806
20,Kenya,Zimbabwe,Zimbabwe,151 runs,Mombasa,"Jan 29, 2009",ODI # 2807
21,Australia,South Africa,South Africa,39 runs,Perth,"Jan 30, 2009",ODI # 2808
22,Kenya,Zimbabwe,Zimbabwe,4 wickets,Nairobi (Gym),"Jan 31, 2009",ODI # 2809
23,Sri Lanka,India,India,15 runs,Colombo (RPS),"Jan 31, 2009",ODI # 2810
24,Australia,New Zealand,New Zealand,2 wickets,Perth,"Feb 1, 2009",ODI # 2811
25,Kenya,Zimbabwe,Zimbabwe,66 runs,Nairobi (Gym),"Feb 1, 2009",ODI # 2812
26,Sri Lanka,India,India,147 runs,Colombo (RPS),"Feb 3, 2009",ODI # 2813
27,Kenya,Zimbabwe,Zimbabwe,7 wickets,Nairobi (Gym),"Feb 4, 2009",ODI # 2814
28,Sri Lanka,India,India,67 runs,Colombo (RPS),"Feb 5, 2009",ODI # 2815
29,Australia,New Zealand,New Zealand,6 wickets,Melbourne,"Feb 6, 2009",ODI # 2816
30,Australia,New Zealand,Australia,32 runs,Sydney,"Feb 8, 2009",ODI # 2817
31,Sri Lanka,India,Sri Lanka,68 runs,Colombo (RPS),"Feb 8, 2009",ODI # 2818
32,Australia,New Zealand,Australia,6 wickets,Adelaide,"Feb 10, 2009",ODI # 2819
